NAME,MASS,BINDING ENERGY,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY
#C2H3,27,2800,0,0,0,62.7
#CO,28,1300,0.35,0.7,0.667,-27.2
#N2,28,1100,0.35,0.7,0.667,0
CO,28,0,0,0,0,0
CO+,28,0,0,0,0,0
H2CN,28,0,0,0,0,0
HCNH+,28,0,0,0,0,0
N2,28,0,0,0,0,0
N2+,28,0,0,0,0,0
SI,28,0,0,0,0,0
SI+,28,0,0,0,0,0
#H2CN,28,2400,0,0,0,55.7
#C2H4,28,2500,0,0,0.5,14.6
C2H4,28,0,0,0,0,0
HCO,29,0,0,0,0,0
HCO+,29,0,0,0,0,0
#HCO,29,2400,0,0.1,0.5,10.0
HOC+,29,0,0,0,0,0
N2H+,29,0,0,0,0,0
SIH,29,0,0,0,0,0
SIH+,29,0,0,0,0,0
C2H5,29,0,0,0,0,0
#C2H5,29,3100,0,0,0,28.3
#NO,30,1600,0,0.7,0.667,21.69
#H2CO,30,4500,0,0,0,-25.1
H2CO,30,0,0,0,0,0
H2CO+,30,0,0,0,0,0
NO,30,0,0,0,0,0
NO+,30,0,0,0,0,0
SIH2,30,0,0,0,0,0
SIH2+,30,0,0,0,0,0
H2COH,31,0,0,0,0,0
H2COH+,31,0,0,0,0,0
#H2COH,31,4400,0,0.1,0.5,4.25
HNO,31,0,0,0,0,0
HNO+,31,0,0,0,0,0
SIH3,31,0,0,0,0,0
SIH3+,31,0,0,0,0,0
#HNO,31,3000,0,0,0,26.3
CH2OH,31,0,0,0,0,0
#CH2OH,31,5084,0,0,0,0
#O2,32,1200,0.35,0.7,0.667,0
#CH3OH,32,5000,0,0,0,-45.4
#SIH4,32,13000,0,0,0,11
CH3OH,32,0,0,0,0,0
H2NO+,32,0,0,0,0,0
O2,32,0,0,0,0,0
O2+,32,0,0,0,0,0
S,32,0,0,0,0,0
S+,32,0,0,0,0,0
SIH4,32,0,0,0,0,0
SIH4+,32,0,0,0,0,0
CH3OH2+,33,0,0,0,0,0
HS,33,0,0,0,0,0
HS+,33,0,0,0,0,0
O2H,33,0,0,0,0,0
O2H+,33,0,0,0,0,0
SIH5+,33,0,0,0,0,0
#O2H,33,5000,0,0,0,3.63
#HS,33,1450,0,0,0,0
#H2S,34,2700,0,0.1,0.5,-4.2
H2S,34,0,0,0,0,0
H2S+,34,0,0,0,0,0
CL,35,0,0,0,0,0
CL+,35,0,0,0,0,0
H3S+,35,0,0,0,0,0
#HCL,36,5172,0,0,0,-22
C3+,36,0,0,0,0,0
HCL,36,0,0,0,0,0
HCL+,36,0,0,0,0,0
H2CL+,37,0,0,0,0,0
C2N,38,0,0,0,0,0
C2N+,38,0,0,0,0,0
C3H2,38,0,0,0,0,0
#C3H2,38,5900,0,0,0,137.83
C2NH+,39,0,0,0,0,0
#CH3CCH,40,3000,0,0,0.5,47.7
CH3CCH,40,0,0,0,0,0
SIC,40,0,0,0,0,0
SIC+,40,0,0,0,0,0
#SIC,40,3500,0,0,0,170.88
#CH3CN,41,4680,0,0,0.5,19
C3H5+,41,0,0,0,0,0
CH3CN,41,0,0,0,0,0
#CH2CO,42,2800,0,0,0,-10.7
#CH3CNH,42,3740,0,0.1,0.5,195
CH2CO,42,0,0,0,0,0
CH3CNH,42,0,0,0,0,0
CH3CNH+,42,0,0,0,0,0
OCN,42,0,0,0,0,0
#OCN,42,2400,0,0,0,30.6
#HNCO,43,4400,0,0,0,-28.45
HNCO,43,0,0,0,0,0
#SIO,44,3500,0.35,0.7,0.667,-24.3
#CS,44,3200,0,0.7,0.667,65.3
#CO2,44,2600,0,0.24,0.92,-93.96
CO2,44,0,0,0,0,0
CS,44,0,0,0,0,0
CS+,44,0,0,0,0,0
SIO,44,0,0,0,0,0
SIO+,44,0,0,0,0,0
CH3CHO,44,0,0,0,0,0
#CH3CHO,44,5400,0,0,0,0
