C,CH2,NAN,CH,CH,NAN,NAN,2.69e-12,0.0,23550.0,1000.0,4000.0
C,OH,NAN,O,CH,NAN,NAN,2.25e-11,0.5,14800.0,493.0,41000.0
C,OH,NAN,CO,H,NAN,NAN,1.1e-10,0.5,0.0,10.0,300.0
C,O2,NAN,CO,O,NAN,NAN,3.3e-11,0.0,0.0,0.0,0.0
C,OH+,NAN,O,CH+,NAN,NAN,1.2e-09,0.0,0.0,10.0,41000.0
C,CH5+,NAN,CH4,CH+,NAN,NAN,1.2e-09,0.0,0.0,10.0,41000.0
C,H2O+,NAN,OH,CH+,NAN,NAN,1.1e-09,0.0,0.0,10.0,41000.0
C,H3O+,NAN,HCO+,H2,NAN,NAN,1e-11,0.0,0.0,10.0,41000.0
C,HCO+,NAN,CO,CH+,NAN,NAN,1.1e-09,0.0,0.0,10.0,41000.0
C,O2+,NAN,CO+,O,NAN,NAN,5.2e-11,0.0,0.0,10.0,41000.0
C,CO+,NAN,CO,C+,NAN,NAN,1.1e-10,0.0,0.0,10.0,41000.0
C,O2+,NAN,O2,C+,NAN,NAN,5.2e-11,0.0,0.0,10.0,41000.0
C,O+,NAN,CO+,PHOTON,NAN,NAN,4.69e-11,-3.08,-2114.0,2000.0,10000.0
C,O,NAN,CO,PHOTON,NAN,NAN,2.1e-19,0.0,0.0,10.0,300.0
C,O,NAN,CO,PHOTON,NAN,NAN,1.58e-17,0.34,1297.4,300.0,13900.0
C,PHOTON,NAN,C+,E-,NAN,NAN,3e-10,0.0,3.0,10.0,41000.0
C,CRP,NAN,C+,E-,NAN,NAN,2.3e-17,0.0,0.0,10.0,41000.0
C,CRPHOT,NAN,C+,E-,NAN,NAN,1.3e-17,0.0,510.0,10.0,41000.0
C+,OH,NAN,CO+,H,NAN,NAN,7.7e-10,0.0,0.0,10.0,41000.0
C+,OH,NAN,CO,H+,NAN,NAN,7.7e-10,0.0,0.0,0.0,0.0
C+,H2O,NAN,HCO+,H,NAN,NAN,9e-10,0.0,0.0,10.0,41000.0
C+,O2,NAN,CO+,O,NAN,NAN,3.8e-10,0.0,0.0,10.0,41000.0
C+,O2,NAN,CO,O+,NAN,NAN,6.2e-10,0.0,0.0,10.0,41000.0
C+,CH,NAN,CH+,C,NAN,NAN,3.8e-10,0.0,0.0,10.0,41000.0
C+,CH2,NAN,CH2+,C,NAN,NAN,5.2e-10,0.0,0.0,10.0,41000.0
C+,MG,NAN,MG+,C,NAN,NAN,1.1e-09,0.0,0.0,10.0,41000.0
C+,E-,NAN,C,PHOTON,NAN,NAN,4.67e-12,-0.6,0.0,10.0,7950.0
C+,E-,NAN,C,PHOTON,NAN,NAN,1.23e-17,2.49,-21845.6,7950.0,21140.0
C+,E-,NAN,C,PHOTON,NAN,NAN,9.62e-08,-1.37,115786.2,21140.0,41000.0
C+,O,NAN,CO+,PHOTON,NAN,NAN,2.5e-18,0.0,0.0,10.0,300.0
C+,O,NAN,CO+,PHOTON,NAN,NAN,3.14e-18,-0.15,68.0,300.0,13900.0
CH,O,NAN,OH,C,NAN,NAN,2.52e-11,0.0,2381.0,10.0,6000.0
CH,O,NAN,CO,H,NAN,NAN,6.6e-11,0.0,0.0,10.0,2000.0
CH,O,NAN,CO,H,NAN,NAN,1.02e-10,0.0,914.0,2000.0,6000.0
CH,CH4,NAN,CH3,CH2,NAN,NAN,2.28e-11,0.7,3000.0,100.0,300.0
CH,O2,NAN,CO,OH,NAN,NAN,2.6e-11,0.0,0.0,298.0,298.0
CH,O+,NAN,CO+,H,NAN,NAN,3.5e-10,0.0,0.0,10.0,41000.0
CH,OH+,NAN,O,CH2+,NAN,NAN,3.5e-10,0.0,0.0,10.0,41000.0
CH,CH5+,NAN,CH4,CH2+,NAN,NAN,6.9e-10,0.0,0.0,10.0,41000.0
CH,H2O+,NAN,OH,CH2+,NAN,NAN,3.4e-10,0.0,0.0,10.0,41000.0
CH,H3O+,NAN,H2O,CH2+,NAN,NAN,6.8e-10,0.0,0.0,10.0,41000.0
CH,CO+,NAN,HCO+,C,NAN,NAN,3.2e-10,0.0,0.0,10.0,41000.0
CH,HCO+,NAN,CO,CH2+,NAN,NAN,6.3e-10,0.0,0.0,10.0,41000.0
CH,O2+,NAN,HCO+,O,NAN,NAN,3.1e-10,0.0,0.0,10.0,41000.0
CH,O+,NAN,O,CH+,NAN,NAN,3.5e-10,0.0,0.0,10.0,41000.0
CH,OH+,NAN,OH,CH+,NAN,NAN,3.5e-10,0.0,0.0,10.0,41000.0
