50
22,30,35,39,41,45,49,56,58,55,64,68,63,66,73,85,83,90,100,98,104,109,114,121,126,130,131,136,139,140,144,151,149,148,162,163,166,167,165,173,175,180,182,183,190,193,191,198,203,208
21,28,34,43,44,47,48,53,54,59,60,61,62,72,80,81,82,94,95,96,97,112,113,119,127,129,133,134,137,138,143,145,146,147,157,158,159,160,161,172,177,179,185,186,187,188,189,200,201,204
0,0,0,0,0,0,0,0,0,0,0.35,0.35,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0.1,0.1,0.1,0,0.7,0.7,0,0,0,0.7,0,0,0.7,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.7,0.7,0.24,0,0,0,0.1,0,0,0,0,0,0,0.1,0.7,0,0,0,0
0.667,0,0,0,0,0,0.5,0.5,0.5,0,0.667,0.667,0.5,0,0,0.667,0,0,0.667,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0.667,0.667,0.92,0,0,0,0.5,0.5,0,0,0.5,0,0,0.92,0.667,0.5,0,0,0.5
960,5500,5600,10000,5300,3000,2587,3700,3800,2800,1300,1100,2500,2400,3100,1600,4500,3000,1200,5000,13000,5000,2700,5172,5900,3000,3500,4680,2800,3740,4400,3500,3200,2600,5400,4400,2400,1900,4400,2800,3737,4580,3000,4300,4210,3800,2400,4000,5100,3400
-15.9,-9.3,-57.1,196.6,35,134.79,54.5,31.6,46.4,62.7,-27.2,0,14.6,55.7,28.3,21.69,-25.1,26.3,0,-45.4,11,3.63,-4.2,-22,137.83,47.7,170.88,19,-10.7,195,-28.45,-24.3,65.3,-93.96,-51.9,28.3,8.8,63.8,-999,1.2,191.11,84,73.46,149.38,-70,0,-34,189,-999,-70.3
