Name,Mass,N_atoms,Binding Energy,Enthalpy
@C2H2,26,4,5600.0,54.5
@CN,26,2,5600.0,16.07
#C2H3,27,5,2800.0,62.7
HNC,27,3,0.0,0.0
HCN+,27,3,0.0,0.0
#HCN,27,3,3700.0,31.6
C2H3,27,5,0.0,0.0
#HNC,27,3,3800.0,46.4
HCN,27,3,0.0,0.0
@C2H3,27,5,5600.0,62.7
@HCN,27,3,5600.0,31.6
@HNC,27,3,5600.0,46.4
#SI,28,1,11600.0,11.58
C2H4,28,6,0.0,0.0
#C2H4,28,6,2500.0,14.6
#H2CN,28,4,2400.0,55.7
SI+,28,1,0.0,0.0
N2+,28,2,0.0,0.0
SI,28,1,0.0,0.0
HCNH+,28,4,0.0,0.0
H2CN,28,4,0.0,0.0
CO+,28,2,0.0,0.0
CO,28,2,0.0,0.0
#N2,28,2,1100.0,0.0
#CO,28,2,1300.0,-27.2
N2,28,2,0.0,0.0
@SI,28,1,5600.0,11.58
@C2H4,28,6,5600.0,14.6
@H2CN,28,4,5600.0,55.7
@N2,28,2,5600.0,0.0
@CO,28,2,5600.0,-27.2
#SIH,29,2,11950.0,90.1
C2H5,29,7,0.0,0.0
SIH+,29,2,0.0,0.0
SIH,29,2,0.0,0.0
#C2H5,29,7,3100.0,28.3
HOC+,29,3,0.0,0.0
#HCO,29,3,2400.0,10.0
HCO+,29,3,0.0,0.0
HCO,29,3,0.0,0.0
N2H+,29,3,0.0,0.0
@SIH,29,2,5600.0,90.1
@C2H5,29,7,5600.0,28.3
@HCO,29,3,5600.0,10.0
#SIH2,30,3,12300.0,11.0
SIH2+,30,3,0.0,0.0
SIH2,30,3,0.0,0.0
NO+,30,2,0.0,0.0
H2CO+,30,4,0.0,0.0
H2CO,30,4,0.0,0.0
#H2CO,30,4,4500.0,-25.1
#NO,30,2,1600.0,21.69
NO,30,2,0.0,0.0
@SIH2,30,3,5600.0,11.0
@H2CO,30,4,5600.0,-25.1
@NO,30,2,5600.0,21.69
CH2OH,31,5,0.0,0.0
#CH2OH,31,5,5084.0,0.0
#HNO,31,3,3000.0,26.3
#SIH3,31,4,12650.0,11.0
SIH3,31,4,0.0,0.0
HNO+,31,3,0.0,0.0
HNO,31,3,0.0,0.0
H3CO,31,5,0.0,0.0
H3CO+,31,5,0.0,0.0
SIH3+,31,4,0.0,0.0
#H3CO,31,5,4400.0,4.25
@CH2OH,31,5,5600.0,0.0
@HNO,31,3,5600.0,26.3
@SIH3,31,4,5600.0,11.0
@H3CO,31,5,5600.0,4.25
SIH4,32,5,0.0,0.0
S+,32,1,0.0,0.0
S,32,1,0.0,0.0
SIH4+,32,5,0.0,0.0
O2,32,2,0.0,0.0
#CH3OH,32,6,5000.0,-45.4
#SIH4,32,5,13000.0,11.0
#O2,32,2,1200.0,0.0
O2+,32,2,0.0,0.0
CH3OH,32,6,0.0,0.0
H2NO+,32,4,0.0,0.0
@CH3OH,32,6,5600.0,-45.4
@SIH4,32,5,5600.0,11.0
@O2,32,2,5600.0,0.0
HS+,33,2,0.0,0.0
CH3OH2+,33,7,0.0,0.0
#HS,33,2,1450.0,0.0
HS,33,2,0.0,0.0
SIH5+,33,6,0.0,0.0
O2H,33,3,0.0,0.0
O2H+,33,3,0.0,0.0
#O2H,33,3,5000.0,3.63
@HS,33,2,5600.0,0.0
@O2H,33,3,5600.0,3.63
#H2S,34,3,2700.0,-4.2
H2S,34,3,0.0,0.0
H2S+,34,3,0.0,0.0
@H2S,34,3,5600.0,-4.2
CL,35,1,0.0,0.0
CL+,35,1,0.0,0.0
#CL,35,1,5172.0,-39.91
H3S+,35,4,0.0,0.0
@CL,35,1,5600.0,-39.91
HCL+,36,2,0.0,0.0
HCL,36,2,0.0,0.0
C3+,36,3,0.0,0.0
#HCL,36,2,5172.0,-22.0
@HCL,36,2,5600.0,-22.0
H2CL+,37,3,0.0,0.0
C2N,38,3,0.0,0.0
C2N+,38,3,0.0,0.0
C3H2,38,5,0.0,0.0
#C3H2,38,5,5900.0,137.83
@C3H2,38,5,5600.0,137.83
C2NH+,39,4,0.0,0.0
SIC,40,2,0.0,0.0
SIC+,40,2,0.0,0.0
#CH3CCH,40,7,3000.0,47.7
CH3CCH,40,7,0.0,0.0
#SIC,40,2,3500.0,170.88
@CH3CCH,40,7,5600.0,47.7
@SIC,40,2,5600.0,170.88
#CH3CN,41,6,4680.0,19.0
C3H5+,41,8,0.0,0.0
CH3CN,41,6,0.0,0.0
@CH3CN,41,6,5600.0,19.0
CH2CO,42,5,0.0,0.0
CH3CNH,42,7,0.0,0.0
CH3CNH+,42,7,0.0,0.0
OCN,42,3,0.0,0.0
#OCN,42,3,2400.0,30.6
#CH2CO,42,5,2800.0,-10.7
#CH3CNH,42,7,3740.0,195.0
@OCN,42,3,5600.0,30.6
@CH2CO,42,5,5600.0,-10.7
@CH3CNH,42,7,5600.0,195.0
#HNCO,43,4,4400.0,-28.45
HNCO,43,4,0.0,0.0
@HNCO,43,4,5600.0,-28.45
#CH3CHO,44,7,5400.0,0.0
CH3CHO,44,7,0.0,0.0
SIO+,44,2,0.0,0.0
CS,44,2,0.0,0.0
CS+,44,2,0.0,0.0
