213
H,1,0
H+,1,0
H2,2,0
H2+,2,0
H3+,3,0
HE,4,0
HE+,4,0
HEH+,5,0
C,12,0
C+,12,0
CH,13,0
CH+,13,0
CH2,14,0
CH2+,14,0
N,14,0
N+,14,0
CH3,15,0
CH3+,15,0
NH,15,0
NH+,15,0
#CH4,16,1300
CH4,16,0
CH4+,16,0
NH2,16,0
NH2+,16,0
O,16,0
O+,16,0
#NH3,17,5534
CH5+,17,0
NH3,17,0
NH3+,17,0
OH,17,0
OH+,17,0
#H2O,18,5700
H2O,18,0
H2O+,18,0
NH4+,18,0
H3O+,19,0
#C2,24,1600
#MG,24,5300
C2,24,0
C2+,24,0
MG,24,0
MG+,24,0
#C2H,25,2137
C2H,25,0
C2H+,25,0
#C2H2,26,2587
C2H2,26,0
C2H2+,26,0
CN,26,0
CN+,26,0
#C2H3,27,3037
#HCN,27,2050
#HNC,27,2050
C2H3,27,0
HCN,27,0
HCN+,27,0
HNC,27,0
#C2H4,28,3487
#CO,28,1150
#H2CN,28,2400
#N2,28,1000
C2H4,28,0
CO,28,0
CO+,28,0
H2CN,28,0
HCNH+,28,0
N2,28,0
N2+,28,0
SI,28,0
SI+,28,0
#C2H5,29,3937
C2H5,29,0
HCO,29,0
HCO+,29,0
HOC+,29,0
N2H+,29,0
SIH,29,0
SIH+,29,0
#H2CO,30,2050
#NO,30,1600
H2CO,30,0
H2CO+,30,0
NO,30,0
NO+,30,0
SIH2,30,0
SIH2+,30,0
#HNO,31,2050
H3CO+,31,0
HNO,31,0
HNO+,31,0
SIH3,31,0
SIH3+,31,0
#CH3OH,32,5534
#O2,32,1200
#SIH4,32,4500
CH3OH,32,0
H2NO+,32,0
O2,32,0
O2+,32,0
S,32,0
S+,32,0
SIH4,32,0
SIH4+,32,0
#O2H,33,3650
CH3OH2+,33,0
HS,33,0
HS+,33,0
O2H,33,0
O2H+,33,0
SIH5+,33,0
#H2S,34,2743
H2S,34,0
H2S+,34,0
CL,35,0
CL+,35,0
H3S+,35,0
#HCL,36,1550
C3+,36,0
HCL,36,0
HCL+,36,0
H2CL+,37,0
#C3H2,38,3387
C2N,38,0
C2N+,38,0
C3H2,38,0
C2NH+,39,0
#CH3CCH,40,4287
#SIC,40,3500
CH3CCH,40,0
SIC,40,0
SIC+,40,0
#CH3CN,41,4680
C3H5+,41,0
CH3CN,41,0
#CH2CO,42,2200
#CH3CNH,42,3740
CH2CO,42,0
CH3CNH,42,0
CH3CNH+,42,0
OCN,42,0
#HNCO,43,2850
HNCO,43,0
#CO2,44,2982
#CS,44,1900
#SIO,44,3500
CO2,44,0
CS,44,0
CS+,44,0
SIO,44,0
SIO+,44,0
HCO2+,45,0
HCS,45,0
HCS+,45,0
SIOH+,45,0
#C2H5OH,46,6259
#H2CS,46,2700
#H2SIO,46,4400
#NO2,46,2400
#NS,46,1900
C2H5OH,46,0
H2CS,46,0
H2CS+,46,0
H2SIO,46,0
NO2,46,0
NS,46,0
NS+,46,0
C2H5OH2+,47,0
H3CS+,47,0
HNS+,47,0
#SO,48,2600
SO,48,0
SO+,48,0
#C4H,49,3737
C4H,49,0
HSO+,49,0
C3N,50,0
#HC3N,51,4580
HC3N,51,0
#NCCN,52,3000
#SIC2,52,4300
C2N2+,52,0
NCCN,52,0
SIC2,52,0
SIC2+,52,0
#HCOOCH3,60,4210
#OCS,60,2888
#SIS,60,3800
HCOOCH3,60,0
OCS,60,0
OCS+,60,0
SIS,60,0
SIS+,60,0
H5C2O2+,61,0
HOCS+,61,0
HSIS+,61,0
#C4N,62,4000
C4N,62,0
C4N+,62,0
#SIC3,64,5100
#SO2,64,3405
S2,64,0
S2+,64,0
SIC3,64,0
SIC3+,64,0
SO2,64,0
SO2+,64,0
HS2,65,0
HS2+,65,0
HSO2+,65,0
H2S2+,66,0
