215
H,0,1
H+,0,1
H2,0,2
H2+,0,2
H3+,0,3
HE,0,4
HE+,0,4
HEH+,0,5
C,0,12
C+,0,12
CH,0,13
CH+,0,13
CH2,0,14
CH2+,0,14
N,0,14
N+,0,14
CH3,0,15
CH3+,0,15
NH,0,15
NH+,0,15
#CH4,0,16
CH4,0,16
CH4+,0,16
NH2,0,16
NH2+,0,16
O,0,16
O+,0,16
#NH3,0,17
CH5+,0,17
NH3,0,17
NH3+,0,17
OH,0,17
OH+,0,17
#H2O,0,18
H2O,0,18
H2O+,0,18
NH4+,0,18
H3O+,0,19
#C2,0,24
#MG,0,24
C2,0,24
C2+,0,24
MG,0,24
MG+,0,24
#C2H,0,25
C2H,0,25
C2H+,0,25
#C2H2,0,26
C2H2,0,26
C2H2+,0,26
CN,0,26
CN+,0,26
#C2H3,0,27
#HCN,0,27
#HNC,0,27
C2H3,0,27
HCN,0,27
HCN+,0,27
HNC,0,27
#C2H4,0,28
#CO,0,28
#H2CN,0,28
#N2,0,28
#SI,0,28
C2H4,0,28
CO,0,28
CO+,0,28
H2CN,0,28
HCNH+,0,28
N2,0,28
N2+,0,28
SI,0,28
SI+,0,28
#C2H5,0,29
C2H5,0,29
HCO,0,29
HCO+,0,29
N2H+,0,29
SIH,0,29
SIH+,0,29
#H2CO,0,30
#NO,0,30
H2CO,0,30
H2CO+,0,30
NO,0,30
NO+,0,30
SIH2,0,30
SIH2+,0,30
#HNO,0,31
H3CO+,0,31
HNO,0,31
HNO+,0,31
SIH3,0,31
SIH3+,0,31
#CH3OH,0,32
#O2,0,32
#S,0,32
#SIH4,0,32
CH3OH,0,32
H2NO+,0,32
O2,0,32
O2+,0,32
S,0,32
S+,0,32
SIH4,0,32
SIH4+,0,32
#O2H,0,33
CH3OH2+,0,33
HS,0,33
HS+,0,33
O2H,0,33
O2H+,0,33
SIH5+,0,33
#H2S,0,34
H2S,0,34
H2S+,0,34
CL,0,35
CL+,0,35
H3S+,0,35
#HCL,0,36
C3+,0,36
HCL,0,36
HCL+,0,36
H2CL+,0,37
C2N,0,38
C2N+,0,38
C2NH+,0,39
#CH3CCH,0,40
#SIC,0,40
CH3CCH,0,40
SIC,0,40
SIC+,0,40
#CH3CN,0,41
C3H5+,0,41
CH3CN,0,41
#CH2CO,0,42
#CH3CNH,0,42
#OCN,0,42
CH2CO,0,42
CH3CNH,0,42
CH3CNH+,0,42
OCN,0,42
#CO2,0,44
#CS,0,44
#SIO,0,44
CO2,0,44
CS,0,44
CS+,0,44
SIO,0,44
SIO+,0,44
#HCS,0,45
HCO2+,0,45
HCS,0,45
HCS+,0,45
SIOH+,0,45
#C2H5OH,0,46
#H2CS,0,46
#H2SIO,0,46
#NO2,0,46
#NS,0,46
C2H5OH,0,46
H2CS,0,46
H2CS+,0,46
H2SIO,0,46
NO2,0,46
NS,0,46
NS+,0,46
C2H5OH2+,0,47
H3CS+,0,47
HNS+,0,47
#SO,0,48
SO,0,48
SO+,0,48
HSO+,0,49
C3N,0,50
#HC3N,0,51
HC3N,0,51
#SIC2,0,52
C2N2+,0,52
SIC2,0,52
SIC2+,0,52
#HCOOCH3,0,60
#OCS,0,60
#SIS,0,60
HCOOCH3,0,60
OCS,0,60
OCS+,0,60
SIS,0,60
SIS+,0,60
H5C2O2+,0,61
HOCS+,0,61
HSIS+,0,61
C4N+,0,62
#S2,0,64
#SIC3,0,64
#SO2,0,64
S2,0,64
S2+,0,64
SIC3,0,64
SIC3+,0,64
SO2,0,64
SO2+,0,64
#HS2,0,65
HS2,0,65
HS2+,0,65
HSO2+,0,65
H2S2+,0,66
#C3H2,0,38
C3H2,0,38
C4H,0,49
#C4H,0,49
HOC+,0,29
HNCO,0,43
#HNCO,0,43
