  152 m-o2h       0.00e+00   33.0
  153 m-no2       0.00e+00   46.0
  154 m-hno       0.00e+00   31.0
  155 m-ch3oh     0.00e+00   32.0
  156 m-hnc       0.00e+00   27.0
  157 m-hc3n      0.00e+00   51.0
  158 m-c2h2      0.00e+00   26.0
  159 m-ch3cn     0.00e+00   41.0
  160 m-c2h5      0.00e+00   29.0
  161 m-h2co      0.00e+00   30.0
  162 m-c2        0.00e+00   24.0
  163 m-no        0.00e+00   30.0
  164 m-ch2co     0.00e+00   42.0
  165 m-c2h4      0.00e+00   28.0
  166 m-c2h3      0.00e+00   27.0
  167 m-ch3cch    0.00e+00   40.0
  168 m-c2h5oh    0.00e+00   46.0
  169 m-s         0.00e+00   32.0
  170 si         0.00e+00   28.0
  171 sio        0.00e+00   44.0
  172 sih        0.00e+00   29.0
  173 si+        0.00e+00   28.0
  174 sih+       0.00e+00   29.0
  175 sih2       0.00e+00   30.0
  176 sih2+      0.00e+00   30.0
  177 sih3       0.00e+00   31.0
  178 sih3+      0.00e+00   31.0
  179 sih4       0.00e+00   32.0
  180 sih4+      0.00e+00   32.0
  181 sic        0.00e+00   40.0
  182 sic2       0.00e+00   52.0
  183 sic+       0.00e+00   40.0
  184 sic2+      0.00e+00   52.0
  185 sic3       0.00e+00   64.0
  186 sic3+      0.00e+00   64.0
  187 sio+       0.00e+00   44.0
  188 sioh+      0.00e+00   45.0
  189 sis        0.00e+00   60.0
  190 sis+       0.00e+00   60.0
  191 hsis+      0.00e+00   61.0
  192 h2sio      0.00e+00   46.0
  193 m-si        0.00e+00   28.0
  194 m-sih4      0.00e+00   32.0
  195 m-sio       0.00e+00   44.0
  196 m-sic       0.00e+00   40.0
  197 m-sic2      0.00e+00   52.0
  198 m-sic3      0.00e+00   64.0
  199 m-h2sio     0.00e+00   46.0
  200 m-sis       0.00e+00   60.0
  201 sih5+      0.00e+00   33.0
  202 cl         0.00e+00   35.0
  203 cl+        0.00e+00   35.0
  204 hcl        0.00e+00   36.0
  205 hcl+       0.00e+00   36.0
  206 h2cl+      0.00e+00   37.0
  207 m-hcl       0.00e+00   36.0
  208 m-oh        0.00e+00   17.0
  209 m-o         0.00e+00   16.0
  210 m-o3        0.00e+00   48.0
  211 m-hco       0.00e+00   29.0
  212 m-h2coh     0.00e+00   31.0
  213 m-ho2       0.00e+00   33.0
    0 e-         0.00e+00    0.0
