2.303e+04 1.001e+02 1.186e-06 1.613e-11 8.470e-09 1.641e-09
2.403e+04 1.001e+02 1.229e-06 1.743e-11 8.202e-09 1.645e-09
2.503e+04 1.001e+02 1.271e-06 1.878e-11 7.955e-09 1.650e-09
2.603e+04 1.002e+02 1.311e-06 2.012e-11 7.730e-09 1.656e-09
2.703e+04 1.002e+02 1.351e-06 2.151e-11 7.521e-09 1.660e-09
2.803e+04 1.002e+02 1.389e-06 2.293e-11 7.328e-09 1.664e-09
2.903e+04 1.002e+02 1.427e-06 2.439e-11 7.148e-09 1.667e-09
3.003e+04 1.002e+02 1.463e-06 2.588e-11 6.980e-09 1.669e-09
3.103e+04 1.002e+02 1.499e-06 2.737e-11 6.825e-09 1.673e-09
3.203e+04 1.002e+02 1.533e-06 2.887e-11 6.682e-09 1.677e-09
3.303e+04 1.002e+02 1.567e-06 3.040e-11 6.548e-09 1.680e-09
3.403e+04 1.002e+02 1.600e-06 3.199e-11 6.422e-09 1.680e-09
3.503e+04 1.002e+02 1.633e-06 3.354e-11 6.305e-09 1.684e-09
3.603e+04 1.002e+02 1.664e-06 3.516e-11 6.194e-09 1.685e-09
3.703e+04 1.002e+02 1.695e-06 3.681e-11 6.089e-09 1.685e-09
3.803e+04 1.002e+02 1.725e-06 3.846e-11 5.990e-09 1.687e-09
3.903e+04 1.002e+02 1.754e-06 4.013e-11 5.898e-09 1.688e-09
4.003e+04 1.002e+02 1.783e-06 4.176e-11 5.811e-09 1.691e-09
4.103e+04 1.002e+02 1.811e-06 4.347e-11 5.729e-09 1.691e-09
4.203e+04 1.002e+02 1.838e-06 4.517e-11 5.651e-09 1.692e-09
4.303e+04 1.002e+02 1.865e-06 4.688e-11 5.578e-09 1.693e-09
4.403e+04 1.002e+02 1.891e-06 4.863e-11 5.507e-09 1.694e-09
4.503e+04 1.002e+02 1.917e-06 5.040e-11 5.441e-09 1.694e-09
4.603e+04 1.002e+02 1.942e-06 5.220e-11 5.376e-09 1.693e-09
4.703e+04 1.002e+02 1.967e-06 5.398e-11 5.316e-09 1.694e-09
4.803e+04 1.002e+02 1.991e-06 5.576e-11 5.259e-09 1.695e-09
4.903e+04 1.002e+02 2.014e-06 5.756e-11 5.205e-09 1.695e-09
5.003e+04 1.002e+02 2.037e-06 5.940e-11 5.153e-09 1.695e-09
5.103e+04 1.002e+02 2.060e-06 6.127e-11 5.103e-09 1.694e-09
5.203e+04 1.002e+02 2.083e-06 6.315e-11 5.055e-09 1.693e-09
5.303e+04 1.002e+02 2.104e-06 6.505e-11 5.009e-09 1.693e-09
5.403e+04 1.002e+02 2.126e-06 6.695e-11 4.965e-09 1.693e-09
5.503e+04 1.002e+02 2.147e-06 6.882e-11 4.925e-09 1.693e-09
5.603e+04 1.002e+02 2.168e-06 7.068e-11 4.886e-09 1.694e-09
5.703e+04 1.002e+02 2.188e-06 7.263e-11 4.848e-09 1.693e-09
5.803e+04 1.002e+02 2.208e-06 7.456e-11 4.813e-09 1.692e-09
5.903e+04 1.002e+02 2.228e-06 7.647e-11 4.779e-09 1.693e-09
6.003e+04 1.002e+02 2.247e-06 7.844e-11 4.746e-09 1.692e-09
6.103e+04 1.002e+02 2.266e-06 8.043e-11 4.714e-09 1.691e-09
6.203e+04 1.002e+02 2.284e-06 8.241e-11 4.683e-09 1.690e-09
6.303e+04 1.002e+02 2.303e-06 8.438e-11 4.655e-09 1.690e-09
6.403e+04 1.002e+02 2.321e-06 8.636e-11 4.627e-09 1.690e-09
6.503e+04 1.002e+02 2.339e-06 8.840e-11 4.600e-09 1.689e-09
6.603e+04 1.002e+02 2.356e-06 9.041e-11 4.575e-09 1.689e-09
