59,CH+,SI,NAN,SI+,CH,NAN,NAN,2.00E-10,0.00,0.0,10,41000
60,CH2+,NO,NAN,NO+,CH2,NAN,NAN,4.20E-10,0.00,0.0,10,41000
61,CH2,C2+,NAN,C2,CH2+,NAN,NAN,4.50E-10,0.00,0.0,10,41000
62,CH2,CN+,NAN,CN,CH2+,NAN,NAN,8.80E-10,0.00,0.0,10,41000
63,CH2,CO+,NAN,CO,CH2+,NAN,NAN,4.30E-10,0.00,0.0,10,41000
64,CH2,H2CO+,NAN,H2CO,CH2+,NAN,NAN,4.30E-10,0.00,0.0,10,41000
65,CH2,H2O+,NAN,H2O,CH2+,NAN,NAN,4.70E-10,0.00,0.0,10,41000
66,CH2,N2+,NAN,N2,CH2+,NAN,NAN,8.70E-10,0.00,0.0,10,41000
67,CH2,NH2+,NAN,NH2,CH2+,NAN,NAN,4.90E-10,0.00,0.0,10,41000
68,CH2,O+,NAN,O,CH2+,NAN,NAN,9.70E-10,0.00,0.0,10,41000
69,CH2,O2+,NAN,O2,CH2+,NAN,NAN,4.30E-10,0.00,0.0,10,41000
70,CH2,OH+,NAN,OH,CH2+,NAN,NAN,4.80E-10,0.00,0.0,10,41000
71,CH3+,HCO,NAN,HCO+,CH3,NAN,NAN,4.40E-10,-0.50,0.0,10,41000
72,CH3+,MG,NAN,MG+,CH3,NAN,NAN,3.50E-09,0.00,0.0,10,41000
73,CH3+,NO,NAN,NO+,CH3,NAN,NAN,1.00E-09,0.00,0.0,10,41000
74,CH4+,C2H2,NAN,C2H2+,CH4,NAN,NAN,1.13E-09,0.00,0.0,10,41000
75,CH4+,H2CO,NAN,H2CO+,CH4,NAN,NAN,1.62E-09,-0.50,0.0,10,41000
76,CH4+,H2S,NAN,H2S+,CH4,NAN,NAN,9.45E-10,-0.50,0.0,10,41000
77,CH4+,NH3,NAN,NH3+,CH4,NAN,NAN,1.65E-09,-0.50,0.0,10,41000
78,CH4+,O2,NAN,O2+,CH4,NAN,NAN,3.90E-10,0.00,0.0,10,41000
79,CH4+,OCS,NAN,OCS+,CH4,NAN,NAN,4.20E-10,0.00,0.0,10,41000
80,CH4,CO+,NAN,CO,CH4+,NAN,NAN,7.93E-10,0.00,0.0,10,41000
