  85 ch       h2o+              h2o      ch+                3.40e-10   -0.50       0.0
  86 ch       n+                n        ch+                3.60e-10   -0.50       0.0
  87 ch       n2+               n2       ch+                6.30e-10   -0.50       0.0
  88 ch       nh2+              nh2      ch+                3.50e-10   -0.50       0.0
  89 ch       o+                o        ch+                3.50e-10   -0.50       0.0
  90 ch       o2+               o2       ch+                3.10e-10   -0.50       0.0
  91 ch       oh+               oh       ch+                3.50e-10   -0.50       0.0
  92 cn+      co                co+      cn                 6.30e-10    0.00       0.0
  93 cn+      h2co              h2co+    cn                 5.20e-10   -0.50       0.0
  94 cn+      hcn               hcn+     cn                 1.79e-09   -0.50       0.0
  95 cn+      hco               hco+     cn                 3.70e-10   -0.50       0.0
  96 cn+      no                no+      cn                 5.70e-10    0.00       0.0
  97 cn+      o2                o2+      cn                 2.58e-10    0.00       0.0
  98 cn+      s                 s+       cn                 1.10e-09    0.00       0.0
  99 cn       n2+               n2       cn+                1.00e-10   -0.50       0.0
 100 co+      h2co              h2co+    co                 1.35e-09   -0.50       0.0
 101 co+      h2s               h2s+     co                 2.44e-09   -0.50       0.0
 102 co+      hco               hco+     co                 7.40e-10   -0.50       0.0
 103 co+      no                no+      co                 3.30e-10    0.00       0.0
 104 co+      o2                o2+      co                 1.20e-10    0.00       0.0
 105 co+      s                 s+       co                 1.10e-09    0.00       0.0
 106 co       n2+               n2       co+                7.40e-11    0.00       0.0
 107 cl+      h                 cl       h+                 6.20e-11    0.79    6920.0
 108 cl       h+                cl+      h                  9.30e-11    0.73     232.0
 109 h+       c2                c2+      h                  3.10e-09    0.00       0.0
 110 h+       c2h2              c2h2+    h                  5.40e-10    0.00       0.0
 111 h+       c2h               c2h+     h                  1.50e-09    0.00       0.0
 112 h+       c2n               c2n+     h                  4.00e-09    0.00       0.0
 113 h+       ch2               ch2+     h                  1.40e-09    0.00       0.0
 114 h+       ch3               ch3+     h                  3.40e-09    0.00       0.0
 115 h+       ch4               ch4+     h                  1.50e-09    0.00       0.0
 116 h+       ch                ch+      h                  1.90e-09   -0.50       0.0
 117 h+       cs                cs+      h                  4.90e-09   -0.50       0.0
 118 h+       h2co              h2co+    h                  2.96e-09   -0.50       0.0
 119 h+       h2cs              h2cs+    h                  4.70e-09   -0.50       0.0
 120 h+       h2o               h2o+     h                  6.90e-09   -0.50       0.0
 121 h+       h2s               h2s+     h                  5.28e-09   -0.50       0.0
 122 h+       hcn               hcn+     h                  1.05e-08   -0.13       0.0
 123 h+       hco               hco+     h                  9.40e-10   -0.50       0.0
