H,1,NA,0
H+,1,NA,0
H2,2,NA,0
H2+,2,NA,0
H3+,3,NA,0
HE,4,NA,0
HE+,4,NA,0
HEH+,5,NA,0
C,12,NA,0
C+,12,NA,0
CH,13,NA,0
CH+,13,NA,0
CH2,14,NA,0
CH2+,14,NA,0
N,14,NA,0
N+,14,NA,0
CH3,15,NA,0
CH3+,15,NA,0
NH,15,NA,0
NH+,15,NA,0
#CH4,16,CO2,1080
CH4,16,NA,0
CH4+,16,NA,0
NH2,16,NA,0
NH2+,16,NA,0
O,16,NA,0
O+,16,NA,0
#NH3,17,H2O,0
CH5+,17,NA,0
NH3,17,NA,0
NH3+,17,NA,0
OH,17,NA,0
OH+,17,NA,0
#H2O,18,H2O,0
H2O,18,NA,0
H2O+,18,NA,0
NH4+,18,NA,0
H3O+,19,NA,0
#C2,24,REAC,0
#MG,24,REF,0
C2,24,NA,0
C2+,24,NA,0
MG,24,NA,0
MG+,24,NA,0
#C2H,25,REAC,0
C2H,25,NA,0
C2H+,25,NA,0
#C2H2,26,INT1,2400
C2H2,26,NA,0
C2H2+,26,NA,0
CN,26,NA,0
CN+,26,NA,0
#C2H3,27,REAC,0
#HCN,27,INT1,4170
#HNC,27,INT1,1510
C2H3,27,NA,0
HCN,27,NA,0
HCN+,27,NA,0
HNC,27,NA,0
#C2H4,28,INT2,0
#CO,28,CO1,960
#H2CN,28,REAC,0
#N2,28,CO1,710
#SI,28,NA,0
C2H4,28,NA,0
CO,28,NA,0
CO+,28,NA,0
H2CN,28,NA,0
HCNH+,28,NA,0
N2,28,NA,0
N2+,28,NA,0
SI,28,NA,0
SI+,28,NA,0
#C2H5,29,REAC,0
C2H5,29,NA,0
HCO,29,NA,0
HCO+,29,NA,0
N2H+,29,NA,0
SIH,29,NA,0
SIH+,29,NA,0
#H2CO,30,H2O,0
#NO,30,CO2,1210
H2CO,30,NA,0
H2CO+,30,NA,0
NO,30,NA,0
NO+,30,NA,0
SIH2,30,NA,0
SIH2+,30,NA,0
#HNO,31,REAC,0
H3CO+,31,NA,0
HNO,31,NA,0
HNO+,31,NA,0
SIH3,31,NA,0
SIH3+,31,NA,0
#CH3OH,32,H2O,0
#O2,32,CO1,1210
#S,32,NA,0
#SIH4,32,NA,0
CH3OH,32,NA,0
H2NO+,32,NA,0
O2,32,NA,0
O2+,32,NA,0
S,32,NA,0
S+,32,NA,0
SIH4,32,NA,0
SIH4+,32,NA,0
#O2H,33,REAC,0
CH3OH2+,33,NA,0
HS,33,NA,0
HS+,33,NA,0
O2H,33,NA,0
O2H+,33,NA,0
SIH5+,33,NA,0
#H2S,34,INT1,1800
H2S,34,NA,0
H2S+,34,NA,0
CL,35,NA,0
CL+,35,NA,0
H3S+,35,NA,0
#HCL,36,NA,0
C3+,36,NA,0
HCL,36,NA,0
HCL+,36,NA,0
H2CL+,37,NA,0
C2N,38,NA,0
C2N+,38,NA,0
C2NH+,39,NA,0
#CH3CCH,40,NA,0
#SIC,40,NA,0
CH3CCH,40,NA,0
SIC,40,NA,0
SIC+,40,NA,0
#CH3CN,41,INT2,0
C3H5+,41,NA,0
CH3CN,41,NA,0
#CH2CO,42,H2O,0
#CH3CNH,42,NA,0
#OCN,42,REAC,0
CH2CO,42,NA,0
CH3CNH,42,NA,0
CH3CNH+,42,NA,0
OCN,42,NA,0
#CO2,44,INT2,0
#CS,44,CO2,2000
#SIO,44,NA,0
CO2,44,NA,0
CS,44,NA,0
CS+,44,NA,0
SIO,44,NA,0
SIO+,44,NA,0
#HCS,45,INT1,2000
HCO2+,45,NA,0
HCS,45,NA,0
HCS+,45,NA,0
SIOH+,45,NA,0
#C2H5OH,46,H2O,0
#H2CS,46,H2O,0
#H2SIO,46,NA,0
#NO2,46,H2O,0
#NS,46,INT1,2000
C2H5OH,46,NA,0
H2CS,46,NA,0
H2CS+,46,NA,0
H2SIO,46,NA,0
NO2,46,NA,0
NS,46,NA,0
NS+,46,NA,0
C2H5OH2+,47,NA,0
H3CS+,47,NA,0
HNS+,47,NA,0
#SO,48,H2O,0
SO,48,NA,0
SO+,48,NA,0
HSO+,49,NA,0
C3N,50,NA,0
#HC3N,51,INT2,0
HC3N,51,NA,0
#SIC2,52,NA,0
C2N2+,52,NA,0
SIC2,52,NA,0
SIC2+,52,NA,0
#HCOOCH3,60,NA,0
#OCS,60,INT2,0
#SIS,60,NA,0
HCOOCH3,60,NA,0
OCS,60,NA,0
OCS+,60,NA,0
SIS,60,NA,0
SIS+,60,NA,0
H5C2O2+,61,NA,0
HOCS+,61,NA,0
HSIS+,61,NA,0
C4N+,62,NA,0
#S2,64,REF,0
#SIC3,64,NA,0
#SO2,64,INT2,0
S2,64,NA,0
S2+,64,NA,0
SIC3,64,NA,0
SIC3+,64,NA,0
SO2,64,NA,0
SO2+,64,NA,0
#HS2,65,REAC,0
HS2,65,NA,0
HS2+,65,NA,0
HSO2+,65,NA,0
H2S2+,66,NA,0
#C3H2,38,NA,0
C3H2,38,NA,0
C4H,49,NA,0
#C4H,49,NA,0
HOC+,29,NA,0
HNCO,43,NA,0
#HNCO,43,NA,0
NCCN,52,NA,0
HC2O,31,NA,0
H2S2,66,NA,0
CS2,76,NA,0
COOCH4+,60,NA,0
CH3CO,43,NA,0
CH3CO+,43,NA,0
CH3CHO,44,NA,0
CH2OHCHO,60,NA,0
CH2CO+,42,NA,0
CH2CHO,43,NA,0
CH2CCH2,40,NA,0
C2H5CN,55,NA,0
C2H4O+,44,NA,0
C2H4O,44,NA,0
HOCCOH,58,NA,0
#O,16,REF,0
