!
! H ABSTRACTION REACTIONS. RATES FROM GARROD 2008
!
CO2,FREEZE,,#CO2,,,,1,0,0,,,
CH3,FREEZE,,#CH3,,,,1.0,0,0,,,
CH4,FREEZE,,#CH4,,,,1,0,0,,,
CH4+,FREEZE,,#CH4,,,,1,1,0,,,
HCO,FREEZE,,#HCO,,,,1.0,0,0,,,
N2,FREEZE,,#N2,,,,1,0,0,,,
CN,FREEZE,,#HCN,,,,1,0,0,,,
C+,FREEZE,,#C,,,,1,1,0,,,
NH,FREEZE,,#NH,,,,1,0,0,,,
HCN,FREEZE,,#HCN,,,,1,0,0,,,
C2H,FREEZE,,#C2H,,,,1,0,0,,,
NH3,FREEZE,,#NH3,,,,1,0,0,,,
N+,FREEZE,,#NH3,,,,1,1,0,,,
O+,FREEZE,,#O,,,,1,1,0,,,
C2+,FREEZE,,#C2,,,,1,1,0,,,
O2+,FREEZE,,#O2,,,,1,1,0,,,
N2+,FREEZE,,#N2,,,,1,1,0,,,
CH+,FREEZE,,#CH4,,,,1,1,0,,,
NH+,FREEZE,,#NH3,,,,1,1,0,,,
OH+,FREEZE,,#OH,,,,1,1,0,,,
CO+,FREEZE,,#CO,,,,1,1,0,,,
CN+,FREEZE,,#HCN,,,,1,1,0,,,
NO+,FREEZE,,#NO,,,,1,1,0,,,
CH2+,FREEZE,,#CH2,,,,1,1,0,,,
NH2+,FREEZE,,#NH2,,,,1,1,0,,,
H2O+,FREEZE,,#H2O,,,,1,1,0,,,
HCO+,FREEZE,,#H2CO,,,,1,1,0,,,
HCN+,FREEZE,,#HCN,,,,1,1,0,,,
C2H+,FREEZE,,#C2H,,,,1,1,0,,,
NH3+,FREEZE,,#NH3,,,,1,1,0,,,
H2CO+,FREEZE,,#H2CO,,,,1,1,0,,,
CH3+,FREEZE,,#CH4,,,,1,1,0,,,
HCO2+,FREEZE,,#CO2,H,,,1,1,0,,,
CH5+,FREEZE,,#CH4,H,,,1,1,0,,,
NH2,FREEZE,,#NH2,,,,1,0,0,,,
N,FREEZE,,#N,,,,1,0,0,,,
O,FREEZE,,#O,,,,1,0,0,,,
O2,FREEZE,,#O2,,,,1,0,0,,,
HS,FREEZE,,#H2S,,,,1,0,0,,,
CS,FREEZE,,#H2CS,,,,1,0,0,,,
SO,FREEZE,,#SO,,,,1,0,0,,,
H2S,FREEZE,,#H2S,,,,1,0,0,,,
HCS,FREEZE,,#H2CS,,,,1,0,0,,,
OCS,FREEZE,,#OCS,,,,1,0,0,,,
SO2,FREEZE,,#SO2,,,,1,0,0,,,
S,FREEZE,,#H2S,,,,1,0,0,,,
NS,FREEZE,,#NS,,,,1,0,0,,,
H2CS,FREEZE,,#H2CS,,,,1,0,0,,,
S+,FREEZE,,#H2S,,,,1,1,0,,,
HS+,FREEZE,,#H2S,,,,1,1,0,,,
CS+,FREEZE,,#H2CS,,,,1,1,0,,,
SO+,FREEZE,,#SO,,,,1,1,0,,,
HCS+,FREEZE,,#H2CS,,,,1,1,0,,,
OCS+,FREEZE,,#OCS,,,,1,1,0,,,
NO2,FREEZE,,#NO2,,,,1,0,0,,,
HNO,FREEZE,,#HNO,,,,1,0,0,,,
HNO+,FREEZE,,#HNO,,,,1,1,0,,,
H2NO+,FREEZE,,#HNO,H,,,1,1,0,,,
O2H+,FREEZE,,#O2H,,,,1,1,0,,,
H2CN,FREEZE,,#H2CN,,,,1,0,0,,,
NS+,FREEZE,,#NS,,,,1,1,0,,,
C2H2+,FREEZE,,#C2H2,,,,1,1,0,,,
H3S+,FREEZE,,#H2S,H,,,1,1,0,,,
H2CS+,FREEZE,,#H2CS,,,,1,1,0,,,
H2S2+,FREEZE,,#H2S2,,,,1,1,0,,,
S2+,FREEZE,,#H2S2,,,,1,1,0,,,
H3CS+,FREEZE,,#H2CS,H,,,1,1,0,,,
HSO+,FREEZE,,#SO,H,,,1,1,0,,,
SO2+,FREEZE,,#SO2,,,,1,1,0,,,
HOCS+,FREEZE,,#OCS,H,,,1,1,0,,,
MG+,FREEZE,,#MG,,,,1,1,0,,,
MG,FREEZE,,#MG,,,,1,0,0,,,
NH4+,FREEZE,,#NH3,H,,,1,1,0,,,
HCNH+,FREEZE,,#HCN,H,,,1,1,0,,,
N2H+,FREEZE,,#N2,H,,,1,1,0,,,
HNS+,FREEZE,,#NS,H,,,1,1,0,,,
C3+,FREEZE,,#C2,C,,,1,1,0,,,
H2S+,FREEZE,,#H2S,,,,1,1,0,,,
O2H,FREEZE,,#O2H,,,,1,0,0,,,
HSO2+,FREEZE,,#SO2,H,,,1,1,0,,,
HNC,FREEZE,,#HNC,,,,1,0,0,,,
C2H2,FREEZE,,#C2H2,,,,1,0,0,,,
CH3CN,FREEZE,,#CH3CN,,,,1,0,0,,,
C2H4,FREEZE,,#C2H4,,,,1,0,0,,,
C2H5,FREEZE,,#C2H5,,,,1,0,0,,,
CH2OH,FREEZE,,#CH2OH,,,,1,0,0,,
H3CO,FREEZE,,#H3CO,,,,1,0,0,,
HCOO,FREEZE,,#HCOO,,,,1,0,0,,
HCOOH,FREEZE,,#HCOOH,,,,1,0,0,,
CH3CHO,FREEZE,,#CH3CHO,,,,1,0,0,,
NH2CHO,FREEZE,,#NH2CHO,,,,1,0,0,,
!
!
! BASIC GRAIN NETWORK
! HYDROGENATION
#H,#H,CHEMDES,H2,,,,1,0,0,,,
#H,#C,DIFF,#CH,,,,1,0,0,,,
#H,#C,CHEMDES,CH,,,,1,0,0,,,
#H,#CH,DIFF,#CH2,,,,1,0,0,,,
#H,#CH,CHEMDES,CH2,,,,1,0,0,,,
#H,#CH2,DIFF,#CH3,,,,1,0,0,,,
#H,#CH2,CHEMDES,CH3,,,,1,0,0,,,
#H,#CH3,DIFF,#CH4,,,,1,0,0,,,
#H,#CH3,CHEMDES,CH4,,,,1,0,0,,,
#H,#O,DIFF,#OH,,,,1,0,0,,,
#H,#O,CHEMDES,OH,,,,1,0,0,,,
#H,#OH,DIFF,#H2O,,,,1,0,0,,,
#H,#OH,CHEMDES,H2O,,,,1,0,0,,,
#H,#N,DIFF,#NH,,,,1,0,0,,,
#H,#N,CHEMDES,NH,,,,1,0,0,,,
#H,#NH,DIFF,#NH2,,,,1,0,0,,,
#H,#NH,CHEMDES,NH2,,,,1,0,0,,,
#H,#NH2,DIFF,#NH3,,,,1,0,0,,,
#H,#NH2,CHEMDES,NH3,,,,1,0,0,,,
#H,#CO,DIFF,#HCO,,,,1,0,2500,,,
#H,#CO,CHEMDES,HCO,,,,1,0,2500,,,
#H,#HCO,DIFF,#H2CO,,,,0.5,0,0,,,
#H,#HCO,CHEMDES,H2CO,,,,0.5,0,0,,,
#H,#HCO,DIFF,#CO,#H2,,,0.5,0,0,,,
#H,#HCO,CHEMDES,CO,H2,,,0.5,0,0,,,
#H,#H2CO,DIFF,#CH2OH,,,,0.33,0,5400,,,
#H,#H2CO,CHEMDES,CH2OH,,,,0.33,0,5400,,,
#H,#H2CO,DIFF,#H3CO,,,,0.33,0,2200,,,
#H,#H2CO,CHEMDES,H3CO,,,,0.33,0,2200,,,
#H,#H2CO,DIFF,#HCO,#H2,,,0.33,0,1740,,,
#H,#H2CO,CHEMDES,HCO,H2,,,0.33,0,1740,,,
#H,#CH2OH,CHEMDES,CH3OH,,,,1,0,0,,,
#H,#CH2OH,DIFF,#CH3OH,,,,1,0,0,,,
#H,#H3CO,DIFF,#CH3OH,,,,1,0,0,,,
#H,#H3CO,CHEMDES,CH3OH,,,,1,0,0,,,
!
! MINISSALE 2016 REACTIONS
!
#N,#N,DIFF,#N2,,,,0,0,0,,,                    		! UNLIKELY ON DUST GRAINS (MINISSALE ET AL. 2016)
#N,#N,CHEMDES,N2,,,,0,0,0,,,                  		! UNLIKELY ON DUST GRAINS (MINISSALE ET AL. 2016)
#CO,#OH,DIFF,#CO2,,,,1,0,1000,,, !IOPPOLO 2013
#CO,#OH,CHEMDES,CO2,,,,1,0,1000,,,
#O,#O,DIFF,#O2,,,,1,0,0,,,
#O,#O,CHEMDES,O2,,,,1,0,0,,,
#H2CO,#O,DIFF,#CO2,H2,,,1,0,0,,,
#H2CO,#O,CHEMDES,CO2,H2,,,1,0,0,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!%%%%%%%% HNCO NETWORK %%%%%%%%%
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
! FROM QUAN+ 2010
!
#H,#OCN,DIFF,#HNCO,,,,0.5,0,0,,,
#H,#OCN,CHEMDES,HNCO,,,,0.5,0,0,,,
#H,#OCN,DIFF,#HOCN,,,,0.5,0,0,,,
#H,#OCN,CHEMDES,HOCN,,,,0.5,0,0,,,
#C,#HOCN,DIFF,#CO,#HCN,,,1,0,0,,,
#C,#HOCN,CHEMDES,CO,HCN,,,1,0,0,,,
#H,#CNO,DIFF,#HCNO,,,,0.5,0,0,,,
#H,#CNO,CHEMDES,HCNO,,,,0.5,0,0,,,
#C,#HCNO,DIFF,#C2H,#NO,,,1,0,0,,,
#C,#HCNO,CHEMDES,C2H,NO,,,1,0,0,,,
#H,#CNO,DIFF,#HONC,,,,0.5,0,0,,,
#H,#CNO,CHEMDES,HONC,,,,0.5,0,0,,,
#O,#HONC,DIFF,#O2H,#CN,,,1,0,0,,,
#O,#HONC,CHEMDES,O2H,CN,,,1,0,0,,,
#C,#OCN,DIFF,#CN,#CO,,,1,0,0,,,
#C,#OCN,CHEMDES,CN,CO,,,1,0,0,,,
#O,#OCN,DIFF,#CO,#NO,,,1,0,0,,,
#O,#OCN,CHEMDES,CO,NO,,,1,0,0,,,
#C,#CNO,DIFF,#CN,#CO,,,1,0,0,,,
#C,#CNO,CHEMDES,CN,CO,,,1,0,0,,,
#C,#NO,DIFF,#CNO,,,,1,0,0,,,
#C,#NO,CHEMDES,CNO,,,,1,0,0,,,
#HNCO,CRPHOT,,#NH,#CO,,,1.3E-17,0,1500,,,
#HOCN,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#HCNO,CRPHOT,,#CH,#NO,,,1.3E-17,0,1500,,,
#HONC,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
