CH3CNH+,42,NA,0,0,0
OCN,42,NA,0,0,0
#OCN,42,REAC,2400,0,0
#HNCO,43,H2O,2850,0,0
#CH2CHO,43,INT,2650,0,0.5
#CH3CO,43,INT,2325,0,0.5
CH2CHO,43,NA,0,0,0
CH3CO,43,NA,0,0,0
CH3CO+,43,NA,0,0,0
HCNO,43,NA,0,0,0
HNCO,43,NA,0,0,0
HOCN,43,NA,0,0,0
HONC,43,NA,0,0,0
#SIO,44,CO1,3500,0.7,0.667
#C2H4O,44,CO2,2775,0.7,0.667
#CS,44,CO2,1900,0.7,0.667
#CH3CHO,44,INT,2450,0,0.5
#CO2,44,INT,2982,0.24,0.92
H2CNO,44,NA,0,0,0
C2H4O,44,NA,0,0,0
C2H4O+,44,NA,0,0,0
CH3CHO,44,NA,0,0,0
CO2,44,NA,0,0,0
CS,44,NA,0,0,0
CS+,44,NA,0,0,0
H2CNO+,44,NA,0,0,0
SIO,44,NA,0,0,0
SIO+,44,NA,0,0,0
#H2CNO,44,REAC,5106,0,0
#HCS,45,INT,2350,0.1,0.5
#NH2CHO,45,INT,5556,0,0.5
CH3OCH2,45,NA,0,0,0
HCO2+,45,NA,0,0,0
HCS,45,NA,0,0,0
HCS+,45,NA,0,0,0
NH2CHO,45,NA,0,0,0
SIOH+,45,NA,0,0,0
#C2H5OH,46,H2O,6259,0,0
#H2CS,46,H2O,2700,0,0
#NO2,46,H2O,2400,0,0
#NS,46,INT,1900,0.1,0.5
#H2SIO,46,INT,4400,0,0.5
C2H5OH,46,NA,0,0,0
CH3OCH3,46,NA,0,0,0
H2CS,46,NA,0,0,0
H2CS+,46,NA,0,0,0
H2SIO,46,NA,0,0,0
NO2,46,NA,0,0,0
NS,46,NA,0,0,0
NS+,46,NA,0,0,0
#CH3OCH3,46,INT,3675,0,0.5
C2H5OH2+,47,NA,0,0,0
H3CS+,47,NA,0,0,0
HNS+,47,NA,0,0,0
#SO,48,H2O,2600,0,0
SO,48,NA,0,0,0
SO+,48,NA,0,0,0
C4H,49,NA,0,0,0
HSO+,49,NA,0,0,0
#C4H,49,REAC,3737,0,0
C3N,50,NA,0,0,0
#HC3N,51,INT,4580,0,0.5
HC3N,51,NA,0,0,0
C2N2+,52,NA,0,0,0
NCCN,52,NA,0,0,0
SIC2,52,NA,0,0,0
SIC2+,52,NA,0,0,0
#NCCN,52,REAC,3000,0,0
#SIC2,52,REAC,4300,0,0
#C2H5CN,55,H2O,5537,0,0
C2H5CN,55,NA,0,0,0
C3H3O,55,NA,0,0,0
#C3H3O,55,REAC,2800,0,0
#CH3NCO,57,H2O,3000,0,0
CH3NCO,57,NA,0,0,0
#HOCCOH,58,H2O,3200,0,0
CH3NCOH+,58,NA,0,0,0
HOCCOH,58,NA,0,0,0
#CH2OCHO,59,H2O,6234,0,0
CH2OCHO,59,NA,0,0,0
#HCOOCH3,60,INT,4210,0.1,0.92
#SIS,60,CO2,3800,0.7,0.667
#CH2OHCHO,60,INT,5629,0,0.12
#OCS,60,INT,2888,0,0.5
CH2OHCHO,60,NA,0,0,0
COOCH4+,60,NA,0,0,0
HCOOCH3,60,NA,0,0,0
OCS,60,NA,0,0,0
OCS+,60,NA,0,0,0
SIS,60,NA,0,0,0
SIS+,60,NA,0,0,0
#CH2OHCHOH,61,H2O,8000,0,0
H5C2O2+,61,NA,0,0,0
HOCS+,61,NA,0,0,0
HSIS+,61,NA,0,0,0
CH2OHCHOH,61,NA,0,0,0
C4N,62,NA,0,0,0
C4N+,62,NA,0,0,0
CH2OHCH2OH,62,NA,0,0,0
#C4N,62,REAC,4000,0,0
#CH2OHCH2OH,62,H2O,10168,0,0
#SIC3,64,H2O,5100,0,0
#SO2,64,INT,3405,0,0.5
S2,64,NA,0,0,0
S2+,64,NA,0,0,0
SIC3,64,NA,0,0,0
SIC3+,64,NA,0,0,0
SO2,64,NA,0,0,0
SO2+,64,NA,0,0,0
#S2,64,REF,2200,0,0
HS2,65,NA,0,0,0
HS2+,65,NA,0,0,0
HSO2+,65,NA,0,0,0
#HS2,65,REAC,2650,0,0
#H2S2,66,INT,3100,0.1,0.5
H2S2,66,NA,0,0,0
H2S2+,66,NA,0,0,0
CS2,76,NA,0,0,0
#CS2,76,REF,2575,0,0
