OH,OH,,H2O2,,,,1,0,0,,,
OH,CH3,,CH3OH,,,,1,0,0,,,
OH,CH2,,CH2OH,,,,1,0,0,,,
OH,CH,,H2CO,,,,1,0,0,,,
OH,NH2,,NH2OH,,,,1,0,0,,,
OH,NH,,NHOH,,,,1,0,0,,,
OH,CHO,,HCOOH,,,,1,0,0,,,
OH,CH3O,,CH3OOH,,,,1,0,0,,,
OH,CH2OH,,CH2(OH)2,,,,1,0,0,,,
CH3,CH3,,C2H6,,,,1,0,0,,,
CH3,CH2,,CH3CH2,,,,1,0,0,,,
CH3,CH,,CH3CH,,,,1,0,0,,,
CH3,NH2,,CH3NH2,,,,1,0,0,,,
CH3,NH,,CH3NH,,,,1,0,0,,,
CH3,CHO,,CH3CHO,,,,1,0,0,,,
CH3,CH3O,,CH3OCH3,,,,1,0,0,,,
CH3,CH2OH,,C2H5OH,,,,1,0,0,,,
CH2,CH2,,C2H4,,,,1,0,0,,,
CH2,CH,,CH2CH,,,,1,0,0,,,
CH2,NH2,,CH2NH2,,,,1,0,0,,,
CH2,NH,,CH2NH,,,,1,0,0,,,
CH2,CHO,,CH2CHO,,,,1,0,0,,,
CH2,CH3O,,CH3OCH2,,,,1,0,0,,,
CH2,CH2OH,,CH2CH2OH,,,,1,0,0,,,
CH,CH,,C2H2,,,,1,0,0,,,
CH,NH2,,CHNH2,,,,1,0,0,,,
CH,NH,,CHNH,,,,1,0,0,,,
CH,CHO,,CHCHO,,,,1,0,0,,,
CH,CH3O,,CH3OCH,,,,1,0,0,,,
CH,CH2OH,,CHCH2OH,,,,1,0,0,,,
NH2,NH2,,N2H4,,,,1,0,0,,,
NH2,NH,,N2H3,,,,1,0,0,,,
NH2,CHO,,NH2CHO,,,,1,0,0,,,
NH2,CH3O,,CH3ONH2,,,,1,0,0,,,
NH2,CH2OH,,CH2OHNH2,,,,1,0,0,,,
NH,NH,,N2H2,,,,1,0,0,,,
NH,CHO,,NHCHO,,,,1,0,0,,,
NH,CH3O,,CH3ONH,,,,1,0,0,,,
NH,CH2OH,,CH2OHNH,,,,1,0,0,,,
CHO,CHO,,(CHO)2,,,,1,0,0,,,
CHO,CH3O,,CH3OCHO,,,,1,0,0,,,
CHO,CH2OH,,CH2OHCHO,,,,1,0,0,,,
CH3O,CH3O,,(CH3O)2,,,,1,0,0,,,
CH3O,CH2OH,,CH3OCH2OH,,,,1,0,0,,,
CH2OH,CH2OH,,(CH2OH)2,,,,1,0,0,,,
OH,CH2OH,,CH2OHOH,,,,1,0,0,,,
OH,NHOH,,NHOHOH,,,,1,0,0,,,
OH,CH3CH2,,CH3CH2OH,,,,1,0,0,,,
OH,CH3NH,,CH3NHOH,,,,1,0,0,,,
OH,CH2CH,,CH2CHOH,,,,1,0,0,,,
OH,CH2NH2,,CH2NH2OH,,,,1,0,0,,,
OH,CH2CHO,,CH2OHCHO,,,,1,0,0,,,
OH,CH3OCH2,,CH3OCH2OH,,,,1,0,0,,,
OH,CH2CH2OH,,(CH2OH)2,,,,1,0,0,,,
OH,CHNH,,CHOHNH,,,,1,0,0,,,
OH,N2H3,,N2H3OH,,,,1,0,0,,,
OH,NHCHO,,NHOHCHO,,,,1,0,0,,,
OH,CH3ONH,,CH3ONHOH,,,,1,0,0,,,
OH,CH2OHNH,,CH2OHNHOH,,,,1,0,0,,,
CH3,CH2OH,,CH3CH2OH,,,,1,0,0,,,
CH3,NHOH,,CH3NHOH,,,,1,0,0,,,
