1::H:CH:C:H2::::1.31E-10:0:80:300:2000
2::H:CH2:CH:H2::::6.64E-11:0:0:300:2500
3::H:NH:N:H2::::1.73E-11:0.5:2400:80:300
4::H:CH3:CH2:H2::::1.00E-10:0:7600:300:2500
5::H:NH2:NH:H2::::5.25E-12:0.79:2200:73:300
7::H:CH4:CH3:H2::::5.94E-13:3:4045:300:2500
8::H:OH:O:H2::::6.99E-14:2.8:1950:300:2500
9::H:NH3:NH2:H2::::7.80E-13:2.4:4990:200:2500
10::H:H2O:OH:H2::::1.59E-11:1.2:9610:250:3000
11::H:C2:CH:C::::4.67E-10:0.5:30450:1015:41000
12::H:C2H2:C2H:H2::::3.80E-10:0:13634:295:6920
13::H:HCN:CN:H2::::6.20E-10:0:12500:300:2500
14::H:C2H3:C2H2:H2::::3.32E-11:0:0:300:2500
15::H:CO:OH:C::::1.10E-10:0.5:77700:2590:41000
16::H:H2CN:HCN:H2::::1.00E-10:0:0:10:300
17::H:HCO:O:CH2::::6.61E-11:0:51598:1200:1812
18::H:HCO:CO:H2::::2.00E-10:0:0:300:2500
19::H:NO:O:NH::::9.29E-10:-0.1:35220:300:3000
20::H:NO:OH:N::::3.60E-10:0:24910:1500:4524
21::H:H2CO:HCO:H2::::4.85E-12:1.9:1379:250:5000
22::H:HNO:OH:NH::::2.40E-09:-0.5:9010:350:3000
23::H:HNO:NH2:O::::1.05E-09:-0.3:14730:550:3000
24::H:HNO:NO:H2::::4.50E-11:0.72:329:200:3000
25::H:O2:OH:O::::2.61E-10:0:8156:250:4000
26::H:O2H:OH:OH::::1.66E-10:0:413:230:2500
27::H:O2H:H2O:O::::5.00E-11:0:866:245:2500
28::H:O2H:O2:H2::::2.06E-11:0.84:277:230:2500
29::H:HS:S:H2::::2.50E-11:0:0:300:2500
30::H:H2O2:H2O:OH::::1.70E-11:0:1800:300:2500
31::H:H2O2:O2H:H2::::8.00E-11:0:4000:300:2500
32::H:H2S:HS:H2::::3.71E-12:1.94:455:190:2560
33::H:OCN:HCN:O::::1.87E-11:0.9:2924:500:2500
34::H:OCN:NH:CO::::1.26E-10:0:515:295:1490
35::H:CH2CO:CH3:CO::::5.68E-11:0:1897:200:2000
36::H:CO2:CO:OH::::3.38E-10:0:13163:300:15223
37::H:N2O:N2:OH::::5.13E-14:3.15:3603:300:4000
38::H:N2O:NO:NH::::4.96E-07:-2.16:18700:300:4000
39::H:NO2:NO:OH::::1.40E-10:0:740:24:300
40::H:NS:HS:N::::7.27E-11:0.5:15700:523:41000
41::H:NS:S:NH::::7.27E-11:0.5:20735:691:41000
42::H:SO:S:OH::::5.90E-10:-0.31:11100:370:41000
43::H:SO:HS:O::::1.73E-11:0.5:19930:664:41000
44::H:NCCN:HCN:CN::::1.48E-10:0:3588:300:2900
45::H:OCS:HS:CO::::1.23E-11:0:1949:261:525
46::H:S2:HS:S::::2.25E-10:0.5:8355:278:300
47::H2:C:CH:H::::6.64E-10:0:11700:300:2500
48::H2:CH:CH2:H::::5.46E-10:0:1943:300:2500
49::H2:N:NH:H::::1.69E-09:0:18095:1600:2850
50::H2:CH2:CH3:H::::5.18E-11:0.17:6400:300:2500
51::H2:NH:NH2:H::::5.96E-11:0:7782:2601:2788
52::H2:CH3:CH4:H::::6.86E-14:2.74:4740:300:2500
53::H2:O:OH:H::::3.14E-13:2.7:3150:297:3532
54::H2:NH2:NH3:H::::2.05E-15:3.89:1400:200:2500
55::H2:OH:H2O:H::::2.05E-12:1.52:1736:250:2581
56::H2:F:HF:H::::1.00E-10:0:400:160:765
57::H2:CN:HCN:H::::4.04E-13:2.87:820:200:3500
58::H2:O2:OH:OH::::3.16E-10:0:21890:300:2500
59::H2:O2:O2H:H::::2.40E-10:0:28500:300:2500
60::H2:S:HS:H::::1.76E-13:2.88:6126:910:3137
61::H2:O2H:H2O2:H::::4.38E-12:0:10751:300:2500
62::H2:HS:H2S:H::::6.52E-12:0.09:8050:268:300
63::C:CH:C2:H::::6.59E-11:0:0:10:300
64::C:CH2:CH:CH::::2.69E-12:0:23550:1000:4000
65::C:CH2:C2H:H::::1.00E-10:0:0:10:300
66::C:NH:N:CH::::1.73E-11:0.5:4000:133:300
67::C:NH:CN:H::::1.20E-10:0:0:10:300
68::C:CH3:C2H2:H::::1.00E-10:0:0:10:300
69::C:NH2:HCN:H::::3.26E-11:-0.1:-9:10:300
