H2S+,34,NA,0
CL,35,NA,0
CL+,35,NA,0
H3S+,35,NA,0
#HCL,36,H2O,1550
C3+,36,NA,0
HCL,36,NA,0
HCL+,36,NA,0
H2CL+,37,NA,0
#C3H2,38,REAC,3387
C2N,38,NA,0
C2N+,38,NA,0
C3H2,38,NA,0
C2NH+,39,NA,0
#CH2CCH2,40,INT2,4287
#CH3CCH,40,INT2,4287
#SIC,40,REAC,3500
CH2CCH2,40,NA,0
CH3CCH,40,NA,0
SIC,40,NA,0
SIC+,40,NA,0
#CH3CN,41,INT2,4680
#HC2O,41,CO2,2400
C3H5+,41,NA,0
CH3CN,41,NA,0
CH3CN+,41,NA,0
HC2O,41,NA,0
#CH2CO,42,H2O,2200
#CH3CNH,42,INT1,3740
#OCN,42,REAC,2400
CH2CO,42,NA,0
CH2CO+,42,NA,0
CH3CNH,42,NA,0
CH3CNH+,42,NA,0
OCN,42,NA,0
#CH2CHO,43,INT2,2650
#CH3CO,43,INT2,2325
#HNCO,43,H2O,2850
CH2CHO,43,NA,0
CH3CO,43,NA,0
CH3CO+,43,NA,0
HCNO,43,NA,0
HNCO,43,NA,0
HOCN,43,NA,0
HONC,43,NA,0
#C2H4O,44,CO2,2775
#CH3CHO,44,INT2,2450
#CO2,44,INT2,2575
#CS,44,CO2,1900
#H2CNO,44,REAC,5106
#SIO,44,CO1,3500
H2CNO,44,NA,0
C2H4O,44,NA,0
C2H4O+,44,NA,0
CH3CHO,44,NA,0
CO2,44,NA,0
CS,44,NA,0
CS+,44,NA,0
H2CNO+,44,NA,0
SIO,44,NA,0
SIO+,44,NA,0
#HCS,45,INT1,2350
#NH2CHO,45,INT2,5556
CH3OCH2,45,NA,0
HCO2+,45,NA,0
HCS,45,NA,0
HCS+,45,NA,0
NH2CHO,45,NA,0
SIOH+,45,NA,0
#C2H5OH,46,H2O,6259
#CH3OCH3,46,REAC,3675
#H2CS,46,H2O,2700
#H2SIO,46,INT2,4400
#NO2,46,H2O,2400
#NS,46,INT1,1900
C2H5OH,46,NA,0
