203,SO2+,0,64,NA
204,#HS2,0,65,REAC
205,HS2,0,65,NA
206,HS2+,0,65,NA
207,HSO2+,0,65,NA
208,H2S2+,0,66,NA
209,#C3H2,0,39,NA
210,C3H2,0,39,NA
211,C4H,0,49,NA
212,#C4H,0,49,NA
213,HOC+,0,29,NA
214,HNCO,0,43,NA
215,#HNCO,0,43,NA
