!MOLECULE
HC3N
!MOLECULAR WEIGHT
51.0
!NUMBER OF ENERGY LEVELS
21
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.000000000   1.0     0
    2     0.303480411   3.0     1
    3     0.910440796   5.0     2
    4     1.820880284   7.0     3
    5     3.034797568   9.0     4
    6     4.552190904  11.0     5
    7     6.373058113  13.0     6
    8     8.497396581  15.0     7
    9    10.925203256  17.0     8
   10    13.656474652  19.0     9
   11    16.691206847  21.0    10
   12    20.029395482  23.0    11
   13    23.671035763  25.0    12
   14    27.616122461  27.0    13
   15    31.864649909  29.0    14
   16    36.416612007  31.0    15
   17    41.272002217  33.0    16
   18    46.430813565  35.0    17
   19    51.893038643  37.0    18
   20    57.658669607  39.0    19
   21    63.727698174  41.0    20
!NUMBER OF RADIATIVE TRANSITIONS
20
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1  4.069e-08           9.09810212     0.44
    2     3     2  3.906e-07          18.19619117     1.31
    3     4     3  1.412e-06          27.29425409     2.62
    4     5     4  3.472e-06          36.39227782     4.37
    5     6     5  6.935e-06          45.49024928     6.55
    6     7     6  1.217e-05          54.58815541     9.17
    7     8     7  1.954e-05          63.68598315    12.23
    8     9     8  2.941e-05          72.78371943    15.72
    9    10     9  4.215e-05          81.88135119    19.65
   10    11    10  5.812e-05          90.97886536    24.01
   11    12    11  7.770e-05         100.07624887    28.82
   12    13    12  1.012e-04         109.17348866    34.06
   13    14    13  1.291e-04         118.27057166    39.73
   14    15    14  1.617e-04         127.36748481    45.85
   15    16    15  1.993e-04         136.46421504    52.40
   16    17    16  2.424e-04         145.56074929    59.38
   17    18    17  2.912e-04         154.65707449    66.80
   18    19    18  3.462e-04         163.75317757    74.66
   19    20    19  4.078e-04         172.84904547    82.96
   20    21    20  4.762e-04         181.94466513    91.69
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 HC3N-H2 scaled (*1.39) HC3N-He from Green & Chapman (1978)
!NUMBER OF COLL TRANS
210
!NUMBER OF COLL TEMPS
4
!COLL TEMPS
   10.0   20.0   40.0   80.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  5.1e-11 6.0e-11 5.8e-11 6.8e-11
    2     3     1  1.8e-11 1.8e-11 1.8e-11 2.1e-11
    3     3     2  9.6e-11 9.7e-11 1.0e-10 1.2e-10
    4     4     1  9.7e-12 9.7e-12 9.6e-11 1.3e-11
    5     4     2  4.2e-11 3.6e-11 4.4e-11 4.7e-11
    6     4     3  1.1e-10 1.2e-10 1.2e-10 1.3e-10
    7     5     1  7.6e-12 7.4e-12 7.5e-12 8.8e-12
    8     5     2  2.6e-11 2.5e-11 2.8e-11 3.2e-11
    9     5     3  4.7e-11 4.7e-11 5.7e-11 6.1e-11
   10     5     4  1.0e-10 1.2e-10 1.3e-10 1.4e-10
   11     6     1  4.3e-12 5.7e-12 5.7e-12 4.6e-12
   12     6     2  1.8e-11 1.9e-11 2.1e-11 2.2e-11
   13     6     3  3.2e-11 3.2e-11 3.5e-11 4.2e-11
   14     6     4  5.3e-11 5.6e-11 5.8e-11 7.1e-11
   15     6     5  1.0e-10 1.2e-10 1.3e-10 1.4e-10
   16     7     1  3.2e-12 3.5e-12 4.4e-12 5.0e-12
   17     7     2  1.0e-11 1.4e-11 1.5e-11 1.8e-11
   18     7     3  1.8e-11 2.4e-11 2.8e-11 3.1e-11
   19     7     4  3.5e-11 3.9e-11 4.0e-11 4.2e-11
   20     7     5  5.4e-11 5.4e-11 6.3e-11 7.2e-11
   21     7     6  9.9e-11 1.2e-10 1.3e-10 1.4e-10
   22     8     1  1.9e-12 3.3e-12 4.6e-12 5.0e-12
   23     8     2  6.4e-12 9.2e-12 1.1e-11 1.3e-11
   24     8     3  1.4e-11 1.8e-11 2.2e-11 2.1e-11
   25     8     4  2.6e-11 2.5e-11 2.9e-11 2.6e-11
   26     8     5  3.2e-11 3.8e-11 4.6e-11 5.0e-11
   27     8     6  6.1e-11 5.7e-11 6.1e-11 7.5e-11
   28     8     7  1.1e-10 1.2e-10 1.3e-10 1.5e-10
   29     9     1  6.5e-13 1.8e-12 2.2e-12 2.9e-12
   30     9     2  3.1e-12 6.0e-12 9.6e-12 9.7e-12
   31     9     3  8.6e-12 1.2e-11 1.3e-11 1.9e-11
