! MOLECULE
o-NH3 rotation-inversion spectrum, energies & freq from JPL
! MASS
17.
! NUMBER OF ENERGY LEVELS
22
! LEVEL + ENERGY(CM-1) + WEIGHT + QUANTUM NOS.  J,K,inv-sym
    1     0.000000000    4.0  00_00_01
    2    19.096479999   12.0  01_00_00
    3    59.619821000   20.0  02_00_01
    4    85.068300000   28.0  03_03_00
    5    85.864521805   28.0  03_03_01
    6   118.444475001   28.0  03_00_00
    7   164.537800000   36.0  04_03_00
    8   165.294600626   36.0  04_03_01
    9   198.500371001   36.0  04_00_01
   10   263.723300000   44.0  05_03_00
   11   264.433300350   44.0  05_03_01
   12   282.781200000   52.0  06_06_00
   13   283.616979031   52.0  06_06_01
   14   296.848893001   44.0  05_00_00
   15   382.525100000   52.0  06_03_00
   16   383.184140529   52.0  06_03_01
   17   416.093822999   52.0  06_00_01
   18   421.665000000   60.0  07_06_00
   19   422.429693687   60.0  07_06_01
   20   520.828600000   60.0  07_03_00
   21   521.429593671   60.0  07_03_01
   22   553.598917002   60.0  07_00_00
! NUMBER OF RADIATIVE TRANSITIONS
24
! TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz)+ E_up(K)
     1    21    20  2.418E-08          18.01733700   750.22
     2    16    15  4.253E-08          19.75753800   551.32
     3    11    10  7.446E-08          21.28527500   380.46
     4     8     7  1.353E-07          22.68831200   237.82
     5    19    18  1.993E-07          22.92494000   607.78
     6     5     4  2.625E-07          23.87012920   123.54
     7    13    12  3.470E-07          25.05602500   408.06
     8     2     1  1.610E-03         572.49806780    27.48
     9     3     2  1.846E-02        1214.85860090    85.78
    10     6     3  6.051E-02        1763.52538680   170.41
    11     7     5  6.566E-02        2358.56323070   236.73
    12     9     6  1.582E-01        2400.01763240   285.60
    13     8     4  6.963E-02        2405.12129920   237.82
    14    14     9  2.998E-01        2948.41064780   427.10
    15    10     8  1.924E-01        2950.81453360   379.44
    16    11     7  2.011E-01        2994.78644250   380.46
    17    15    11  3.953E-01        3540.30136040   550.37
    18    17    14  5.426E-01        3574.88784660   598.67
    19    16    10  4.092E-01        3581.34690510   551.32
    20    22    17  8.412E-01        4122.28171380   796.50
    21    20    16  6.888E-01        4126.47643980   749.36
    22    18    13  2.259E-01        4138.57513410   606.68
    23    21    15  7.079E-01        4164.25124880   750.22
    24    19    12  2.338E-01        4186.55574780   607.78
! NUMBER OF COLLISION PARTNERS
1
! COLLISION PARTNER
2 p-H2 on o-NH3, Danby et al. 1988, MNRAS 235, 229
! NUMBER OF COLLISIONAL TRANSITIONS
136
! NUMBER OF COLLISION TEMPERATURES
8
! COLLISION TEMPERATURES
    15.0    25.0    50.0    75.0   100.0   150.0   200.0   300.0
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2    1  4.3E-11  4.5E-11  4.7E-11  4.8E-11  5.0E-11  5.3E-11  5.7E-11  6.2E-11
    2    3    1  2.1E-11  1.7E-11  1.3E-11  1.1E-11  1.0E-11  9.0E-12  8.5E-12  8.1E-12
    3    3    2  6.8E-11  6.4E-11  6.0E-11  6.0E-11  6.2E-11  6.7E-11  7.1E-11  7.9E-11
    4    4    1  8.9E-13  6.6E-13  3.7E-13  2.5E-13  1.8E-13  1.2E-13  8.6E-14  6.0E-14
    5    4    2  4.4E-11  4.3E-11  4.2E-11  4.2E-11  4.3E-11  4.5E-11  4.7E-11  5.0E-11
    6    4    3  1.1E-11  1.0E-11  9.0E-12  9.1E-12  9.9E-12  1.2E-11  1.5E-11  2.0E-11
    7    5    1  2.0E-11  2.0E-11  1.9E-11  1.9E-11  2.0E-11  2.0E-11  2.1E-11  2.2E-11
    8    5    2  4.2E-12  3.9E-12  3.7E-12  3.8E-12  4.1E-12  4.8E-12  5.7E-12  7.5E-12
    9    5    3  3.0E-11  3.0E-11  3.1E-11  3.3E-11  3.5E-11  3.8E-11  4.1E-11  4.4E-11
   10    5    4  1.2E-10  1.2E-10  1.2E-10  1.2E-10  1.2E-10  1.3E-10  1.4E-10  1.5E-10
   11    6    1  4.4E-12  4.2E-12  4.0E-12  3.9E-12  3.9E-12  3.9E-12  4.0E-12  4.1E-12
   12    6    2  7.4E-12  7.5E-12  7.3E-12  7.2E-12  7.1E-12  7.3E-12  7.6E-12  8.3E-12
   13    6    3  5.7E-11  5.7E-11  5.7E-11  5.8E-11  6.1E-11  6.6E-11  7.1E-11  8.0E-11
   14    6    4  2.0E-11  2.0E-11  2.0E-11  2.0E-11  2.1E-11  2.2E-11  2.4E-11  2.6E-11
   15    6    5  7.7E-12  8.4E-12  9.1E-12  1.0E-11  1.1E-11  1.4E-11  1.8E-11  2.5E-11
   16    7    1  4.2E-12  4.2E-12  4.4E-12  4.8E-12  5.3E-12  6.5E-12  7.8E-12  1.0E-11
   17    7    2  9.5E-12  9.7E-12  9.8E-12  1.0E-11  1.0E-11  1.1E-11  1.2E-11  1.2E-11
   18    7    3  1.3E-12  1.2E-12  1.1E-12  1.1E-12  1.2E-12  1.3E-12  1.6E-12  2.1E-12
   19    7    4  1.1E-11  1.1E-11  1.1E-11  1.1E-11  1.2E-11  1.2E-11  1.3E-11  1.4E-11
   20    7    5  3.1E-11  3.1E-11  3.1E-11  3.2E-11  3.4E-11  3.7E-11  4.1E-11  4.8E-11
   21    7    6  3.2E-11  3.3E-11  3.4E-11  3.6E-11  3.8E-11  4.1E-11  4.4E-11  4.9E-11
   22    8    1  7.4E-14  4.9E-14  2.5E-14  1.7E-14  1.3E-14  9.0E-15  7.2E-15  6.1E-15
   23    8    2  5.4E-12  5.4E-12  5.6E-12  6.1E-12  6.8E-12  8.5E-12  1.0E-11  1.4E-11
   24    8    3  3.0E-11  3.0E-11  3.0E-11  3.1E-11  3.2E-11  3.4E-11  3.6E-11  3.9E-11
   25    8    4  3.1E-11  3.1E-11  3.2E-11  3.3E-11  3.4E-11  3.8E-11  4.1E-11  4.8E-11
   26    8    5  1.1E-11  1.1E-11  1.2E-11  1.2E-11  1.2E-11  1.2E-11  1.3E-11  1.4E-11
   27    8    6  9.4E-12  8.0E-12  5.6E-12  4.7E-12  4.3E-12  4.2E-12  4.5E-12  5.4E-12
   28    8    7  7.7E-11  7.6E-11  7.4E-11  7.4E-11  7.5E-11  7.7E-11  8.1E-11  8.8E-11
   29    9    1  1.2E-13  1.3E-13  1.5E-13  1.7E-13  2.0E-13  2.7E-13  3.4E-13  4.9E-13
   30    9    2  3.6E-12  3.7E-12  3.9E-12  4.1E-12  4.2E-12  4.5E-12  4.7E-12  5.2E-12
   31    9    3  2.8E-12  3.1E-12  3.6E-12  3.8E-12  4.1E-12  4.6E-12  5.2E-12  6.4E-12
   32    9    4  5.0E-12  5.2E-12  6.0E-12  6.7E-12  7.5E-12  9.3E-12  1.1E-11  1.5E-11
   33    9    5  5.9E-12  6.0E-12  6.2E-12  6.4E-12  6.7E-12  7.2E-12  7.7E-12  8.7E-12
   34    9    6  5.2E-11  5.2E-11  5.3E-11  5.6E-11  5.8E-11  6.4E-11  6.9E-11  7.9E-11
   35    9    7  4.6E-12  5.8E-12  7.9E-12  8.8E-12  9.5E-12  1.1E-11  1.3E-11  1.8E-11
   36    9    8  2.2E-11  2.2E-11  2.3E-11  2.4E-11  2.5E-11  2.8E-11  3.0E-11  3.4E-11
   37   10    1  3.0E-14  2.4E-14  1.4E-14  9.7E-15  7.4E-15  5.0E-15  3.9E-15  2.8E-15
   38   10    2  3.0E-13  2.7E-13  2.6E-13  2.7E-13  3.0E-13  3.8E-13  4.8E-13  7.0E-13
   39   10    3  6.1E-12  6.1E-12  6.6E-12  7.4E-12  8.4E-12  1.1E-11  1.3E-11  1.8E-11
   40   10    4  2.5E-12  2.2E-12  1.9E-12  1.9E-12  2.0E-12  2.5E-12  3.0E-12  4.2E-12
   41   10    5  5.8E-12  5.6E-12  5.5E-12  5.7E-12  5.9E-12  6.5E-12  7.2E-12  8.7E-12
   42   10    6  2.1E-11  2.1E-11  2.2E-11  2.3E-11  2.4E-11  2.7E-11  2.9E-11  3.2E-11
   43   10    7  6.4E-12  6.3E-12  5.8E-12  5.6E-12  5.6E-12  5.8E-12  6.1E-12  6.9E-12
   44   10    8  3.1E-11  3.1E-11  3.3E-11  3.5E-11  3.7E-11  4.2E-11  4.7E-11  5.6E-11
   45   10    9  8.0E-12  6.7E-12  4.2E-12  3.1E-12  2.5E-12  2.0E-12  1.9E-12  1.9E-12
   46   11    1  2.4E-13  2.4E-13  2.5E-13  2.8E-13  3.2E-13  4.1E-13  5.1E-13  7.4E-13
   47   11    2  3.3E-12  3.4E-12  3.7E-12  4.1E-12  4.6E-12  5.7E-12  6.9E-12  9.2E-12
   48   11    3  4.8E-12  4.9E-12  5.1E-12  5.4E-12  5.7E-12  6.2E-12  6.7E-12  7.5E-12
   49   11    4  5.4E-12  5.3E-12  5.2E-12  5.4E-12  5.7E-12  6.3E-12  7.0E-12  8.4E-12
   50   11    5  2.3E-12  1.9E-12  1.7E-12  1.7E-12  1.8E-12  2.2E-12  2.7E-12  3.7E-12
   51   11    6  2.4E-12  2.3E-12  2.4E-12  2.7E-12  3.1E-12  3.9E-12  4.9E-12  6.8E-12
   52   11    7  3.1E-11  3.1E-11  3.2E-11  3.4E-11  3.7E-11  4.2E-11  4.7E-11  5.6E-11
   53   11    8  6.4E-12  6.4E-12  6.4E-12  6.4E-12  6.6E-12  7.1E-12  7.7E-12  9.0E-12
   54   11    9  3.3E-11  3.3E-11  3.4E-11  3.6E-11  3.7E-11  4.1E-11  4.5E-11  5.1E-11
   55   11   10  5.4E-11  5.3E-11  5.3E-11  5.3E-11  5.4E-11  5.7E-11  6.0E-11  6.7E-11
   56   12    1  1.5E-14  1.0E-14  6.0E-15  4.7E-15  4.2E-15  4.2E-15  4.6E-15  6.2E-15
   57   12    2  1.7E-12  1.7E-12  1.8E-12  2.0E-12  2.2E-12  2.8E-12  3.4E-12  4.6E-12
   58   12    3  5.0E-13  4.8E-13  5.0E-13  5.8E-13  6.8E-13  9.5E-13  1.3E-12  2.1E-12
