!MOLECULE
 SO2 spectroscopic data from CDMS July 2005 , E<250 cm-1                
!MOLECULAR WEIGHT
   64.0   
! NUMBER OF ENERGY LEVELS
   198
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J_K-_K+
    1     0.000000000   1.0  0_0_0
    2     1.912000000   5.0  2_0_2
    3     2.320835635   3.0  1_1_1
    4     3.697530745   5.0  2_1_1
    5     5.382000000   7.0  3_1_3
    6     6.360054291   9.0  4_0_4
    7     8.335629064   9.0  4_1_3
    8     8.746931392   5.0  2_2_0
    9    10.658993299   7.0  3_2_2
   10    10.886400000  11.0  5_1_5
   11    13.225830861   9.0  4_2_2
   12    13.313400000  13.0  6_0_6
   13    15.614000000  13.0  6_1_5
   14    16.395015288  11.0  5_2_4
   15    18.824700000  15.0  7_1_7
   16    19.196800935   7.0  3_3_1
   17    20.294145239  13.0  6_2_4
   18    21.750140055   9.0  4_3_1
   19    22.726700000  17.0  8_0_8
   20    24.671300000  15.0  7_2_6
   21    24.942484450  11.0  5_3_3
   22    25.518313286  17.0  8_1_7
   23    28.776062702  13.0  6_3_3
   24    29.184800000  19.0  9_1_9
   25    29.988138358  17.0  8_2_6
   26    33.247199047  15.0  7_3_5
   27    33.693019194   9.0  4_4_0
   28    34.549500000  21.0  10_0_10
   29    35.477700000  19.0  9_2_8
   30    36.884531113  11.0  5_4_2
   31    38.026535475  21.0  10_1_9
   32    38.367668890  17.0  8_3_5
   33    40.715152019  13.0  6_4_2
   34    41.953400000  23.0  11_1_11
   35    42.346633408  21.0  10_2_8
   36    44.115097970  19.0  9_3_7
   37    45.185226410  15.0  7_4_4
   38    48.737900000  25.0  12_0_12
   39    48.801500000  23.0  11_2_10
   40    50.295328857  17.0  8_4_4
   41    50.537758155  21.0  10_3_7
   42    52.228030415  11.0  5_5_1
   43    53.108000000  25.0  12_1_11
   44    56.045731584  19.0  9_4_6
   45    56.058065327  13.0  6_5_1
   46    57.117000000  27.0  13_1_13
   47    57.397800000  25.0  12_2_10
   48    57.549438838  23.0  11_3_9
   49    60.527006733  15.0  7_5_3
   50    62.437884484  21.0  10_4_6
   51    64.627300000  27.0  13_2_12
   52    65.264400000  29.0  14_0_14
   53    65.305616107  25.0  12_3_9
   54    65.635184409  17.0  8_5_3
   55    69.470639402  23.0  11_4_8
   56    70.721700000  29.0  14_1_13
   57    71.383032799  19.0  9_5_5
   58    73.551400000  27.0  13_3_11
   59    74.663000000  31.0  15_1_15
   60    74.793150134  13.0  6_6_0
   61    75.149595507  29.0  14_2_12
   62    77.148670953  25.0  12_4_8
   63    77.770802910  21.0  10_5_5
   64    79.261848153  15.0  7_6_2
   65    82.698200000  29.0  14_3_11
   66    82.937352534  31.0  15_2_14
   67    84.118400000  33.0  16_0_16
   68    84.369485140  17.0  8_6_2
   69    84.798913465  23.0  11_5_7
   70    85.465178814  27.0  13_4_10
   71    90.116294932  19.0  9_6_4
   72    90.816700000  33.0  16_1_15
   73    92.118300000  31.0  15_3_13
   74    92.467812673  25.0  12_5_7
   75    94.435372223  29.0  14_4_10
   76    94.581000000  35.0  17_1_17
   77    95.588548646  33.0  16_2_14
   78    96.502421774  21.0  10_6_4
   79   100.778076239  27.0  13_5_9
   80   101.377653531  15.0  7_7_1
   81   102.749800000  33.0  16_3_13
   82   103.528226408  23.0  11_6_6
   83   103.712400500  35.0  17_2_16
   84   104.034629687  31.0  15_4_12
   85   105.299400000  37.0  18_0_18
   86   106.485372574  17.0  8_7_1
   87   109.730358640  29.0  14_5_9
   88   111.193919857  25.0  12_6_6
   89   112.231935744  19.0  9_7_3
   90   113.243800000  35.0  17_3_15
   91   113.336400000  37.0  18_1_17
   92   114.308610310   33.0   16_4_12
   93   116.862500000   39.0   19_1_19
   94   118.617638214   21.0   10_7_3
   95   118.684880512   37.0   18_2_16
   96   119.324773556   31.0   15_5_11
   97   119.499915182   27.0   13_6_8
   98   125.184100000   35.0   17_4_14
   99   125.497758391   37.0   18_3_15
   100   125.642565843   23.0   11_7_5
   101   126.932668485   39.0   19_2_18
   102   128.446532812   29.0   14_6_8
   103   128.811300000   41.0   20_0_20
   104   129.562960325   33.0   16_5_11
   105   131.968984483   17.0   8_8_0
   106   133.306997185   25.0   12_7_5
   107   136.782500000   37.0   18_4_14
   108   136.916829613   39.0   19_3_17
   109   137.715954352   19.0   9_8_2
   110   138.034079342   31.0   15_6_10
   111   138.227500000   41.0   20_1_19
   112   140.443618957   35.0   17_5_13
   113   141.501200000   43.0   21_1_21
   114   141.611097493   27.0   13_7_7
   115   144.101906521   21.0   10_8_2
   116   144.397501617   41.0   20_2_18
   117   148.263062503   33.0   16_6_10
   118   148.917400000   39.0   19_4_16
   119   150.555133665   29.0   14_7_7
   120   150.973400000   41.0   20_3_17
   121   151.126867416   23.0   11_8_4
   122   151.971193942   37.0   18_5_13
   123   152.578525103   43.0   21_2_20
   124   154.658200000   45.0   22_0_22
   125   158.791057933   25.0   12_8_4
   126   159.133764617   35.0   17_6_12
   127   160.139237534   31.0   15_7_9
   128   161.876500000   41.0   20_4_16
   129   163.122422261   43.0   21_3_19
   130   164.139686794   39.0   19_5_15
   131   165.449800000   45.0   22_1_21
   132   166.553002913   19.0   9_9_1
   133   167.094593342   27.0   13_8_6
   134   168.492500000   47.0   23_1_23
   135   170.363888417   33.0   16_7_9
   136   170.646883046   37.0   18_6_12
   137   172.676298713   45.0   22_2_20
   138   172.939591959   21.0   10_9_1
   139   175.236100000   43.0   21_4_18
   140   176.037683508   29.0   14_8_6
   141   176.961846883   41.0   20_5_15
   142   179.191500000   45.0   22_3_19
   143   179.965064075   23.0   11_9_3
   144   180.631768641   47.0   23_2_22
   145   181.229234199   35.0   17_7_11
   146   182.802651421   39.0   19_6_14
   147   182.843400000   49.0   24_0_24
   148   185.620431864   31.0   15_8_8
   149   187.629765378   25.0   12_9_3
   150   189.616800000   45.0   22_4_18
   151   190.418675720   43.0   21_5_17
   152   191.842502316   47.0   23_3_21
   153   192.735558173   37.0   18_7_11
   154   194.981500000   49.0   24_1_23
   155   195.601839800   41.0   20_6_14
   156   195.843037450   33.0   16_8_8
   157   195.933638253   27.0   13_9_5
   158   197.833200000   51.0   25_1_25
   159   203.463430588   49.0   24_2_22
   160   204.138600000   47.0   23_4_20
   161   204.543295424   45.0   22_5_17
   162   204.876721345   29.0   14_9_5
   163   204.883353381   39.0   19_7_13
   164   205.113515518   21.0   10_10_0
   165   206.705791345   35.0   17_8_10
   166   209.044523977   43.0   21_6_16
   167   210.144300000   49.0   24_3_21
   168   211.076024930   51.0   25_2_24
   169   212.140110506   23.0   11_10_2
   170   213.369000000   53.0   26_0_26
   171   214.459349542   31.0   15_9_7
   172   217.672801351   41.0   20_7_13
   173   218.208782404   37.0   18_8_10
   174   219.285700000   47.0   23_5_19
   175   219.805666842   25.0   12_10_2
   176   220.035637462   49.0   24_4_20
   177   223.056061086   51.0   25_3_23
   178   223.132279643   45.0   22_6_16
   179   224.681453961   33.0   16_9_7
   180   226.816700000   53.0   26_1_25
   181   228.110343800   27.0   13_10_4
   182   229.521100000   55.0   27_1_27
   183   230.352385258   39.0   19_8_12
   184   231.104232850   43.0   21_7_15
   185   234.726200000   49.0   24_5_19
   186   235.543261886   35.0   17_9_9
   187   235.619370368   51.0   25_4_22
   188   236.695800000   53.0   26_2_24
   189   237.054298024   29.0   14_10_4
   190   237.863860488   47.0   23_6_18
   191   243.136585041   41.0   20_8_12
   192   243.803000000   53.0   26_3_23
   193   243.897695217   55.0   27_2_26
   194   245.178159327   45.0   22_7_15
   195   246.236253041   57.0   28_0_28
   196   246.637583525   31.0   15_10_6
   197   247.044896796   37.0   18_9_9
   198   247.632988117   23.0   11_11_1
! NUMBER OF RADIATIVE TRANSITIONS
         964
!TRANS + U + L + A(s^-1) + FREQ(GHz) + E_u/k(K)
     1   193   192  1.177E-11           2.83889120   350.91          0.09470  1.0
     2   108   107  1.481E-10           4.02710050   196.99          0.13433  1.0
     3    48    47  2.376E-10           4.54601800    82.80          0.15164  1.0
     4    66    65  7.472E-10           7.16961260   119.33          0.23915  1.0
     5    47    46  5.800E-10           8.42027580    82.58          0.28087  1.0
     6    99    98  1.945E-09           9.40324200   180.56          0.31366  1.0
     7    35    34  2.203E-09          11.78884100    60.93          0.39323  1.0
     8   161   160  4.304E-09          12.13246360   294.29          0.40470  1.0
     9     3     2  9.953E-09          12.25658400     3.34          0.40884  1.0
    10    61    59  2.065E-09          14.58776630   108.12          0.48660  1.0
    11    53    51  1.910E-08          20.33540530    93.96          0.67832  1.0
    12   176   174  2.681E-08          22.48255950   316.58          0.74994  1.0
    13    14    13  3.448E-08          23.41424930    23.59          0.78102  1.0
    14   151   150  3.332E-08          24.03962930   273.97          0.80188  1.0
    15    25    24  2.386E-08          24.08347810    43.15          0.80334  1.0
    16    22    20  4.811E-08          25.39281950    36.72          0.84701  1.0
    17   187   185  4.497E-08          26.77657400   339.00          0.89317  1.0
    18   168   167  1.535E-08          27.93241070   303.69          0.93172  1.0
    19    83    81  4.417E-08          28.85803700   149.22          0.96260  1.0
    20     6     5  1.450E-07          29.32133000     9.15          0.97805  1.0
    21    77    76  1.229E-08          30.20554850   137.53          1.00755  1.0
    22    92    90  7.683E-08          31.92221000   164.46          1.06481  1.0
    23   129   128  1.169E-07          37.35180970   234.70          1.24592  1.0
    24    84    81  1.351E-07          38.51822500   149.68          1.28483  1.0
    25   101    99  1.245E-07          43.01627500   182.63          1.43487  1.0
    26   144   142  7.680E-08          43.17816760   259.89          1.44027  1.0
    27    17    15  1.649E-07          44.05286000    29.20          1.46945  1.0
    28    61    58  2.820E-07          47.91342000   108.12          1.59822  1.0
    29   123   120  1.395E-07          48.12044000   219.53          1.60513  1.0
    30   141   139  3.253E-07          51.73659000   254.61          1.72575  1.0
    31    41    39  3.163E-07          52.05171000    72.71          1.73626  1.0
    32    36    35  3.400E-07          53.01523740    63.47          1.76840  1.0
    33     4     2  2.345E-06          53.52886510     5.32          1.78553  1.0
    34    95    93  4.910E-08          54.63359330   170.76          1.82238  1.0
    35     7     6  3.008E-06          59.22487140    11.99          1.97553  1.0
    36   120   118  5.712E-07          61.63618850   217.22          2.05596  1.0
    37   152   150  6.383E-07          66.72487680   276.02          2.22570  1.0
    38   130   128  7.224E-07          67.84863320   236.16          2.26319  1.0
    39    13    12  4.342E-06          68.97215870    22.47          2.30066  1.0
    40    75    73  7.609E-07          69.46407770   135.87          2.31707  1.0
    41     3     1  3.485E-06          69.57592710     3.34          2.32080  1.0
    42     9     7  6.073E-07          69.65357880    15.34          2.32339  1.0
    43    11    10  6.283E-07          70.13437280    19.03          2.33943  1.0
    44    12    10  2.768E-06          72.75824340    19.15          2.42695  1.0
    45    31    29  1.585E-06          76.41216520    54.71          2.54884  1.0
    46    70    65  1.265E-06          82.95193800   122.97          2.76698  1.0
