!molecule
CH3CN
!molecular weight
41
!number of energy levels
251
!level + energies(cm^-1) + weight + J_K
172	347.902104073	47.0	23_6
173	347.971198332	18.5	18_7
174	351.196136964	10.5	10_8
175	357.937658229	11.5	11_8
176	359.616700647	19.5	19_7
177	362.613283493	49.0	24_6
178	365.291904845	12.5	12_8
179	371.874727869	20.5	20_7
180	373.258840235	13.5	13_8
181	377.936806380	51.0	25_6
182	381.838424771	14.5	14_8
183	384.745219034	21.5	21_7
184	391.030615780	15.5	15_8
185	398.228110131	22.5	22_7
186	400.835367537	16.5	16_8
187	411.252631272	17.5	17_8
188	412.323334098	23.5	23_7
189	422.282355165	18.5	18_8
190	427.030820827	24.5	24_7
191	429.260651881	19.0	9_9
192	433.924484348	19.5	19_8
193	435.387402220	21.0	10_9
194	442.126710237	23.0	11_9
195	442.350497161	25.5	25_7
196	446.178960906	20.5	20_8
197	449.478542401	25.0	12_9
198	457.442862135	27.0	13_9
199	459.045723874	21.5	21_8
200	466.019629811	29.0	14_9
201	472.524709240	22.5	22_8
202	475.208802755	31.0	15_9
203	485.010335243	33.0	16_9
204	486.615849943	23.5	23_8
205	495.424178505	35.0	17_9
206	501.319075875	24.5	24_8
207	506.450280720	37.0	18_9
208	516.634313878	25.5	25_8
209	518.088587021	39.0	19_9
210	529.418912474	10.5	10_10
211	530.339039493	41.0	20_9
212	536.155746861	11.5	11_10
213	543.201577170	43.0	21_9
214	543.504880521	12.5	12_10
215	551.466276874	13.5	13_10
216	556.676136041	45.0	22_9
217	560.039896295	14.5	14_10
218	569.225696107	15.5	15_10
219	570.762649045	47.0	23_9
220	579.023630589	16.5	16_10
221	585.461046073	49.0	24_9
222	589.433650969	17.5	17_10
223	600.455705426	18.5	18_10
224	600.771253969	51.0	25_9
225	612.089739095	19.5	19_10
226	624.335694058	20.5	20_10
227	637.193509352	21.5	21_10
228	640.003231523	11.5	11_11
229	647.349382624	12.5	12_11
230	650.663120964	22.5	22_10
231	655.307547873	13.5	13_11
232	663.877687643	14.5	14_11
233	664.744461833	23.5	23_10
234	673.059759258	15.5	15_11
235	679.437461852	24.5	24_10
236	682.853716995	16.5	16_11
237	693.259512084	17.5	17_11
238	694.742047862	25.5	25_10
239	704.277092705	18.5	18_11
240	715.906403990	19.5	19_11
241	728.147388023	20.5	20_11
242	740.999983840	21.5	21_11
243	754.464127429	22.5	22_11
244	760.988245125	25.0	12_12
245	768.539751729	23.5	23_11
246	768.942871545	27.0	13_12
247	777.509200268	29.0	14_12
248	783.226786631	24.5	24_11
249	786.687188619	31.0	15_12
250	796.476790875	33.0	16_12
251	798.525158979	25.5	25_11
!number of radiative transitions
238
!trans + up + low + EinsteinA(s^-1) + freq(GHz) + Eu(K)
1	251	248	6.732104E-03	458.633665	1148.89
2	250	249	9.541893E-04	293.484892	1145.95
3	249	247	5.978691E-04	275.149169	1131.86
4	248	245	5.579999E-03	440.306229	1126.88
5	247	246	3.117904E-04	256.812074	1118.66
