   11   6   1  6.92E-14  9.09E-14  1.44E-13  2.10E-13  2.85E-13  3.66E-13  4.50E-13  5.34E-13  6.15E-13  6.94E-13  7.70E-13  9.09E-13  1.03E-12  1.14E-12  1.24E-12  1.32E-12  1.39E-12  1.46E-12  1.52E-12  1.57E-12  1.62E-12  1.72E-12  1.80E-12  1.87E-12  1.93E-12
   12   6   2  6.31E-12  6.99E-12  8.31E-12  9.70E-12  1.11E-11  1.24E-11  1.37E-11  1.49E-11  1.60E-11  1.70E-11  1.79E-11  1.95E-11  2.10E-11  2.22E-11  2.33E-11  2.43E-11  2.52E-11  2.60E-11  2.68E-11  2.75E-11  2.81E-11  2.95E-11  3.07E-11  3.17E-11  3.26E-11
   13   6   3  4.11E-13  5.45E-13  8.15E-13  1.13E-12  1.48E-12  1.87E-12  2.26E-12  2.65E-12  3.04E-12  3.42E-12  3.78E-12  4.46E-12  5.06E-12  5.60E-12  6.08E-12  6.51E-12  6.88E-12  7.22E-12  7.53E-12  7.80E-12  8.05E-12  8.59E-12  9.03E-12  9.40E-12  9.71E-12
   14   6   4  7.14E-11  7.29E-11  7.37E-11  7.50E-11  7.66E-11  7.82E-11  7.98E-11  8.14E-11  8.28E-11  8.42E-11  8.55E-11  8.79E-11  9.00E-11  9.20E-11  9.38E-11  9.55E-11  9.70E-11  9.85E-11  9.99E-11  1.01E-10  1.03E-10  1.05E-10  1.08E-10  1.11E-10  1.13E-10
   15   6   5  2.84E-12  4.23E-12  5.69E-12  6.63E-12  7.37E-12  8.03E-12  8.63E-12  9.20E-12  9.73E-12  1.02E-11  1.07E-11  1.16E-11  1.24E-11  1.31E-11  1.38E-11  1.44E-11  1.49E-11  1.54E-11  1.59E-11  1.63E-11  1.67E-11  1.75E-11  1.82E-11  1.88E-11  1.93E-11
   16   7   1  6.30E-13  7.27E-13  9.42E-13  1.20E-12  1.47E-12  1.75E-12  2.02E-12  2.28E-12  2.52E-12  2.76E-12  2.98E-12  3.39E-12  3.75E-12  4.09E-12  4.39E-12  4.66E-12  4.91E-12  5.14E-12  5.35E-12  5.55E-12  5.73E-12  6.13E-12  6.47E-12  6.77E-12  7.02E-12
   17   7   2  2.09E-13  2.55E-13  3.70E-13  5.16E-13  6.88E-13  8.78E-13  1.08E-12  1.28E-12  1.49E-12  1.69E-12  1.88E-12  2.25E-12  2.59E-12  2.89E-12  3.16E-12  3.40E-12  3.62E-12  3.81E-12  3.98E-12  4.14E-12  4.28E-12  4.58E-12  4.83E-12  5.03E-12  5.20E-12
   18   7   3  1.05E-11  1.13E-11  1.26E-11  1.41E-11  1.56E-11  1.70E-11  1.83E-11  1.96E-11  2.08E-11  2.19E-11  2.29E-11  2.48E-11  2.64E-11  2.79E-11  2.93E-11  3.05E-11  3.16E-11  3.26E-11  3.35E-11  3.44E-11  3.52E-11  3.71E-11  3.87E-11  4.01E-11  4.13E-11
   19   7   4  6.20E-13  7.82E-13  1.09E-12  1.43E-12  1.82E-12  2.25E-12  2.68E-12  3.12E-12  3.56E-12  3.99E-12  4.41E-12  5.19E-12  5.91E-12  6.56E-12  7.15E-12  7.68E-12  8.16E-12  8.60E-12  8.99E-12  9.35E-12  9.68E-12  1.04E-11  1.10E-11  1.15E-11  1.19E-11
   20   7   5  8.24E-11  8.46E-11  8.45E-11  8.47E-11  8.53E-11  8.61E-11  8.71E-11  8.81E-11  8.91E-11  9.01E-11  9.11E-11  9.30E-11  9.48E-11  9.65E-11  9.81E-11  9.97E-11  1.01E-10  1.03E-10  1.04E-10  1.05E-10  1.07E-10  1.10E-10  1.12E-10  1.15E-10  1.17E-10
   21   7   6  1.99E-12  3.06E-12  4.46E-12  5.47E-12  6.31E-12  7.06E-12  7.75E-12  8.40E-12  9.01E-12  9.58E-12  1.01E-11  1.11E-11  1.21E-11  1.29E-11  1.36E-11  1.43E-11  1.50E-11  1.55E-11  1.61E-11  1.66E-11  1.70E-11  1.80E-11  1.89E-11  1.96E-11  2.03E-11
   22   8   1  4.19E-14  5.22E-14  7.92E-14  1.16E-13  1.61E-13  2.12E-13  2.68E-13  3.27E-13  3.87E-13  4.47E-13  5.06E-13  6.19E-13  7.24E-13  8.20E-13  9.07E-13  9.85E-13  1.05E-12  1.12E-12  1.18E-12  1.23E-12  1.27E-12  1.37E-12  1.45E-12  1.52E-12  1.58E-12
   23   8   2  1.58E-12  1.77E-12  2.19E-12  2.68E-12  3.21E-12  3.76E-12  4.30E-12  4.83E-12  5.34E-12  5.82E-12  6.28E-12  7.14E-12  7.93E-12  8.65E-12  9.31E-12  9.93E-12  1.05E-11  1.10E-11  1.15E-11  1.20E-11  1.24E-11  1.34E-11  1.42E-11  1.50E-11  1.56E-11
   24   8   3  4.00E-13  4.67E-13  6.23E-13  8.17E-13  1.04E-12  1.29E-12  1.56E-12  1.83E-12  2.10E-12  2.37E-12  2.64E-12  3.15E-12  3.63E-12  4.06E-12  4.46E-12  4.82E-12  5.14E-12  5.44E-12  5.71E-12  5.95E-12  6.17E-12  6.66E-12  7.06E-12  7.39E-12  7.67E-12
   25   8   4  1.47E-11  1.56E-11  1.70E-11  1.84E-11  1.98E-11  2.11E-11  2.24E-11  2.36E-11  2.47E-11  2.58E-11  2.68E-11  2.86E-11  3.03E-11  3.18E-11  3.31E-11  3.44E-11  3.55E-11  3.66E-11  3.76E-11  3.85E-11  3.94E-11  4.14E-11  4.32E-11  4.48E-11  4.62E-11
   26   8   5  1.01E-12  1.18E-12  1.52E-12  1.89E-12  2.30E-12  2.73E-12  3.18E-12  3.63E-12  4.09E-12  4.53E-12  4.97E-12  5.80E-12  6.57E-12  7.27E-12  7.92E-12  8.51E-12  9.05E-12  9.54E-12  1.00E-11  1.04E-11  1.08E-11  1.17E-11  1.24E-11  1.30E-11  1.35E-11
   27   8   6  8.81E-11  9.15E-11  9.17E-11  9.17E-11  9.19E-11  9.23E-11  9.28E-11  9.34E-11  9.41E-11  9.48E-11  9.55E-11  9.70E-11  9.85E-11  1.00E-10  1.01E-10  1.03E-10  1.04E-10  1.05E-10  1.07E-10  1.08E-10  1.09E-10  1.12E-10  1.15E-10  1.18E-10  1.20E-10
   28   8   7  1.82E-12  2.66E-12  3.95E-12  4.95E-12  5.81E-12  6.59E-12  7.31E-12  7.99E-12  8.62E-12  9.22E-12  9.79E-12  1.08E-11  1.18E-11  1.27E-11  1.35E-11  1.42E-11  1.49E-11  1.55E-11  1.61E-11  1.67E-11  1.72E-11  1.83E-11  1.93E-11  2.01E-11  2.08E-11
   29   9   1  1.82E-13  2.08E-13  2.74E-13  3.61E-13  4.63E-13  5.72E-13  6.86E-13  7.99E-13  9.11E-13  1.02E-12  1.13E-12  1.33E-12  1.51E-12  1.69E-12  1.86E-12  2.01E-12  2.16E-12  2.30E-12  2.43E-12  2.55E-12  2.67E-12  2.94E-12  3.18E-12  3.40E-12  3.58E-12
   30   9   2  1.33E-13  1.58E-13  2.22E-13  3.08E-13  4.14E-13  5.36E-13  6.69E-13  8.10E-13  9.54E-13  1.10E-12  1.25E-12  1.53E-12  1.80E-12  2.05E-12  2.28E-12  2.49E-12  2.68E-12  2.85E-12  3.01E-12  3.15E-12  3.29E-12  3.57E-12  3.81E-12  4.01E-12  4.17E-12
   31   9   3  2.65E-12  2.89E-12  3.40E-12  4.00E-12  4.64E-12  5.29E-12  5.93E-12  6.56E-12  7.16E-12  7.74E-12  8.30E-12  9.34E-12  1.03E-11  1.12E-11  1.20E-11  1.28E-11  1.35E-11  1.42E-11  1.48E-11  1.54E-11  1.60E-11  1.73E-11  1.84E-11  1.95E-11  2.04E-11
   32   9   4  6.67E-13  7.51E-13  9.36E-13  1.16E-12  1.42E-12  1.70E-12  2.00E-12  2.31E-12  2.62E-12  2.93E-12  3.24E-12  3.83E-12  4.39E-12  4.91E-12  5.39E-12  5.82E-12  6.22E-12  6.59E-12  6.93E-12  7.24E-12  7.53E-12  8.15E-12  8.68E-12  9.12E-12  9.50E-12
   33   9   5  1.88E-11  1.97E-11  2.10E-11  2.23E-11  2.36E-11  2.49E-11  2.61E-11  2.72E-11  2.82E-11  2.92E-11  3.01E-11  3.18E-11  3.34E-11  3.48E-11  3.61E-11  3.73E-11  3.85E-11  3.95E-11  4.05E-11  4.14E-11  4.23E-11  4.44E-11  4.62E-11  4.78E-11  4.93E-11
   34   9   6  1.63E-12  1.80E-12  2.14E-12  2.53E-12  2.94E-12  3.37E-12  3.81E-12  4.26E-12  4.70E-12  5.14E-12  5.57E-12  6.40E-12  7.17E-12  7.89E-12  8.55E-12  9.16E-12  9.73E-12  1.03E-11  1.07E-11  1.12E-11  1.16E-11  1.25E-11  1.33E-11  1.40E-11  1.47E-11
   35   9   7  9.12E-11  9.52E-11  9.59E-11  9.60E-11  9.62E-11  9.65E-11  9.68E-11  9.73E-11  9.78E-11  9.83E-11  9.89E-11  1.00E-10  1.01E-10  1.03E-10  1.04E-10  1.05E-10  1.06E-10  1.08E-10  1.09E-10  1.10E-10  1.11E-10  1.14E-10  1.17E-10  1.19E-10  1.22E-10
   36   9   8  2.27E-12  2.87E-12  3.99E-12  4.92E-12  5.75E-12  6.52E-12  7.24E-12  7.91E-12  8.54E-12  9.14E-12  9.71E-12  1.08E-11  1.17E-11  1.26E-11  1.34E-11  1.42E-11  1.49E-11  1.55E-11  1.61E-11  1.67E-11  1.72E-11  1.84E-11  1.95E-11  2.04E-11  2.12E-11
   37  10   1  2.52E-14  3.04E-14  4.45E-14  6.46E-14  9.04E-14  1.21E-13  1.55E-13  1.92E-13  2.32E-13  2.72E-13  3.13E-13  3.94E-13  4.73E-13  5.47E-13  6.17E-13  6.82E-13  7.41E-13  7.96E-13  8.47E-13  8.94E-13  9.37E-13  1.03E-12  1.11E-12  1.18E-12  1.23E-12
   38  10   2  4.37E-13  4.97E-13  6.36E-13  8.16E-13  1.02E-12  1.25E-12  1.49E-12  1.73E-12  1.97E-12  2.20E-12  2.43E-12  2.87E-12  3.28E-12  3.67E-12  4.04E-12  4.39E-12  4.73E-12  5.05E-12  5.36E-12  5.65E-12  5.93E-12  6.58E-12  7.16E-12  7.69E-12  8.16E-12
   39  10   3  2.47E-13  2.86E-13  3.77E-13  4.97E-13  6.42E-13  8.07E-13  9.87E-13  1.18E-12  1.37E-12  1.58E-12  1.78E-12  2.17E-12  2.55E-12  2.90E-12  3.23E-12  3.54E-12  3.82E-12  4.08E-12  4.32E-12  4.54E-12  4.74E-12  5.19E-12  5.56E-12  5.87E-12  6.14E-12
   40  10   4  3.72E-12  4.06E-12  4.67E-12  5.36E-12  6.07E-12  6.77E-12  7.45E-12  8.11E-12  8.75E-12  9.36E-12  9.95E-12  1.11E-11  1.21E-11  1.30E-11  1.39E-11  1.48E-11  1.55E-11  1.63E-11  1.70E-11  1.77E-11  1.83E-11  1.97E-11  2.10E-11  2.22E-11  2.32E-11
   41  10   5  1.00E-12  1.11E-12  1.33E-12  1.59E-12  1.88E-12  2.18E-12  2.50E-12  2.82E-12  3.15E-12  3.48E-12  3.80E-12  4.43E-12  5.03E-12  5.59E-12  6.11E-12  6.59E-12  7.04E-12  7.45E-12  7.83E-12  8.19E-12  8.52E-12  9.25E-12  9.87E-12  1.04E-11  1.09E-11
   42  10   6  2.12E-11  2.25E-11  2.40E-11  2.55E-11  2.68E-11  2.80E-11  2.92E-11  3.02E-11  3.12E-11  3.21E-11  3.30E-11  3.46E-11  3.60E-11  3.74E-11  3.86E-11  3.98E-11  4.08E-11  4.19E-11  4.28E-11  4.37E-11  4.46E-11  4.66E-11  4.84E-11  5.00E-11  5.15E-11
   43  10   7  2.40E-12  2.58E-12  2.93E-12  3.32E-12  3.73E-12  4.16E-12  4.60E-12  5.03E-12  5.46E-12  5.88E-12  6.30E-12  7.09E-12  7.83E-12  8.53E-12  9.17E-12  9.78E-12  1.03E-11  1.09E-11  1.14E-11  1.18E-11  1.23E-11  1.32E-11  1.41E-11  1.48E-11  1.55E-11
   44  10   8  8.70E-11  9.33E-11  9.59E-11  9.70E-11  9.77E-11  9.83E-11  9.88E-11  9.93E-11  9.99E-11  1.00E-10  1.01E-10  1.02E-10  1.03E-10  1.04E-10  1.06E-10  1.07E-10  1.08E-10  1.09E-10  1.10E-10  1.12E-10  1.13E-10  1.15E-10  1.18E-10  1.21E-10  1.23E-10
   45  10   9  2.94E-12  3.42E-12  4.38E-12  5.24E-12  6.02E-12  6.76E-12  7.45E-12  8.11E-12  8.73E-12  9.32E-12  9.88E-12  1.09E-11  1.19E-11  1.27E-11  1.35E-11  1.43E-11  1.50E-11  1.56E-11  1.62E-11  1.68E-11  1.73E-11  1.85E-11  1.96E-11  2.06E-11  2.14E-11
   46  11   1  4.92E-14  5.70E-14  7.80E-14  1.08E-13  1.46E-13  1.90E-13  2.39E-13  2.90E-13  3.42E-13  3.95E-13  4.48E-13  5.50E-13  6.49E-13  7.43E-13  8.32E-13  9.19E-13  1.00E-12  1.08E-12  1.16E-12  1.24E-12  1.31E-12  1.48E-12  1.64E-12  1.79E-12  1.92E-12
