  19    7    4   2.4160e-10   2.4810e-10   2.4910e-10   2.3780e-10   2.1860e-10   1.8480e-10   1.6470e-10   1.5140e-10   1.4190e-10   1.3480e-10
  20    7    5   2.8820e-10   2.8140e-10   2.7270e-10   2.5130e-10   2.3320e-10   2.0590e-10   1.8900e-10   1.7770e-10   1.6980e-10   1.6410e-10
  21    7    6   3.9620e-10   3.8040e-10   3.6760e-10   3.3470e-10   3.0280e-10   2.5740e-10   2.3380e-10   2.1930e-10   2.0940e-10   2.0210e-10
  22    8    1   2.1990e-11   2.0780e-11   2.0150e-11   1.8550e-11   1.6610e-11   1.3420e-11   1.1670e-11   1.0630e-11   9.9590e-12   9.5050e-12
  23    8    2   4.5370e-11   4.6380e-11   4.6470e-11   4.4530e-11   4.1350e-11   3.5550e-11   3.1760e-11   2.9100e-11   2.7140e-11   2.5640e-11
  24    8    3   1.3880e-10   1.3520e-10   1.3190e-10   1.2250e-10   1.1140e-10   9.2710e-11   8.1510e-11   7.4130e-11   6.8920e-11   6.5070e-11
  25    8    4   1.3780e-10   1.3990e-10   1.3980e-10   1.3440e-10   1.2630e-10   1.1070e-10   9.9680e-11   9.1590e-11   8.5530e-11   8.0870e-11
  26    8    5   2.5450e-10   2.5080e-10   2.4700e-10   2.3340e-10   2.1640e-10   1.8670e-10   1.6800e-10   1.5520e-10   1.4580e-10   1.3870e-10
  27    8    6   2.5680e-10   2.5830e-10   2.5600e-10   2.4590e-10   2.3430e-10   2.1320e-10   1.9810e-10   1.8730e-10   1.7930e-10   1.7340e-10
  28    8    7   3.5710e-10   3.4690e-10   3.3810e-10   3.1380e-10   2.8920e-10   2.5200e-10   2.3140e-10   2.1810e-10   2.0890e-10   2.0190e-10
  29    9    1   9.4500e-12   9.5630e-12   9.6310e-12   9.4820e-12   9.0200e-12   7.9240e-12   7.1410e-12   6.5870e-12   6.1820e-12   5.8760e-12
  30    9    2   4.2560e-11   4.0190e-11   3.8650e-11   3.4990e-11   3.1080e-11   2.4990e-11   2.1710e-11   1.9760e-11   1.8530e-11   1.7720e-11
  31    9    3   7.0840e-11   7.0330e-11   6.9500e-11   6.5590e-11   6.0540e-11   5.1560e-11   4.5760e-11   4.1750e-11   3.8840e-11   3.6630e-11
  32    9    4   1.4730e-10   1.4020e-10   1.3550e-10   1.2560e-10   1.1570e-10   9.8760e-11   8.7980e-11   8.0570e-11   7.5190e-11   7.1140e-11
  33    9    5   1.3830e-10   1.4040e-10   1.4080e-10   1.3780e-10   1.3170e-10   1.1740e-10   1.0630e-10   9.8020e-11   9.1790e-11   8.7010e-11
  34    9    6   2.5040e-10   2.4190e-10   2.3730e-10   2.2620e-10   2.1270e-10   1.8740e-10   1.7030e-10   1.5810e-10   1.4900e-10   1.4200e-10
  35    9    7   2.5420e-10   2.4680e-10   2.4300e-10   2.3560e-10   2.2770e-10   2.1210e-10   1.9950e-10   1.8960e-10   1.8220e-10   1.7660e-10
  36    9    8   3.4930e-10   3.3500e-10   3.2480e-10   3.0230e-10   2.8180e-10   2.5060e-10   2.3210e-10   2.1970e-10   2.1070e-10   2.0370e-10
  37   10    1   6.1080e-12   6.2730e-12   6.2830e-12   5.9100e-12   5.2280e-12   4.0420e-12   3.4010e-12   3.0360e-12   2.8230e-12   2.7020e-12
  38   10    2   2.9240e-11   2.8640e-11   2.8350e-11   2.7480e-11   2.6010e-11   2.2700e-11   2.0330e-11   1.8640e-11   1.7390e-11   1.6440e-11
  39   10    3   4.4340e-11   4.3590e-11   4.3180e-11   4.1050e-11   3.7580e-11   3.1100e-11   2.7280e-11   2.4910e-11   2.3390e-11   2.2370e-11
  40   10    4   8.1210e-11   7.9850e-11   7.8660e-11   7.4540e-11   6.9250e-11   5.9540e-11   5.3200e-11   4.8810e-11   4.5620e-11   4.3200e-11
  41   10    5   1.4020e-10   1.3670e-10   1.3430e-10   1.2730e-10   1.1890e-10   1.0310e-10   9.2410e-11   8.4870e-11   7.9330e-11   7.5110e-11
  42   10    6   1.3890e-10   1.3980e-10   1.3930e-10   1.3570e-10   1.3040e-10   1.1760e-10   1.0730e-10   9.9440e-11   9.3550e-11   8.9030e-11
  43   10    7   2.2870e-10   2.2840e-10   2.2810e-10   2.2210e-10   2.1150e-10   1.8850e-10   1.7180e-10   1.5970e-10   1.5070e-10   1.4360e-10
  44   10    8   2.5210e-10   2.4870e-10   2.4550e-10   2.3700e-10   2.2890e-10   2.1260e-10   1.9920e-10   1.8910e-10   1.8170e-10   1.7620e-10
  45   10    9   3.2420e-10   3.1540e-10   3.0780e-10   2.9050e-10   2.7360e-10   2.4600e-10   2.2870e-10   2.1690e-10   2.0820e-10   2.0150e-10
  46   11    1   8.7260e-12   8.7710e-12   8.7240e-12   8.4430e-12   7.9410e-12   6.8560e-12   6.1100e-12   5.5830e-12   5.1940e-12   4.8930e-12
  47   11    2   1.4690e-11   1.4310e-11   1.3940e-11   1.2910e-11   1.1550e-11   9.1250e-12   7.7470e-12   6.9330e-12   6.4460e-12   6.1570e-12
  48   11    3   3.6990e-11   3.7020e-11   3.6890e-11   3.6060e-11   3.4360e-11   3.0380e-11   2.7540e-11   2.5500e-11   2.3990e-11   2.2820e-11
  49   11    4   5.7140e-11   5.3410e-11   5.0820e-11   4.5930e-11   4.1510e-11   3.4460e-11   3.0400e-11   2.7910e-11   2.6300e-11   2.5220e-11
  50   11    5   7.6750e-11   7.6980e-11   7.6750e-11   7.4320e-11   7.0200e-11   6.1870e-11   5.6130e-11   5.2010e-11   4.8950e-11   4.6590e-11
  51   11    6   1.5650e-10   1.4840e-10   1.4270e-10   1.3120e-10   1.2110e-10   1.0470e-10   9.4020e-11   8.6600e-11   8.1160e-11   7.7010e-11
  52   11    7   1.2450e-10   1.2770e-10   1.2910e-10   1.2870e-10   1.2530e-10   1.1540e-10   1.0670e-10   9.9890e-11   9.4590e-11   9.0440e-11
  53   11    8   2.1600e-10   2.1820e-10   2.1980e-10   2.1680e-10   2.0800e-10   1.8750e-10   1.7200e-10   1.6040e-10   1.5160e-10   1.4470e-10
  54   11    9   2.4930e-10   2.4790e-10   2.4550e-10   2.3870e-10   2.3070e-10   2.1400e-10   2.0110e-10   1.9150e-10   1.8430e-10   1.7900e-10
  55   11   10   2.9520e-10   2.8870e-10   2.8560e-10   2.7610e-10   2.6360e-10   2.3980e-10   2.2380e-10   2.1260e-10   2.0430e-10   1.9800e-10
  56   12    1   4.0580e-12   3.8570e-12   3.6770e-12   3.2860e-12   2.9290e-12   2.3690e-12   2.0300e-12   1.8120e-12   1.6680e-12   1.5740e-12
  57   12    2   2.5780e-11   2.4170e-11   2.2890e-11   2.0640e-11   1.8980e-11   1.6440e-11   1.4790e-11   1.3630e-11   1.2770e-11   1.2100e-11
  58   12    3   2.1630e-11   2.0530e-11   1.9570e-11   1.7510e-11   1.5650e-11   1.2790e-11   1.1110e-11   1.0050e-11   9.3750e-12   8.9410e-12
  59   12    4   4.6650e-11   4.4460e-11   4.2820e-11   4.0280e-11   3.8540e-11   3.5080e-11   3.2240e-11   3.0070e-11   2.8400e-11   2.7090e-11
  60   12    5   5.7000e-11   5.4160e-11   5.1890e-11   4.7040e-11   4.2890e-11   3.6700e-11   3.2990e-11   3.0580e-11   2.8950e-11   2.7820e-11
  61   12    6   7.8250e-11   7.6940e-11   7.5520e-11   7.2780e-11   7.0330e-11   6.4630e-11   5.9590e-11   5.5600e-11   5.2490e-11   5.0040e-11
  62   12    7   1.4800e-10   1.4510e-10   1.4180e-10   1.3200e-10   1.2220e-10   1.0640e-10   9.6120e-11   8.8750e-11   8.3260e-11   7.9040e-11
  63   12    8   1.1840e-10   1.2190e-10   1.2340e-10   1.2520e-10   1.2480e-10   1.1850e-10   1.1070e-10   1.0400e-10   9.8540e-11   9.4210e-11
  64   12    9   2.0690e-10   2.1070e-10   2.1280e-10   2.1020e-10   2.0170e-10   1.8290e-10   1.6890e-10   1.5830e-10   1.5010e-10   1.4360e-10
  65   12   10   2.4450e-10   2.4400e-10   2.4340e-10   2.4090e-10   2.3630e-10   2.2270e-10   2.0990e-10   1.9960e-10   1.9170e-10   1.8550e-10
  66   12   11   2.8700e-10   2.8150e-10   2.7830e-10   2.6860e-10   2.5730e-10   2.3730e-10   2.2350e-10   2.1320e-10   2.0530e-10   1.9900e-10
  67   13    1   6.9510e-12   6.4310e-12   6.0990e-12   5.4420e-12   4.9240e-12   4.2130e-12   3.8020e-12   3.5280e-12   3.3310e-12   3.1810e-12
  68   13    2   9.9570e-12   9.4350e-12   9.1460e-12   8.3740e-12   7.5080e-12   6.0940e-12   5.2450e-12   4.6920e-12   4.3180e-12   4.0640e-12
  69   13    3   3.1810e-11   3.0040e-11   2.8920e-11   2.6610e-11   2.4620e-11   2.1470e-11   1.9420e-11   1.7990e-11   1.6940e-11   1.6140e-11
  70   13    4   2.2420e-11   2.1650e-11   2.1180e-11   1.9710e-11   1.7800e-11   1.4560e-11   1.2690e-11   1.1550e-11   1.0830e-11   1.0380e-11
