!MOLECULE
 NO from JPL database, updated 2021, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 100
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
   84   179.947270976  12.0  '  5.5   1-  5.5   2PI3/2 '                    
   85   179.947900000  10.0  '  5.5   1+  4.5   2PI3/2 '                    
   86   179.947900000  14.0  '  5.5   1-  6.5   2PI3/2 '                    
   87   179.948342323  12.0  '  5.5   1+  5.5   2PI3/2 '                    
   88   179.948917701  14.0  '  5.5   1+  6.5   2PI3/2 '                    
   89   200.571000000  24.0  ' 10.5   2+ 11.5   2PI1/2 '                    
   90   200.572500000  22.0  ' 10.5   2+ 10.5   2PI1/2 '                    
   91   200.573984924  20.0  ' 10.5   2+  9.5   2PI1/2 '                    
   92   200.694500000  20.0  ' 10.5   2-  9.5   2PI1/2 '                    
   93   200.696618289  22.0  ' 10.5   2- 10.5   2PI1/2 '                    
   94   200.698877989  24.0  ' 10.5   2- 11.5   2PI1/2 '                    
   95   202.298200000  12.0  '  6.5   1+  5.5   2PI3/2 '                    
   96   202.298572458  14.0  '  6.5   1+  6.5   2PI3/2 '                    
   97   202.299012916  16.0  '  6.5   1+  7.5   2PI3/2 '                    
   98   202.299800000  12.0  '  6.5   1-  5.5   2PI3/2 '                    
   99   202.300144859  14.0  '  6.5   1-  6.5   2PI3/2 '                    
  100   202.300702394  16.0  '  6.5   1-  7.5   2PI3/2 '                    
! NUMBER OF RADIATIVE TRANSITIONS
 1349
!TRANS + U + L + A(s^-1) + FREQ(GHz) + E_u/k(K)
    1      99    98  2.249E-22           0.01033860   291.06     
    2      96    95  2.834E-22           0.01116600   291.06     
    3      97    96  3.383E-22           0.01237890   291.06     
    4      87    85  4.326E-22           0.01326050   258.91     
    5      87    86  1.357E-21           0.01390500   258.91     
    6      67    66  7.125E-21           0.01407680   209.42     
    7      84    83  5.222E-22           0.01411950   258.90     
    8     100    99  6.094E-22           0.01506140   291.07     
    9      86    84  6.980E-22           0.01635900   258.90     
   10      85    84  2.972E-21           0.01700480   258.90     
   11      74    73  7.858E-22           0.01708670   231.69     
   12      74    72  1.223E-19           0.01711280   231.69     
   13      72    71  9.085E-22           0.01793390   231.69     
   14      73    71  1.459E-19           0.01796000   231.69     
   15      88    87  1.013E-21           0.01851820   258.91     
   16      76    75  1.697E-19           0.01878340   231.69     
   17       2     1  5.939E-22           0.01998500     0.00     
   18      69    68  2.000E-20           0.02133330   209.42     
   19      75    72  1.352E-21           0.02172630   231.69     
   20      68    66  1.260E-21           0.02241490   209.42     
   21      67    65  1.398E-21           0.02320560   209.42     
   22      76    74  1.688E-21           0.02339700   231.69     
   23       7     6  3.473E-21           0.02689320     7.21     
   24      55    54  1.659E-19           0.02744610   192.10     
   25      69    67  2.357E-21           0.02967140   209.42     
   26      87    84  4.789E-19           0.03026500   258.91     
   27      56    54  1.141E-21           0.03056660   192.10     
   28      70    68  2.660E-21           0.03088970   209.42     
   29      85    83  5.332E-19           0.03112400   258.90     
   30      55    53  1.220E-21           0.03125440   192.10     
   31      68    65  8.019E-20           0.03155000   209.42     
   32      88    86  6.085E-19           0.03242500   258.91     
   33      56    53  3.261E-19           0.03439000   192.10     
   34      13    12  1.047E-20           0.03476540    19.23     
   35      74    71  4.504E-20           0.03504500   231.69     
   36      99    97  1.287E-20           0.03619600   291.06     
   37      98    96  1.768E-20           0.03824300   291.06     
   38      19    18  1.553E-20           0.03887610    36.06     
   39      70    67  1.243E-19           0.03922100   209.42     
   40      57    56  3.980E-19           0.04017200   192.10     
   41      76    72  5.819E-20           0.04051200   231.69     
   42      25    24  1.879E-20           0.04126950    57.70     
   43       6     5  7.289E-21           0.04228540     7.21     
   44      31    30  2.085E-20           0.04273260    84.16     
   45      57    55  2.482E-21           0.04328780   192.10     
   46      37    36  2.210E-20           0.04363340   115.42     
   47      58    56  2.623E-21           0.04409000   192.10     
   48      43    42  2.280E-20           0.04416760   151.49     
   49      87    83  4.403E-20           0.04438480   258.91     
   50      61    60  2.311E-20           0.04444940   192.38     
   51      91    90  2.300E-20           0.04451690   288.58     
   52      79    78  2.316E-20           0.04455010   238.08     
   53      90    89  2.102E-20           0.04458810   288.58     
   54      49    48  3.490E-18           0.04469750   179.72     
   55      78    77  2.189E-20           0.04527770   238.07     
   56      50    48  2.924E-21           0.04530940   179.72     
   57      49    47  3.029E-21           0.04584540   179.72     
   58      60    59  2.268E-20           0.04592650   192.38     
   59      12    11  1.660E-20           0.04609680    19.23     
   60      50    47  3.919E-18           0.04646400   179.72     
   61      42    41  2.332E-20           0.04651610   151.49     
   62      36    35  2.373E-20           0.04701780   115.42     
   63      58    55  6.462E-19           0.04721100   192.10     
   64      18    17  2.109E-20           0.04725730    36.06     
   65      30    29  2.374E-20           0.04738380    84.15     
   66      24    23  2.305E-20           0.04752580    57.70     
   67      99    96  1.470E-18           0.04857800   291.06     
   68      88    84  5.022E-20           0.04878600   258.91     
   69      98    95  1.574E-18           0.04940500   291.06     
   70     100    97  1.768E-18           0.05126000   291.07     
   71      99    95  5.780E-20           0.05974200   291.06     
   72      27    26  5.093E-20           0.06196260    57.78     
   73      21    20  4.736E-20           0.06203040    36.13     
   74      33    32  5.332E-20           0.06208300    84.25     
   75      39    38  5.518E-20           0.06230380   115.53     
   76      15    14  4.056E-20           0.06247520    19.28     
   77      45    44  5.677E-20           0.06257840   151.62     
   78      63    62  5.819E-20           0.06288010   192.53     
   79      81    80  5.952E-20           0.06319240   238.24     
   80      93    92  6.073E-20           0.06350470   288.76     
   81       9     8  2.322E-20           0.06379550     7.24     
   82      94    93  6.926E-20           0.06829240   288.76     
   83      82    81  6.987E-20           0.06880430   238.24     
   84      64    63  7.066E-20           0.06946440   192.53     
   85      46    45  7.174E-20           0.07034170   151.63     
   86      40    39  7.322E-20           0.07154770   115.54     
   87      34    33  7.532E-20           0.07327610    84.26     
   88      51    50  1.108E-17           0.07328600   179.72     
   89      51    49  9.144E-21           0.07390560   179.72     
   90      52    50  9.298E-21           0.07432270   179.72     
   91      52    49  1.184E-17           0.07493100   179.72     
   92      28    27  7.832E-20           0.07589260    57.79     
   93      22    21  8.253E-20           0.08018140    36.13     
   94      16    15  8.734E-20           0.08818110    19.28     
   95      10     9  7.995E-20           0.10736820     7.25     
   96       4     3  3.208E-19           0.20525480     0.02     
   97       3     2  9.518E-17           0.20595100     0.01     
   98       3     1  1.004E-15           0.22593570     0.01     
   99       4     2  3.021E-15           0.41120560     0.02     
  100       4     1  4.347E-15           0.43119050     0.02     
  101       8     7  1.927E-15           0.56085380     7.24     
  102       8     6  1.769E-15           0.58774670     7.24     
  103       9     7  1.063E-15           0.62464940     7.24     
  104       9     6  2.921E-15           0.65154250     7.24     
  105       9     5  1.566E-15           0.69382820     7.24     
  106      10     6  1.369E-15           0.75891060     7.25     
  107      10     5  8.456E-15           0.80119630     7.25     
  108      14    13  5.693E-15           0.92925900    19.27     
  109      14    12  1.207E-15           0.96402300    19.27     
  110      15    13  8.777E-16           0.99173380    19.28     
  111      15    12  7.161E-15           1.02649920    19.28     
  112      15    11  1.128E-15           1.07259600    19.28     
  113      16    12  9.523E-16           1.11467700    19.28     
  114      16    11  1.210E-14           1.16077680    19.28     
  115      20    19  9.219E-15           1.28642370    36.12     
  116      20    18  8.934E-16           1.32529900    36.12     
  117      21    19  7.072E-16           1.34845900    36.13     
  118      21    18  1.103E-14           1.38733020    36.13     
  119      21    17  8.555E-16           1.43458800    36.13     
  120      22    18  7.343E-16           1.46751100    36.13     
  121      22    17  1.555E-14           1.51476800    36.13     
  122      26    25  1.260E-14           1.63722520    57.78     
  123      26    24  7.035E-16           1.67849470    57.78     
  124      27    25  5.850E-16           1.69918770    57.78     
  125      27    24  1.466E-14           1.74045730    57.78     
  126      27    23  6.821E-16           1.78798310    57.78     
  127      28    24  5.974E-16           1.81634990    57.79     
  128      28    23  1.889E-14           1.86387800    57.79     
  129      32    31  1.589E-14           1.98240140    84.25     
  130      32    30  5.774E-16           2.02513400    84.25     
  131      33    31  4.960E-16           2.04448440    84.25     
  132      33    30  1.811E-14           2.08721700    84.25     
  133      33    29  5.641E-16           2.13460080    84.25     
  134      34    30  5.025E-16           2.16049310    84.26     
  135      34    29  2.213E-14           2.20787700    84.26     
  136      38    37  1.908E-14           2.32176990   115.53     
  137      38    36  4.878E-16           2.36540340   115.53     
  138      39    37  4.289E-16           2.38407370   115.53     
  139      39    36  2.143E-14           2.42770710   115.53     
  140      39    35  4.791E-16           2.47472490   115.53     
  141      40    36  4.327E-16           2.49925480   115.54     
  142      40    35  2.530E-14           2.54627260   115.54     
  143      44    43  2.219E-14           2.65487410   151.62     
  144      44    42  4.208E-16           2.69904180   151.62     
  145      45    43  3.766E-16           2.71745260   151.62     
  146      45    42  2.463E-14           2.76162020   151.62     
  147      45    41  4.148E-16           2.80813630   151.62     
  148      46    42  3.790E-16           2.83196190   151.63     
  149      46    41  2.837E-14           2.87847790   151.63     
  150      62    61  2.521E-14           2.98117610   192.52     
  151      62    60  3.688E-16           3.02562560   192.52     
  152      63    61  3.346E-16           3.04405630   192.53     
  153      63    60  2.771E-14           3.08850570   192.53     
  154      63    59  3.645E-16           3.13443220   192.53     
  155      64    60  3.363E-16           3.15797010   192.53     
  156      64    59  3.135E-14           3.20389670   192.53     
  157      80    79  2.813E-14           3.30012980   238.23     
  158      80    78  3.272E-16           3.34467990   238.23     
  159      81    79  3.001E-16           3.36332220   238.24     
  160      81    78  3.069E-14           3.40787230   238.24     
  161      81    77  3.240E-16           3.45315000   238.24     
  162      82    78  3.013E-16           3.47667660   238.24     
  163      82    77  3.424E-14           3.52195440   238.24     
  164      92    91  3.095E-14           3.61121280   288.75     
  165      92    90  2.931E-16           3.65572960   288.75     
  166      93    91  2.712E-16           3.67471750   288.76     
  167      93    90  3.355E-14           3.71923430   288.76     
  168      93    89  2.907E-16           3.76382250   288.76     
  169      94    90  2.722E-16           3.78752670   288.76     
  170      94    89  3.701E-14           3.83211490   288.76     
  171       5     4  1.720E-09         149.74526640     7.21     
  172       6     4  7.655E-10         149.78755180     7.21     
  173       7     4  1.915E-10         149.81444500     7.21     
  174       6     3  9.602E-10         149.99280660     7.21     
  175       7     3  1.538E-09         150.01969980     7.21     
  176       5     1  3.310E-07         150.17648000     7.21     
  177       6     2  1.839E-07         150.19876000     7.21     
  178       6     1  1.471E-07         150.21873000     7.21     
  179       7     2  2.943E-07         150.22566000     7.21     
  180       7     1  3.679E-08         150.24563560     7.21     
  181       8     4  3.699E-08         150.37529880     7.24     
  182       9     4  1.480E-07         150.43912000     7.24     
  183      10     4  3.333E-07         150.54652000     7.25     
  184       8     3  2.963E-07         150.58056000     7.24     
  185       9     3  1.853E-07         150.64434000     7.24     
  186       8     2  1.562E-09         150.78650450     7.24     
  187       8     1  1.959E-10         150.80648940     7.24     
  188       9     2  9.758E-10         150.85030000     7.24     
  189       9     1  7.834E-10         150.87028500     7.24     
  190      10     1  1.762E-09         150.97765320     7.25     
  191      11    10  9.569E-09         249.63564600    19.23     
  192      12    10  1.532E-09         249.68174290    19.23     
  193      13    10  9.586E-11         249.71650820    19.23     
  194      12     9  8.053E-09         249.78911110    19.23     
  195      13     9  2.303E-09         249.82387650    19.23     
  196      13     8  7.200E-09         249.88767200    19.23     
  197      11     5  1.841E-06         250.43684800    19.23     
  198      12     6  1.547E-06         250.44065900    19.23     
  199      13     7  1.381E-06         250.44853000    19.23     
  200      13     6  4.420E-07         250.47541400    19.23     
  201      12     5  2.947E-07         250.48293900    19.23     
  202      13     5  1.842E-08         250.51770300    19.23     
  203      14    10  1.848E-08         250.64580000    19.27     
  204      15    10  2.957E-07         250.70824500    19.28     
  205      14     9  4.437E-07         250.75314000    19.27     
  206      16    10  1.849E-06         250.79643600    19.28     
  207      15     9  1.553E-06         250.81559400    19.28     
  208      14     8  1.387E-06         250.81695400    19.27     
  209      14     7  7.330E-09         251.37778440    19.27     
  210      14     6  2.349E-09         251.40467760    19.27     
  211      14     5  9.807E-11         251.44696300    19.27     
  212      15     6  8.215E-09         251.46715290    19.28     
  213      15     5  1.568E-09         251.50943830    19.28     
  214      16     5  9.792E-09         251.59761930    19.28     
  215      53    52  1.407E-10         257.74657770   192.09     
  216      53    51  1.340E-08         257.74760660   192.09     
  217      54    52  1.340E-08         257.75038600   192.09     
  218      54    51  1.407E-10         257.75141490   192.09     
  219      55    52  2.251E-09         257.77783200   192.10     
  220      55    51  2.144E-07         257.77880200   192.10     
  221      56    52  2.145E-07         257.78101500   192.10     
  222      56    51  2.251E-09         257.78198150   192.10     
  223      53    50  3.377E-09         257.82090030   192.09     
  224      57    52  1.406E-08         257.82111980   192.10     
  225      53    49  3.217E-07         257.82151220   192.09     
  226      57    51  1.340E-06         257.82208600   192.10     
  227      54    50  3.217E-07         257.82470860   192.09     
  228      58    52  1.340E-06         257.82502500   192.10     
  229      54    49  3.377E-09         257.82532050   192.09     
  230      58    51  1.406E-08         257.82607150   192.10     
  231      55    50  1.182E-08         257.85215470   192.10     
  232      55    49  1.126E-06         257.85274600   192.10     
  233      56    50  1.126E-06         257.85528900   192.10     
  234      56    49  1.182E-08         257.85588710   192.10     
  235      53    48  1.055E-08         257.86620980   192.09     
  236      53    47  1.005E-06         257.86735500   192.09     
