     20     7     5   5.56e-11  5.99e-11  6.16e-11  6.34e-11  6.65e-11  6.84e-11  6.95e-11  7.00e-11  6.62e-11  6.00e-11  5.47e-11  5.28e-11
     21     7     6   2.08e-10  2.09e-10  2.08e-10  2.10e-10  2.13e-10  2.17e-10  2.21e-10  2.32e-10  2.53e-10  2.77e-10  3.31e-10  3.68e-10
     22     8     1   7.41e-12  7.97e-12  8.12e-12  7.95e-12  7.24e-12  6.79e-12  6.53e-12  6.31e-12  5.99e-12  5.23e-12  4.31e-12  3.81e-12
     23     8     2   4.93e-11  4.92e-11  4.91e-11  4.92e-11  5.00e-11  5.10e-11  5.19e-11  5.30e-11  5.09e-11  4.43e-11  3.61e-11  3.19e-11
     24     8     3   2.71e-11  2.77e-11  2.80e-11  2.83e-11  2.95e-11  3.10e-11  3.21e-11  3.29e-11  3.03e-11  2.57e-11  2.12e-11  1.90e-11
     25     8     4   1.30e-10  1.35e-10  1.39e-10  1.43e-10  1.44e-10  1.43e-10  1.42e-10  1.41e-10  1.32e-10  1.15e-10  9.78e-11  8.80e-11
     26     8     5   5.06e-11  5.56e-11  5.76e-11  5.89e-11  5.98e-11  6.00e-11  5.98e-11  5.94e-11  5.66e-11  5.11e-11  4.44e-11  4.05e-11
     27     8     6   2.11e-10  1.97e-10  1.87e-10  1.79e-10  1.78e-10  1.79e-10  1.80e-10  1.79e-10  1.75e-10  1.60e-10  1.47e-10  1.40e-10
     28     8     7   5.54e-11  5.46e-11  5.43e-11  5.39e-11  5.37e-11  5.40e-11  5.49e-11  5.78e-11  6.21e-11  6.83e-11  8.10e-11  9.11e-11
     29     9     1   4.34e-12  6.44e-12  7.17e-12  7.72e-12  7.81e-12  7.55e-12  7.30e-12  7.01e-12  6.84e-12  6.56e-12  5.68e-12  5.08e-12
     30     9     2   1.43e-11  2.33e-11  2.68e-11  2.90e-11  2.89e-11  2.83e-11  2.79e-11  2.76e-11  2.70e-11  2.47e-11  2.03e-11  1.74e-11
     31     9     3   2.31e-11  3.64e-11  4.21e-11  4.68e-11  4.90e-11  4.87e-11  4.79e-11  4.62e-11  4.32e-11  3.85e-11  3.23e-11  2.84e-11
     32     9     4   3.65e-11  5.54e-11  6.18e-11  6.59e-11  6.78e-11  6.82e-11  6.80e-11  6.65e-11  6.28e-11  5.55e-11  4.62e-11  4.09e-11
