!Molecule
HCl rotation-hyperfine spectrum from JPL, version 3 of May 2012                                                                
!Molecular weight
36.0  
!Number of energy levels
          40
!Level + energy (cm^-1) + weight + quantum numbers J, F
    1     0.000000000   1.3  '0  1.5'
    70    33    29  1.161E+00        5587.82010000  1345.76 
    71    36    31  1.182E+00        5587.82010000  1345.76 
    72    34    29  3.062E-02        5587.82245460  1345.76 
    73    35    30  2.591E-02        5587.83630470  1345.76 
    74    35    29  1.704E-04        5587.83885270  1345.76 
    75    37    36  2.315E-02        6196.74240620  1643.16 
    76    38    36  1.219E-04        6196.74425660  1643.16 
    77    39    35  1.592E+00        6196.75971000  1643.16 
    78    38    34  1.587E+00        6196.75971000  1643.16 
    79    37    33  1.598E+00        6196.75971000  1643.16 
    80    40    36  1.621E+00        6196.75971000  1643.16 
    81    38    33  3.387E-02        6196.76170680  1643.16 
    82    39    34  2.829E-02        6196.77588220  1643.16 
    83    39    33  1.497E-04        6196.77804940  1643.16 
!Number of collision partners
2
!Collision partner 1
2 pH2-HCl from Lanza et al 2014
!Number of transitions
190
!Number of temperatures
8
!Collision temperatures
10  20  30  50  80  100  200  300
!Transition + up + low + coll.rates (cm^3/s) 
   1    2    1 5.54e-11 6.99e-11 7.62e-11 7.80e-11 7.35e-11 6.99e-11 5.76e-11 5.19e-11 
   2    3    1 5.54e-11 6.99e-11 7.62e-11 7.80e-11 7.35e-11 6.99e-11 5.76e-11 5.19e-11 
   3    3    2 4.06e-11 4.29e-11 4.29e-11 4.13e-11 3.87e-11 3.72e-11 3.25e-11 3.05e-11 
   4    4    1 5.54e-11 6.99e-11 7.62e-11 7.80e-11 7.35e-11 6.99e-11 5.76e-11 5.19e-11 
   5    4    2 1.31e-11 1.46e-11 1.52e-11 1.50e-11 1.42e-11 1.35e-11 1.12e-11 1.01e-11 
   6    4    3 8.40e-11 8.81e-11 8.78e-11 8.41e-11 7.86e-11 7.57e-11 6.66e-11 6.30e-11 
   7    5    1 2.01e-11 2.12e-11 2.17e-11 2.23e-11 2.28e-11 2.31e-11 2.40e-11 2.53e-11 
   8    5    2 7.61e-12 1.04e-11 1.25e-11 1.56e-11 1.88e-11 2.05e-11 2.62e-11 2.99e-11 
   9    5    3 7.33e-12 8.82e-12 9.72e-12 1.10e-11 1.24e-11 1.31e-11 1.60e-11 1.80e-11 
  10    5    4 1.40e-12 1.54e-12 1.54e-12 1.48e-12 1.41e-12 1.39e-12 1.38e-12 1.41e-12 
  11    6    1 2.01e-11 2.12e-11 2.17e-11 2.23e-11 2.28e-11 2.31e-11 2.40e-11 2.53e-11 
  12    6    2 5.54e-12 7.74e-12 9.30e-12 1.16e-11 1.39e-11 1.51e-11 1.91e-11 2.16e-11 
  13    6    3 7.95e-12 8.53e-12 8.74e-12 9.00e-12 9.46e-12 9.82e-12 1.16e-11 1.30e-11 
  14    6    4 2.84e-12 4.48e-12 5.69e-12 7.46e-12 9.25e-12 1.01e-11 1.29e-11 1.47e-11 
  15    6    5 4.08e-11 4.20e-11 4.11e-11 3.83e-11 3.50e-11 3.35e-11 2.95e-11 2.84e-11 
  16    7    1 2.01e-11 2.12e-11 2.17e-11 2.23e-11 2.28e-11 2.31e-11 2.40e-11 2.53e-11 
  17    7    2 4.49e-12 4.76e-12 4.79e-12 4.77e-12 4.85e-12 4.96e-12 5.64e-12 6.20e-12 
