!TRANS UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_up(K)
    67      24   14   0.288E-02    3999.76077   473.811
    68      24   15   0.101E+00    3999.64510   473.811
    69      24   18   0.144E+01    3924.04079   473.811
    70      24   19   0.531E-01    3924.03822   473.811
    71      25   14   0.102E+00    3999.76274   473.811
    72      25   15   0.231E-02    3999.64707   473.811
    73      25   19   0.149E+01    3924.04019   473.811
    74      26   20   0.315E+01    4889.40337   704.558
    75      27   20   0.478E-01    4889.51932   704.564
    76      27   21   0.310E+01    4889.40349   704.564
    77      28   11   0.169E-03   11787.33735   706.396
    78      28   21   0.140E-02    4927.58339   706.396
    79      28   22   0.290E+01    4901.10918   706.396
    80      28   23   0.108E+00    4900.99119   706.396
    81      28   24   0.148E+00    4846.26321   706.396
    82      28   25   0.423E-02    4846.26124   706.396
    83      29   10   0.175E-03   11787.57042   706.402
    84      29   20   0.138E-02    4927.81686   706.402
    85      29   21   0.208E-04    4927.70103   706.402
    86      29   23   0.301E+01    4901.10883   706.402
    87      29   24   0.337E-02    4846.38085   706.402
    88      29   25   0.149E+00    4846.37888   706.402
    89      30   20   0.129E+00    4976.16131   708.722
    90      30   21   0.199E-02    4976.04549   708.722
    91      30   25   0.303E+01    4894.72333   708.722
    92      31   20   0.238E-02    4976.15972   708.722
    93      31   21   0.129E+00    4976.04389   708.722
    94      31   24   0.296E+01    4894.72370   708.722
    95      31   25   0.671E-01    4894.72173   708.722
    96      32   26   0.549E+01    5853.48428   985.483
    97      33   26   0.604E-01    5853.60031   985.489
    98      33   27   0.542E+01    5853.48437   985.489
    99      34   27   0.113E-02    5902.39557   987.836
   100      34   28   0.521E+01    5864.21566   987.836
   101      34   29   0.119E+00    5864.09802   987.836
   102      34   30   0.325E-02    5815.75357   987.836
   103      34   31   0.175E+00    5815.75517   987.836
   104      35   26   0.112E-02    5902.62894   987.842
   105      35   29   0.533E+01    5864.21545   987.842
   106      35   30   0.176E+00    5815.87100   987.842
   107      35   31   0.269E-02    5815.87259   987.842
   108      36   26   0.156E+00    5945.31213   989.890
   109      36   27   0.174E-02    5945.19619   989.890
   110      36   30   0.535E+01    5858.55419   989.890
   111      37   26   0.202E-02    5945.31078   989.890
   112      37   27   0.156E+00    5945.19484   989.890
   113      37   30   0.807E-01    5858.55284   989.890
   114      37   31   0.526E+01    5858.55444   989.890
   115      38   32   0.873E+01    6809.30026  1312.280
   116      39   32   0.728E-01    6809.41635  1312.286
   117      39   33   0.866E+01    6809.30033  1312.286
   118      40   33   0.950E-03    6868.36098  1315.120
   119      40   34   0.843E+01    6819.44978  1315.120
   120      40   35   0.130E+00    6819.33235  1315.120
   121      40   36   0.262E-02    6776.64916  1315.120
   122      40   37   0.202E+00    6776.65051  1315.120
   123      41   32   0.943E-03    6868.59429  1315.126
   124      41   35   0.856E+01    6819.44963  1315.126
   125      41   36   0.203E+00    6776.76644  1315.126
   126      41   37   0.222E-02    6776.76778  1315.126
   127      42   32   0.183E+00    6906.02263  1316.922
   128      42   33   0.153E-02    6905.90660  1316.922
   129      42   36   0.857E+01    6814.19478  1316.922
   130      43   32   0.175E-02    6906.02147  1316.922
   131      43   33   0.183E+00    6905.90545  1316.922
   132      43   36   0.938E-01    6814.19363  1316.922
   133      43   37   0.848E+01    6814.19497  1316.922
   134      44   38   0.130E+02    7755.56449  1684.491
   135      45   38   0.851E-01    7755.68063  1684.497
   136      45   39   0.129E+02    7755.56455  1684.497
   137      46   39   0.815E-03    7824.37948  1687.799
   138      46   40   0.127E+02    7765.31883  1687.799
   139      46   41   0.141E+00    7765.20155  1687.799
   140      46   42   0.219E-02    7727.77321  1687.799
   141      46   43   0.227E+00    7727.77436  1687.799
   142      47   38   0.811E-03    7824.61274  1687.805
   143      47   41   0.128E+02    7765.31872  1687.805
   144      47   42   0.228E+00    7727.89038  1687.805
   145      47   43   0.187E-02    7727.89153  1687.805
   146      48   38   0.154E-02    7857.04618  1689.362
   147      48   39   0.208E+00    7856.93009  1689.362
   148      48   42   0.106E+00    7760.32382  1689.361
   149      48   43   0.127E+02    7760.32497  1689.362
   150      49   38   0.208E+00    7857.04719  1689.362
   151      49   39   0.137E-02    7856.93110  1689.362
   152      49   42   0.128E+02    7760.32483  1689.362
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
4 e-OH+ from Coulomb-Born + recoupling (Faure 2012; Van der Tak et al 2013)
!NUMBER OF COLL TRANS
176
!NUMBER OF COLL TEMPS
12
! COLLISIONAL TEMPERATURES
   10.0     20.0     30.0     50.0     75.0    100.0    150.0    200.0    300.0    500.0    750.0   1000.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
  1   3   1   0.246E-05 0.176E-05 0.144E-05 0.111E-05 0.907E-06 0.787E-06 0.652E-06 0.573E-06 0.483E-06 0.398E-06 0.347E-06 0.317E-06
  2   3   2   0.123E-05 0.880E-06 0.720E-06 0.557E-06 0.453E-06 0.393E-06 0.326E-06 0.287E-06 0.242E-06 0.199E-06 0.173E-06 0.159E-06
  3   4   1   0.246E-05 0.176E-05 0.144E-05 0.111E-05 0.907E-06 0.787E-06 0.652E-06 0.573E-06 0.483E-06 0.398E-06 0.347E-06 0.317E-06
  4   4   2   0.123E-05 0.880E-06 0.720E-06 0.557E-06 0.453E-06 0.393E-06 0.326E-06 0.287E-06 0.242E-06 0.199E-06 0.173E-06 0.159E-06
  5   5   1   0.246E-05 0.176E-05 0.144E-05 0.111E-05 0.907E-06 0.787E-06 0.652E-06 0.573E-06 0.483E-06 0.398E-06 0.347E-06 0.317E-06
  6   5   2   0.123E-05 0.880E-06 0.720E-06 0.557E-06 0.453E-06 0.393E-06 0.326E-06 0.287E-06 0.242E-06 0.199E-06 0.173E-06 0.159E-06
  7   6   1   0.246E-05 0.176E-05 0.144E-05 0.111E-05 0.907E-06 0.787E-06 0.652E-06 0.573E-06 0.483E-06 0.398E-06 0.347E-06 0.317E-06
  8   6   2   0.123E-05 0.880E-06 0.720E-06 0.557E-06 0.453E-06 0.393E-06 0.326E-06 0.287E-06 0.242E-06 0.199E-06 0.173E-06 0.159E-06
  9   7   1   0.246E-05 0.176E-05 0.144E-05 0.111E-05 0.907E-06 0.787E-06 0.652E-06 0.573E-06 0.483E-06 0.398E-06 0.347E-06 0.317E-06
 10   7   2   0.123E-05 0.880E-06 0.720E-06 0.557E-06 0.453E-06 0.393E-06 0.326E-06 0.287E-06 0.242E-06 0.199E-06 0.173E-06 0.159E-06
 11   8   3   0.332E-05 0.217E-05 0.164E-05 0.117E-05 0.911E-06 0.778E-06 0.633E-06 0.552E-06 0.463E-06 0.377E-06 0.323E-06 0.291E-06
 12   8   4   0.996E-07 0.654E-07 0.491E-07 0.350E-07 0.274E-07 0.233E-07 0.190E-07 0.166E-07 0.139E-07 0.113E-07 0.972E-08 0.870E-08
 13   8   5   0.664E-07 0.436E-07 0.328E-07 0.233E-07 0.182E-07 0.156E-07 0.127E-07 0.110E-07 0.924E-08 0.756E-08 0.648E-08 0.580E-08
 14   8   6   0.830E-06 0.543E-06 0.410E-06 0.292E-06 0.228E-06 0.194E-06 0.158E-06 0.138E-06 0.116E-06 0.943E-07 0.810E-07 0.727E-07
 15   8   7   0.166E-05 0.109E-05 0.820E-06 0.583E-06 0.455E-06 0.389E-06 0.317E-06 0.276E-06 0.231E-06 0.189E-06 0.162E-06 0.145E-06
 16   9   3   0.332E-05 0.217E-05 0.164E-05 0.117E-05 0.911E-06 0.778E-06 0.633E-06 0.552E-06 0.463E-06 0.377E-06 0.323E-06 0.291E-06
 17   9   4   0.996E-07 0.654E-07 0.491E-07 0.350E-07 0.274E-07 0.233E-07 0.190E-07 0.166E-07 0.139E-07 0.113E-07 0.972E-08 0.870E-08
 18   9   5   0.664E-07 0.436E-07 0.328E-07 0.233E-07 0.182E-07 0.156E-07 0.127E-07 0.110E-07 0.924E-08 0.756E-08 0.648E-08 0.580E-08
 19   9   6   0.830E-06 0.543E-06 0.410E-06 0.292E-06 0.228E-06 0.194E-06 0.158E-06 0.138E-06 0.116E-06 0.943E-07 0.810E-07 0.727E-07
 20   9   7   0.166E-05 0.109E-05 0.820E-06 0.583E-06 0.455E-06 0.389E-06 0.317E-06 0.276E-06 0.231E-06 0.189E-06 0.162E-06 0.145E-06
 21  10   4   0.358E-05 0.235E-05 0.177E-05 0.126E-05 0.984E-06 0.840E-06 0.684E-06 0.596E-06 0.500E-06 0.407E-06 0.349E-06 0.314E-06
 22  10   5   0.239E-05 0.156E-05 0.118E-05 0.840E-06 0.656E-06 0.560E-06 0.456E-06 0.397E-06 0.333E-06 0.272E-06 0.233E-06 0.209E-06
 23  11   4   0.358E-05 0.235E-05 0.177E-05 0.126E-05 0.984E-06 0.840E-06 0.684E-06 0.596E-06 0.500E-06 0.407E-06 0.349E-06 0.314E-06
 24  11   5   0.239E-05 0.156E-05 0.118E-05 0.840E-06 0.656E-06 0.560E-06 0.456E-06 0.397E-06 0.333E-06 0.272E-06 0.233E-06 0.209E-06
 25  12   4   0.894E-06 0.586E-06 0.442E-06 0.315E-06 0.246E-06 0.210E-06 0.171E-06 0.149E-06 0.125E-06 0.102E-06 0.870E-07 0.786E-07
 26  12   5   0.596E-06 0.391E-06 0.295E-06 0.210E-06 0.164E-06 0.140E-06 0.114E-06 0.992E-07 0.832E-07 0.680E-07 0.580E-07 0.524E-07
 27  12   6   0.149E-05 0.977E-06 0.737E-06 0.527E-06 0.410E-06 0.350E-06 0.285E-06 0.248E-06 0.208E-06 0.170E-06 0.146E-06 0.131E-06
 28  12   7   0.299E-05 0.195E-05 0.147E-05 0.105E-05 0.820E-06 0.700E-06 0.570E-06 0.497E-06 0.417E-06 0.339E-06 0.291E-06 0.261E-06
 29  13   4   0.894E-06 0.586E-06 0.442E-06 0.315E-06 0.246E-06 0.210E-06 0.171E-06 0.149E-06 0.125E-06 0.102E-06 0.870E-07 0.786E-07
 30  13   5   0.596E-06 0.391E-06 0.295E-06 0.210E-06 0.164E-06 0.140E-06 0.114E-06 0.992E-07 0.832E-07 0.680E-07 0.580E-07 0.524E-07
 31  13   6   0.149E-05 0.977E-06 0.737E-06 0.527E-06 0.410E-06 0.350E-06 0.285E-06 0.248E-06 0.208E-06 0.170E-06 0.146E-06 0.131E-06
 32  13   7   0.299E-05 0.195E-05 0.147E-05 0.105E-05 0.820E-06 0.700E-06 0.570E-06 0.497E-06 0.417E-06 0.339E-06 0.291E-06 0.261E-06
 33  14  10   0.265E-05 0.190E-05 0.155E-05 0.120E-05 0.977E-06 0.851E-06 0.697E-06 0.606E-06 0.505E-06 0.405E-06 0.345E-06 0.309E-06
 34  14  11   0.199E-05 0.142E-05 0.117E-05 0.900E-06 0.733E-06 0.639E-06 0.523E-06 0.454E-06 0.378E-06 0.304E-06 0.258E-06 0.232E-06
