!MOLECULE
CS
!MOLECULAR WEIGHT
44.0
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
   10     5     4    5.8E-11 5.2E-11 4.8E-11 4.6E-11 4.5E-11 4.5E-11 4.5E-11 4.6E-11 4.9E-11 5.3E-11 5.7E-11
   11     6     1    7.2E-13 7.1E-13 9.0E-13 1.1E-12 1.3E-12 1.4E-12 1.5E-12 1.6E-12 1.9E-12 2.4E-12 3.1E-12
   12     6     2    4.5E-12 5.9E-12 7.5E-12 8.7E-12 1.0E-11 1.2E-11 1.3E-11 1.5E-11 1.8E-11 2.4E-11 3.1E-11
   13     6     3    7.9E-12 9.0E-12 1.0E-11 1.1E-11 1.2E-11 1.2E-11 1.2E-11 1.3E-11 1.5E-11 1.8E-11 2.1E-11
   14     6     4    4.1E-11 4.5E-11 4.9E-11 5.3E-11 5.8E-11 6.4E-11 6.9E-11 7.3E-11 8.5E-11 1.0E-10 1.2E-10
   15     6     5    3.7E-11 4.1E-11 4.3E-11 4.3E-11 4.4E-11 4.5E-11 4.6E-11 4.7E-11 5.1E-11 5.5E-11 5.9E-11
   16     7     1    5.4E-13 7.8E-13 1.2E-12 1.5E-12 2.0E-12 2.3E-12 2.6E-12 2.9E-12 3.9E-12 5.7E-12 8.1E-12
   17     7     2    1.7E-12 1.8E-12 2.2E-12 2.6E-12 3.0E-12 3.3E-12 3.5E-12 3.7E-12 4.5E-12 5.8E-12 7.3E-12
   18     7     3    6.1E-12 7.4E-12 9.0E-12 1.0E-11 1.2E-11 1.4E-11 1.6E-11 1.8E-11 2.2E-11 2.9E-11 3.8E-11
   19     7     4    1.0E-11 1.1E-11 1.2E-11 1.2E-11 1.3E-11 1.4E-11 1.5E-11 1.5E-11 1.7E-11 2.1E-11 2.5E-11
   20     7     5    4.6E-11 4.8E-11 5.1E-11 5.4E-11 6.0E-11 6.5E-11 7.0E-11 7.5E-11 8.7E-11 1.1E-10 1.3E-10
   21     7     6    3.8E-11 4.1E-11 4.2E-11 4.3E-11 4.4E-11 4.5E-11 4.7E-11 4.8E-11 5.1E-11 5.6E-11 6.0E-11
   22     8     1    8.3E-13 6.9E-13 6.8E-13 7.2E-13 7.9E-13 8.5E-13 9.0E-13 9.4E-13 1.2E-12 1.6E-12 2.1E-12
   23     8     2    1.2E-12 1.6E-12 2.3E-12 3.0E-12 3.9E-12 4.6E-12 5.3E-12 5.9E-12 7.8E-12 1.2E-11 1.7E-11
   24     8     3    2.9E-12 2.9E-12 3.4E-12 3.9E-12 4.6E-12 5.0E-12 5.4E-12 5.6E-12 6.8E-12 8.8E-12 1.1E-11
   25     8     4    7.7E-12 8.7E-12 1.0E-11 1.2E-11 1.4E-11 1.6E-11 1.8E-11 2.0E-11 2.4E-11 3.2E-11 4.2E-11
   26     8     5    1.0E-11 1.1E-11 1.2E-11 1.3E-11 1.4E-11 1.5E-11 1.5E-11 1.6E-11 1.9E-11 2.3E-11 2.7E-11
   27     8     6    5.3E-11 5.1E-11 5.2E-11 5.5E-11 6.0E-11 6.6E-11 7.2E-11 7.6E-11 8.8E-11 1.1E-10 1.3E-10
   28     8     7    3.4E-11 3.8E-11 4.1E-11 4.2E-11 4.4E-11 4.5E-11 4.7E-11 4.8E-11 5.1E-11 5.6E-11 6.1E-11
   29     9     1    1.8E-13 2.2E-13 3.4E-13 4.7E-13 6.7E-13 8.4E-13 9.7E-13 1.1E-12 1.6E-12 2.5E-12 3.9E-12
   30     9     2    2.0E-12 1.8E-12 1.8E-12 2.0E-12 2.2E-12 2.4E-12 2.6E-12 2.8E-12 3.5E-12 4.7E-12 6.4E-12
   31     9     3    1.9E-12 2.4E-12 3.2E-12 4.0E-12 5.0E-12 5.9E-12 6.7E-12 7.5E-12 9.9E-12 1.5E-11 2.1E-11
   32     9     4    3.0E-12 3.1E-12 3.7E-12 4.3E-12 5.1E-12 5.7E-12 6.2E-12 6.6E-12 8.0E-12 1.0E-11 1.3E-11
   33     9     5    9.0E-12 9.9E-12 1.1E-11 1.3E-11 1.5E-11 1.7E-11 1.9E-11 2.1E-11 2.6E-11 3.5E-11 4.6E-11
   34     9     6    1.2E-11 1.2E-11 1.3E-11 1.3E-11 1.4E-11 1.5E-11 1.6E-11 1.7E-11 1.9E-11 2.4E-11 2.8E-11
   35     9     7    5.6E-11 5.3E-11 5.3E-11 5.6E-11 6.1E-11 6.7E-11 7.3E-11 7.7E-11 9.0E-11 1.1E-10 1.3E-10
   36     9     8    3.7E-11 4.1E-11 4.3E-11 4.3E-11 4.5E-11 4.6E-11 4.7E-11 4.8E-11 5.2E-11 5.7E-11 6.2E-11
   37    10     1    6.6E-13 5.9E-13 5.9E-13 6.4E-13 7.3E-13 8.1E-13 8.7E-13 9.2E-13 1.2E-12 1.9E-12 2.8E-12
   38    10     2    5.0E-13 5.7E-13 8.2E-13 1.1E-12 1.5E-12 1.9E-12 2.2E-12 2.4E-12 3.5E-12 5.6E-12 8.9E-12
   39    10     3    2.3E-12 2.0E-12 2.2E-12 2.4E-12 2.9E-12 3.2E-12 3.5E-12 3.8E-12 4.8E-12 6.5E-12 8.8E-12
   40    10     4    2.7E-12 3.1E-12 3.9E-12 4.7E-12 5.9E-12 6.9E-12 7.8E-12 8.6E-12 1.1E-11 1.7E-11 2.5E-11
   41    10     5    2.7E-12 3.1E-12 3.8E-12 4.5E-12 5.4E-12 6.1E-12 6.7E-12 7.2E-12 8.6E-12 1.1E-11 1.4E-11
   42    10     6    1.1E-11 1.1E-11 1.3E-11 1.4E-11 1.6E-11 1.8E-11 2.0E-11 2.2E-11 2.7E-11 3.6E-11 4.8E-11
   43    10     7    1.1E-11 1.2E-11 1.3E-11 1.3E-11 1.4E-11 1.5E-11 1.6E-11 1.7E-11 2.0E-11 2.4E-11 2.9E-11
   44    10     8    6.4E-11 5.7E-11 5.6E-11 5.7E-11 6.3E-11 6.8E-11 7.4E-11 7.9E-11 9.1E-11 1.1E-10 1.3E-10
   45    10     9    3.3E-11 3.7E-11 4.0E-11 4.2E-11 4.4E-11 4.5E-11 4.7E-11 4.8E-11 5.2E-11 5.7E-11 6.2E-11
   46    11     1    1.5E-13 1.7E-13 2.1E-13 2.6E-13 3.5E-13 4.3E-13 4.9E-13 5.5E-13 8.3E-13 1.4E-12 2.4E-12
   47    11     2    1.1E-12 1.1E-12 1.2E-12 1.3E-12 1.6E-12 1.8E-12 2.0E-12 2.2E-12 2.9E-12 4.4E-12 6.6E-12
   48    11     3    7.6E-13 8.7E-13 1.2E-12 1.6E-12 2.1E-12 2.6E-12 3.0E-12 3.4E-12 4.8E-12 7.7E-12 1.2E-11
   49    11     4    2.4E-12 2.3E-12 2.5E-12 2.8E-12 3.3E-12 3.7E-12 4.1E-12 4.4E-12 5.6E-12 7.6E-12 1.0E-11
   50    11     5    3.2E-12 3.7E-12 4.5E-12 5.4E-12 6.6E-12 7.6E-12 8.6E-12 9.5E-12 1.3E-11 1.9E-11 2.7E-11
   51    11     6    2.9E-12 3.4E-12 4.1E-12 4.8E-12 5.8E-12 6.5E-12 7.1E-12 7.6E-12 9.1E-12 1.2E-11 1.5E-11
   52    11     7    1.2E-11 1.2E-11 1.4E-11 1.5E-11 1.7E-11 1.9E-11 2.1E-11 2.3E-11 2.8E-11 3.8E-11 5.0E-11
   53    11     8    1.2E-11 1.2E-11 1.3E-11 1.4E-11 1.5E-11 1.6E-11 1.6E-11 1.7E-11 2.0E-11 2.4E-11 2.9E-11
   54    11     9    6.4E-11 6.0E-11 5.8E-11 5.9E-11 6.4E-11 6.9E-11 7.5E-11 7.9E-11 9.2E-11 1.1E-10 1.4E-10
   55    11    10    2.6E-11 3.3E-11 3.8E-11 4.0E-11 4.3E-11 4.5E-11 4.6E-11 4.8E-11 5.2E-11 5.7E-11 6.2E-11
   56    12     1    1.5E-13 1.6E-13 1.9E-13 2.4E-13 3.3E-13 4.1E-13 4.8E-13 5.4E-13 8.4E-13 1.5E-12 2.8E-12
   57    12     2    3.6E-13 4.0E-13 5.0E-13 6.3E-13 8.6E-13 1.1E-12 1.2E-12 1.4E-12 2.1E-12 3.6E-12 6.1E-12
   58    12     3    1.3E-12 1.4E-12 1.5E-12 1.7E-12 2.1E-12 2.4E-12 2.7E-12 2.9E-12 4.0E-12 6.0E-12 9.0E-12
   59    12     4    9.5E-13 1.1E-12 1.5E-12 1.9E-12 2.5E-12 3.1E-12 3.6E-12 4.0E-12 5.6E-12 9.1E-12 1.5E-11
   60    12     5    2.4E-12 2.4E-12 2.7E-12 3.0E-12 3.6E-12 4.1E-12 4.5E-12 4.9E-12 6.1E-12 8.3E-12 1.1E-11
   61    12     6    3.7E-12 4.3E-12 5.2E-12 6.0E-12 7.2E-12 8.3E-12 9.3E-12 1.0E-11 1.3E-11 2.0E-11 2.9E-11
   62    12     7    3.3E-12 3.9E-12 4.6E-12 5.3E-12 6.2E-12 6.9E-12 7.4E-12 7.9E-12 9.5E-12 1.2E-11 1.6E-11
