NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID_FRACTION,MONO_FRACTION,VOLCANO_FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRY FACTOR
H2CN,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.05975143403441,-999.0,-999.0,-999.0,-1
HCNH+,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.88814531548755,-999.0,-999.0,-999.0,-1
N2,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
N2+,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.3001912045889,-999.0,-999.0,-999.0,-1
SI,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.66634799235182,-999.0,-999.0,-999.0,-1
SI+,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.598948374761,-999.0,-999.0,-999.0,-1
C2H4,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52151051625239,-999.0,-999.0,-999.0,-1
HCO,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.981357552581262,-999.0,-999.0,-999.0,-1
HCO+,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.70052581261947,-999.0,-999.0,-999.0,-1
HOC+,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0540152963671,-999.0,-999.0,-999.0,-1
N2H+,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.3197896749522,-999.0,-999.0,-999.0,-1
SIH,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15152963671127,-999.0,-999.0,-999.0,-1
SIH+,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.91204588910136,-999.0,-999.0,-999.0,-1
C2H5,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.859942638623327,-999.0,-999.0,-999.0,-1
H2CO,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.037284894837473,-999.0,-999.0,-999.0,-1
H2CO+,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.42925430210323,-999.0,-999.0,-999.0,-1
NO,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78561185468451,-999.0,-999.0,-999.0,-1
NO+,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.3035372848948,-999.0,-999.0,-999.0,-1
SIH2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51242829827916,-999.0,-999.0,-999.0,-1
SIH2+,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.77198852772466,-999.0,-999.0,-999.0,-1
H2COH,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.92208413001912,-999.0,-999.0,-999.0,-1
H2COH+,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.64627151051624,-999.0,-999.0,-999.0,-1
HNO,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.571223709369026,-999.0,-999.0,-999.0,-1
HNO+,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.41347992351814,-999.0,-999.0,-999.0,-1
SIH3,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.612332695984705,-999.0,-999.0,-999.0,-1
SIH3+,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.19837476099423,-999.0,-999.0,-999.0,-1
CH2OH,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.92208413001912,-999.0,-999.0,-999.0,-1
CH3OH,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.004302103250474,-999.0,-999.0,-999.0,-1
H2NO+,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.96940726577435,-999.0,-999.0,-999.0,-1
O2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
O2+,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.4945028680688,-999.0,-999.0,-999.0,-1
S,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6993307839388,-999.0,-999.0,-999.0,-1
S+,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.49713193116634,-999.0,-999.0,-999.0,-1
SIH4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8919694072657744,-999.0,-999.0,-999.0,-1
SIH4+,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.2848948374761,-999.0,-999.0,-999.0,-1
CH3OH2+,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.4282982791587,-999.0,-999.0,-999.0,-1
HS,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.23996175908221,-999.0,-999.0,-999.0,-1
HS+,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.4622370936902,-999.0,-999.0,-999.0,-1
O2H,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9063097514340344,-999.0,-999.0,-999.0,-1
O2H+,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.8135755258126,-999.0,-999.0,-999.0,-1
SIH5+,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
H2S,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.851816443594646,-999.0,-999.0,-999.0,-1
H2S+,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.5559273422562,-999.0,-999.0,-999.0,-1
CL,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.99187380497132,-999.0,-999.0,-999.0,-1
CL+,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.05999043977056,-999.0,-999.0,-999.0,-1
H3S+,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
C3+,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.3441682600382,-999.0,-999.0,-999.0,-1
HCL,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.029636711281068,-999.0,-999.0,-999.0,-1
HCL+,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.9244741873805,-999.0,-999.0,-999.0,-1
H2CL+,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.94263862332696,-999.0,-999.0,-999.0,-1
C2N,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.69885277246655,-999.0,-999.0,-999.0,-1
C2N+,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.3565965583174,-999.0,-999.0,-999.0,-1
C3H2,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.57074569789675,-999.0,-999.0,-999.0,-1
C2NH+,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.4206500956023,-999.0,-999.0,-999.0,-1
CH3CCH,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.349904397705544,-999.0,-999.0,-999.0,-1
SIC,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.86806883365202,-999.0,-999.0,-999.0,-1
SIC+,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.65583173996174,-999.0,-999.0,-999.0,-1
C3H5+,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.2174952198853,-999.0,-999.0,-999.0,-1
CH3CN,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.705544933078393,-999.0,-999.0,-999.0,-1
CH2CO,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.567877629063096,-999.0,-999.0,-999.0,-1
CH3CNH,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.298279158699806,-999.0,-999.0,-999.0,-1
CH3CNH+,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.74952198852773,-999.0,-999.0,-999.0,-1
OCN,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4612810707457,-999.0,-999.0,-999.0,-1
HNCO,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.420172084130016,-999.0,-999.0,-999.0,-1
CO2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.0432600382409,-999.0,-999.0,-999.0,-1
CS,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.44980879541109,-999.0,-999.0,-999.0,-1
CS+,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.5420650095602,-999.0,-999.0,-999.0,-1
SIO,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.236137667304018,-999.0,-999.0,-999.0,-1
SIO+,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.52676864244745,-999.0,-999.0,-999.0,-1
CH3CHO,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.53154875717017,-999.0,-999.0,-999.0,-1
HCO2+,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.83460803059273,-999.0,-999.0,-999.0,-1
HCS,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HCS+,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SIOH+,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HSIO,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
NH2CHO,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.172084130019115,-999.0,-999.0,-999.0,-1
HCOO,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.44837476099426,-999.0,-999.0,-999.0,-1
H2CS,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.10707456978967,-999.0,-999.0,-999.0,-1
H2CS+,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.33556405353727,-999.0,-999.0,-999.0,-1
H2SIO,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.692638623326957,-999.0,-999.0,-999.0,-1
NO2,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.41491395793498,-999.0,-999.0,-999.0,-1
NS,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
NS+,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HCOOH,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.41108986615676,-999.0,-999.0,-999.0,-1
H2CSH+,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HNS+,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SO,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.431644359464627,-999.0,-999.0,-999.0,-1
SO+,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.972275334608,-999.0,-999.0,-999.0,-1
C4H,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.23135755258127,-999.0,-999.0,-999.0,-1
HSO+,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.6376673040153,-999.0,-999.0,-999.0,-1
C3N,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.60994263862332,-999.0,-999.0,-999.0,-1
HC3N,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3857552581262,-999.0,-999.0,-999.0,-1
C2N2+,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.5262906309751,-999.0,-999.0,-999.0,-1
NCCN,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1276290630975,-999.0,-999.0,-999.0,-1
SIC2,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SIC2+,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
OCS,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.44885277246654,-999.0,-999.0,-999.0,-1
OCS+,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.6582217973231,-999.0,-999.0,-999.0,-1
SIS,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SIS+,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
OCSH+,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SISH+,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
C4N,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
C4N+,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SIC3+,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
SIC3,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
S2,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.513862332695982,-999.0,-999.0,-999.0,-1
S2+,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.6682600382409,-999.0,-999.0,-999.0,-1
