Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate
@C,BULKSWAP,NAN,#C,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2,BULKSWAP,NAN,#C2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2H,BULKSWAP,NAN,#C2H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2H2,BULKSWAP,NAN,#C2H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2H3,BULKSWAP,NAN,#C2H3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2H4,BULKSWAP,NAN,#C2H4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2H5,BULKSWAP,NAN,#C2H5,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C2N,BULKSWAP,NAN,#C2N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C3H2,BULKSWAP,NAN,#C3H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C3N,BULKSWAP,NAN,#C3N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C4H,BULKSWAP,NAN,#C4H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@C4N,BULKSWAP,NAN,#C4N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH,BULKSWAP,NAN,#CH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH2,BULKSWAP,NAN,#CH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH2CO,BULKSWAP,NAN,#CH2CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH2OH,BULKSWAP,NAN,#CH2OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3,BULKSWAP,NAN,#CH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3CCH,BULKSWAP,NAN,#CH3CCH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3CHO,BULKSWAP,NAN,#CH3CHO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3CN,BULKSWAP,NAN,#CH3CN,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3CNH,BULKSWAP,NAN,#CH3CNH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH3OH,BULKSWAP,NAN,#CH3OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CH4,BULKSWAP,NAN,#CH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CL,BULKSWAP,NAN,#CL,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CN,BULKSWAP,NAN,#CN,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CO,BULKSWAP,NAN,#CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CO2,BULKSWAP,NAN,#CO2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@CS,BULKSWAP,NAN,#CS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H,BULKSWAP,NAN,#H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2,BULKSWAP,NAN,#H2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2CN,BULKSWAP,NAN,#H2CN,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2CO,BULKSWAP,NAN,#H2CO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2COH,BULKSWAP,NAN,#H2COH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2CS,BULKSWAP,NAN,#H2CS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2O,BULKSWAP,NAN,#H2O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2S,BULKSWAP,NAN,#H2S,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2S2,BULKSWAP,NAN,#H2S2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@H2SIO,BULKSWAP,NAN,#H2SIO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HC3N,BULKSWAP,NAN,#HC3N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCL,BULKSWAP,NAN,#HCL,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCN,BULKSWAP,NAN,#HCN,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCO,BULKSWAP,NAN,#HCO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCOO,BULKSWAP,NAN,#HCOO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCOOH,BULKSWAP,NAN,#HCOOH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HCS,BULKSWAP,NAN,#HCS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HE,BULKSWAP,NAN,#HE,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HNC,BULKSWAP,NAN,#HNC,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HNCO,BULKSWAP,NAN,#HNCO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HNO,BULKSWAP,NAN,#HNO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HS,BULKSWAP,NAN,#HS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HS2,BULKSWAP,NAN,#HS2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@HSIO,BULKSWAP,NAN,#HSIO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@MG,BULKSWAP,NAN,#MG,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@N,BULKSWAP,NAN,#N,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@N2,BULKSWAP,NAN,#N2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NCCN,BULKSWAP,NAN,#NCCN,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NH,BULKSWAP,NAN,#NH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NH2,BULKSWAP,NAN,#NH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NH2CHO,BULKSWAP,NAN,#NH2CHO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NH3,BULKSWAP,NAN,#NH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NO,BULKSWAP,NAN,#NO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NO2,BULKSWAP,NAN,#NO2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@NS,BULKSWAP,NAN,#NS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@O,BULKSWAP,NAN,#O,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@O2,BULKSWAP,NAN,#O2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@O2H,BULKSWAP,NAN,#O2H,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@OCN,BULKSWAP,NAN,#OCN,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@OCS,BULKSWAP,NAN,#OCS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@OH,BULKSWAP,NAN,#OH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@S,BULKSWAP,NAN,#S,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@S2,BULKSWAP,NAN,#S2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SI,BULKSWAP,NAN,#SI,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIC,BULKSWAP,NAN,#SIC,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIC2,BULKSWAP,NAN,#SIC2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIC3,BULKSWAP,NAN,#SIC3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIH,BULKSWAP,NAN,#SIH,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIH2,BULKSWAP,NAN,#SIH2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIH3,BULKSWAP,NAN,#SIH3,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIH4,BULKSWAP,NAN,#SIH4,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIO,BULKSWAP,NAN,#SIO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SIS,BULKSWAP,NAN,#SIS,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SO,BULKSWAP,NAN,#SO,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
@SO2,BULKSWAP,NAN,#SO2,NAN,NAN,NAN,1.0,0.0,0.0,0.0,10000.0,0.0,False
#CH3,CRP,NAN,#CH2,#H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
#CH3OH,CRP,NAN,#CH2OH,#H,NAN,NAN,6.5e-15,0.0,0.0,0.0,10000.0,0.0,False
#CH3OH,CRP,NAN,#H2COH,#H,NAN,NAN,6.5e-15,0.0,0.0,0.0,10000.0,0.0,False
#CH3OH,CRP,NAN,#CH3,#OH,NAN,NAN,1.95e-14,0.0,0.0,0.0,10000.0,0.0,False
#CH4,CRP,NAN,#CH2,#H2,NAN,NAN,3.04e-14,0.0,0.0,0.0,10000.0,0.0,False
#H2CO,CRP,NAN,#HCO,#H,NAN,NAN,1.73e-14,0.0,0.0,0.0,10000.0,0.0,False
#H2CO,CRP,NAN,#CO,H2,NAN,NAN,1.73e-14,0.0,0.0,0.0,10000.0,0.0,False
#H2O,CRP,NAN,#OH,#H,NAN,NAN,1.26e-14,0.0,0.0,0.0,10000.0,0.0,False
#H2S,CRP,NAN,#HS,H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
#HCO,CRP,NAN,#CO,#H,NAN,NAN,5.473e-15,0.0,0.0,0.0,10000.0,0.0,False
#HCOOH,CRP,NAN,#HCOO,H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
#HCS,CRP,NAN,#CS,#H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
#HNO,CRP,NAN,#NO,#H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
#NH3,CRP,NAN,#NH,#H2,NAN,NAN,7.02e-15,0.0,0.0,0.0,10000.0,0.0,False
#NH3,CRP,NAN,#NH2,#H,NAN,NAN,1.716e-14,0.0,0.0,0.0,10000.0,0.0,False
@CH3,CRP,NAN,@CH2,@H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
@CH3OH,CRP,NAN,@CH2OH,@H,NAN,NAN,6.5e-15,0.0,0.0,0.0,10000.0,0.0,False
@CH3OH,CRP,NAN,@H2COH,@H,NAN,NAN,6.5e-15,0.0,0.0,0.0,10000.0,0.0,False
@CH3OH,CRP,NAN,@CH3,@OH,NAN,NAN,1.95e-14,0.0,0.0,0.0,10000.0,0.0,False
@CH4,CRP,NAN,@CH2,@H2,NAN,NAN,3.04e-14,0.0,0.0,0.0,10000.0,0.0,False
@H2CO,CRP,NAN,@HCO,@H,NAN,NAN,1.73e-14,0.0,0.0,0.0,10000.0,0.0,False
@H2CO,CRP,NAN,@CO,H2,NAN,NAN,1.73e-14,0.0,0.0,0.0,10000.0,0.0,False
@H2O,CRP,NAN,@OH,@H,NAN,NAN,1.26e-14,0.0,0.0,0.0,10000.0,0.0,False
@H2S,CRP,NAN,@HS,H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
@HCO,CRP,NAN,@CO,@H,NAN,NAN,5.473e-15,0.0,0.0,0.0,10000.0,0.0,False
@HCOOH,CRP,NAN,@HCOO,H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
@HCS,CRP,NAN,@CS,@H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
@HNO,CRP,NAN,@NO,@H,NAN,NAN,3e-16,0.0,0.0,0.0,10000.0,0.0,False
@NH3,CRP,NAN,@NH,@H2,NAN,NAN,7.02e-15,0.0,0.0,0.0,10000.0,0.0,False
@NH3,CRP,NAN,@NH2,@H,NAN,NAN,1.716e-14,0.0,0.0,0.0,10000.0,0.0,False
C,CRP,NAN,C+,E-,NAN,NAN,2.3e-17,0.0,0.0,10.0,41000.0,0.0,False
CL,CRP,NAN,CL+,E-,NAN,NAN,3.9e-17,0.0,0.0,10.0,41000.0,0.0,False
CO,CRP,NAN,CO+,E-,NAN,NAN,3.9e-17,0.0,0.0,10.0,41000.0,0.0,False
H,CRP,NAN,H+,E-,NAN,NAN,5.98e-18,0.0,0.0,10.0,41000.0,0.0,False
H2,CRP,NAN,H+,H,E-,NAN,2.86e-19,0.0,0.0,10.0,41000.0,0.0,False
H2,CRP,NAN,H2+,E-,NAN,NAN,1.2e-17,0.0,0.0,10.0,41000.0,0.0,False
H2,CRP,NAN,H,H,NAN,NAN,1.3e-18,0.0,0.0,10.0,41000.0,0.0,False
HE,CRP,NAN,HE+,E-,NAN,NAN,6.5e-18,0.0,0.0,10.0,41000.0,0.0,False
N,CRP,NAN,N+,E-,NAN,NAN,2.7e-17,0.0,0.0,10.0,41000.0,0.0,False
O,CRP,NAN,O+,E-,NAN,NAN,3.4e-17,0.0,0.0,10.0,41000.0,0.0,False
#HNCO,CRPHOT,NAN,#NH,#CO,NAN,NAN,1.3e-17,0.0,1500.0,0.0,10000.0,0.0,False
@HNCO,CRPHOT,NAN,@NH,@CO,NAN,NAN,1.3e-17,0.0,1500.0,0.0,10000.0,0.0,False
C,CRPHOT,NAN,C+,E-,NAN,NAN,1.3e-17,0.0,130.0,10.0,41000.0,0.0,False
C2,CRPHOT,NAN,C,C,NAN,NAN,1.3e-17,0.0,90.0,10.0,41000.0,0.0,False
C2,CRPHOT,NAN,C2+,E-,NAN,NAN,1.3e-17,0.0,125.0,10.0,41000.0,0.0,False
C2H,CRPHOT,NAN,C2,H,NAN,NAN,1.3e-17,0.0,550.0,10.0,41000.0,0.0,False
C2H2,CRPHOT,NAN,C2H2+,E-,NAN,NAN,1.3e-17,0.0,190.0,10.0,41000.0,0.0,False
C2H2,CRPHOT,NAN,C2H,H,NAN,NAN,1.3e-17,0.0,1750.0,10.0,41000.0,0.0,False
C2H3,CRPHOT,NAN,C2H2,H,NAN,NAN,1.3e-17,0.0,1500.0,10.0,41000.0,0.0,False
C2H4,CRPHOT,NAN,C2H2,H2,NAN,NAN,1.3e-17,0.0,1750.0,10.0,41000.0,0.0,False
C2H5,CRPHOT,NAN,C2H3,H2,NAN,NAN,1.3e-17,0.0,1881.0,10.0,41000.0,0.0,False
C2N,CRPHOT,NAN,C2,N,NAN,NAN,1.3e-17,0.0,500.0,10.0,41000.0,0.0,False
C2N,CRPHOT,NAN,CN,C,NAN,NAN,1.3e-17,0.0,500.0,10.0,41000.0,0.0,False
C3N,CRPHOT,NAN,CN,C2,NAN,NAN,1.3e-17,0.0,875.0,10.0,41000.0,0.0,False
C4H,CRPHOT,NAN,C2H,C2,NAN,NAN,1.3e-17,0.0,1525.0,10.0,41000.0,0.0,False
CH,CRPHOT,NAN,C,H,NAN,NAN,1.3e-17,0.0,550.0,10.0,41000.0,0.0,False
CH,CRPHOT,NAN,CH+,E-,NAN,NAN,1.3e-17,0.0,290.0,10.0,41000.0,0.0,False
CH+,CRPHOT,NAN,C+,H,NAN,NAN,1.3e-17,0.0,110.0,10.0,41000.0,0.0,False
CH2,CRPHOT,NAN,CH2+,E-,NAN,NAN,1.3e-17,0.0,250.0,10.0,41000.0,0.0,False
CH2,CRPHOT,NAN,CH,H,NAN,NAN,1.3e-17,0.0,145.0,10.0,41000.0,0.0,False
CH2+,CRPHOT,NAN,C+,H2,NAN,NAN,1.3e-17,0.0,15.0,10.0,41000.0,0.0,False
CH2+,CRPHOT,NAN,CH+,H,NAN,NAN,1.3e-17,0.0,15.0,10.0,41000.0,0.0,False
CH2+,CRPHOT,NAN,CH,H+,NAN,NAN,1.3e-17,0.0,15.0,10.0,41000.0,0.0,False
CH2CO,CRPHOT,NAN,CO,CH2,NAN,NAN,1.3e-17,0.0,456.5,10.0,41000.0,0.0,False
CH2OH,CRPHOT,NAN,CH2,OH,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
CH3,CRPHOT,NAN,CH3+,E-,NAN,NAN,1.3e-17,0.0,190.0,10.0,41000.0,0.0,False
CH3,CRPHOT,NAN,CH2,H,NAN,NAN,1.3e-17,0.0,70.0,10.0,41000.0,0.0,False
CH3,CRPHOT,NAN,CH,H2,NAN,NAN,1.3e-17,0.0,70.0,10.0,41000.0,0.0,False
CH3CHO,CRPHOT,NAN,CO,CH4,NAN,NAN,1.3e-17,0.0,550.0,10.0,41000.0,0.0,False
CH3CHO,CRPHOT,NAN,HCO,CH3,NAN,NAN,1.3e-17,0.0,550.5,10.0,41000.0,0.0,False
CH3CN,CRPHOT,NAN,CN,CH3,NAN,NAN,1.3e-17,0.0,1300.0,10.0,41000.0,0.0,False
CH3OH,CRPHOT,NAN,H2CO,H2,NAN,NAN,1.3e-17,0.0,400.0,10.0,41000.0,0.0,False
CH3OH,CRPHOT,NAN,OH,CH3,NAN,NAN,1.3e-17,0.0,400.0,10.0,41000.0,0.0,False
CH4,CRPHOT,NAN,CH2,H2,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
CH4,CRPHOT,NAN,CH4+,E-,NAN,NAN,1.3e-17,0.0,11.0,10.0,41000.0,0.0,False
CH4+,CRPHOT,NAN,CH2+,H2,NAN,NAN,1.3e-17,0.0,108.0,10.0,41000.0,0.0,False
CH4+,CRPHOT,NAN,CH3+,H,NAN,NAN,1.3e-17,0.0,27.0,10.0,41000.0,0.0,False
CL,CRPHOT,NAN,CL+,E-,NAN,NAN,1.3e-17,0.0,23.5,10.0,41000.0,0.0,False
CN,CRPHOT,NAN,N,C,NAN,NAN,1.3e-17,0.0,225.0,10.0,41000.0,0.0,False
CO,CRPHOT,NAN,O,C,NAN,NAN,1.3e-17,1.17,105.0,10.0,41000.0,0.0,False
CO+,CRPHOT,NAN,C+,O,NAN,NAN,1.3e-17,0.0,38.5,10.0,41000.0,0.0,False
CO2,CRPHOT,NAN,CO,O,NAN,NAN,1.3e-17,0.0,300.0,10.0,41000.0,0.0,False
CS,CRPHOT,NAN,CS+,E-,NAN,NAN,1.3e-17,0.0,10.0,10.0,41000.0,0.0,False
CS,CRPHOT,NAN,S,C,NAN,NAN,1.3e-17,0.0,950.0,10.0,41000.0,0.0,False
H2+,CRPHOT,NAN,H+,H,NAN,NAN,1.3e-17,0.0,305.0,10.0,41000.0,0.0,False
H2CN,CRPHOT,NAN,HCN,H,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
H2CO,CRPHOT,NAN,CO,H2,NAN,NAN,1.3e-17,0.0,1650.0,10.0,41000.0,0.0,False
H2CO,CRPHOT,NAN,H2CO+,E-,NAN,NAN,1.3e-17,0.0,145.0,10.0,41000.0,0.0,False
H2CS,CRPHOT,NAN,CS,H2,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
H2O,CRPHOT,NAN,OH,H,NAN,NAN,1.3e-17,0.0,500.0,10.0,41000.0,0.0,False
H2O,CRPHOT,NAN,H2O+,E-,NAN,NAN,1.3e-17,0.0,11.5,10.0,41000.0,0.0,False
H2S,CRPHOT,NAN,H2S+,E-,NAN,NAN,1.3e-17,0.0,310.0,10.0,41000.0,0.0,False
H2S,CRPHOT,NAN,S,H2,NAN,NAN,1.3e-17,0.0,850.0,10.0,41000.0,0.0,False
H2S,CRPHOT,NAN,HS,H,NAN,NAN,1.3e-17,0.0,850.0,10.0,41000.0,0.0,False
H2S2,CRPHOT,NAN,HS,HS,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
H2SIO,CRPHOT,NAN,SIO,H2,NAN,NAN,1.3e-17,0.0,375.0,10.0,41000.0,0.0,False
H2SIO,CRPHOT,NAN,HSIO,H,NAN,NAN,1.3e-17,0.0,187.5,10.0,41000.0,0.0,False
HC3N,CRPHOT,NAN,CN,C2H,NAN,NAN,1.3e-17,0.0,2950.0,10.0,41000.0,0.0,False
HCL,CRPHOT,NAN,HCL+,E-,NAN,NAN,1.3e-17,0.0,23.0,10.0,41000.0,0.0,False
HCL,CRPHOT,NAN,CL,H,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
HCN,CRPHOT,NAN,CN,H,NAN,NAN,1.3e-17,0.0,1000.0,10.0,41000.0,0.0,False
HCO,CRPHOT,NAN,CO,H,NAN,NAN,1.3e-17,0.0,210.5,10.0,41000.0,0.0,False
HCO,CRPHOT,NAN,HCO+,E-,NAN,NAN,1.3e-17,0.0,265.0,10.0,41000.0,0.0,False
HCOOH,CRPHOT,NAN,HCO,OH,NAN,NAN,1.3e-17,0.0,124.5,10.0,41000.0,0.0,False
HCS,CRPHOT,NAN,CS,H,NAN,NAN,1.3e-17,0.0,210.5,10.0,41000.0,0.0,False
HCS,CRPHOT,NAN,HCS+,E-,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
HNC,CRPHOT,NAN,CN,H,NAN,NAN,1.3e-17,0.0,1500.0,10.0,41000.0,0.0,False
HNCO,CRPHOT,NAN,NH,CO,NAN,NAN,1.3e-17,0.0,3000.0,10.0,41000.0,0.0,False
HNO,CRPHOT,NAN,NO,H,NAN,NAN,1.3e-17,0.0,500.0,10.0,41000.0,0.0,False
HS,CRPHOT,NAN,HS+,E-,NAN,NAN,1.3e-17,0.0,17.0,10.0,41000.0,0.0,False
HS,CRPHOT,NAN,S,H,NAN,NAN,1.3e-17,0.0,550.0,10.0,41000.0,0.0,False
HS+,CRPHOT,NAN,S+,H,NAN,NAN,1.3e-17,0.0,230.0,10.0,41000.0,0.0,False
HS2,CRPHOT,NAN,HS,S,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
HSIO,CRPHOT,NAN,SIO,H,NAN,NAN,1.3e-17,0.0,375.0,10.0,41000.0,0.0,False
MG,CRPHOT,NAN,MG+,E-,NAN,NAN,1.3e-17,0.0,55.0,10.0,41000.0,0.0,False
N2,CRPHOT,NAN,N,N,NAN,NAN,1.3e-17,0.0,19.5,10.0,41000.0,0.0,False
NCCN,CRPHOT,NAN,CN,CN,NAN,NAN,1.3e-17,0.0,474.0,10.0,41000.0,0.0,False
NH,CRPHOT,NAN,N,H,NAN,NAN,1.3e-17,0.0,185.0,10.0,41000.0,0.0,False
NH,CRPHOT,NAN,NH+,E-,NAN,NAN,1.3e-17,0.0,3.6,10.0,41000.0,0.0,False
NH+,CRPHOT,NAN,N,H+,NAN,NAN,1.3e-17,0.0,11.0,10.0,41000.0,0.0,False
NH2,CRPHOT,NAN,NH2+,E-,NAN,NAN,1.3e-17,0.0,70.0,10.0,41000.0,0.0,False
NH2,CRPHOT,NAN,NH,H,NAN,NAN,1.3e-17,0.0,360.0,10.0,41000.0,0.0,False
NH2CHO,CRPHOT,NAN,NH2,HCO,NAN,NAN,1.3e-17,0.0,1450.0,10.0,41000.0,0.0,False
NH3,CRPHOT,NAN,NH3+,E-,NAN,NAN,1.3e-17,0.0,110.0,10.0,41000.0,0.0,False
NH3,CRPHOT,NAN,NH2,H,NAN,NAN,1.3e-17,0.0,412.5,10.0,41000.0,0.0,False
NH3,CRPHOT,NAN,NH,H2,NAN,NAN,1.3e-17,0.0,132.5,10.0,41000.0,0.0,False
NO,CRPHOT,NAN,NO+,E-,NAN,NAN,1.3e-17,0.0,120.0,10.0,41000.0,0.0,False
NO,CRPHOT,NAN,O,N,NAN,NAN,1.3e-17,0.0,150.0,10.0,41000.0,0.0,False
NO2,CRPHOT,NAN,NO,O,NAN,NAN,1.3e-17,0.0,500.0,10.0,41000.0,0.0,False
NS,CRPHOT,NAN,S,N,NAN,NAN,1.3e-17,0.0,250.0,10.0,41000.0,0.0,False
O,CRPHOT,NAN,O+,E-,NAN,NAN,1.3e-17,0.0,1.35,10.0,41000.0,0.0,False
O2,CRPHOT,NAN,O2+,E-,NAN,NAN,1.3e-17,0.0,14.0,10.0,41000.0,0.0,False
O2,CRPHOT,NAN,O,O,NAN,NAN,1.3e-17,0.0,390.0,10.0,41000.0,0.0,False
O2+,CRPHOT,NAN,O+,O,NAN,NAN,1.3e-17,0.0,35.0,10.0,41000.0,0.0,False
O2H,CRPHOT,NAN,O2,H,NAN,NAN,1.3e-17,0.0,47.5,10.0,41000.0,0.0,False
O2H,CRPHOT,NAN,OH,O,NAN,NAN,1.3e-17,0.0,47.5,10.0,41000.0,0.0,False
OCN,CRPHOT,NAN,CN,O,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
OCS,CRPHOT,NAN,OCS+,E-,NAN,NAN,1.3e-17,0.0,280.0,10.0,41000.0,0.0,False
OCS,CRPHOT,NAN,S,CO,NAN,NAN,1.3e-17,0.0,2600.0,10.0,41000.0,0.0,False
OH,CRPHOT,NAN,O,H,NAN,NAN,1.3e-17,0.0,235.0,10.0,41000.0,0.0,False
OH+,CRPHOT,NAN,O+,H,NAN,NAN,1.3e-17,0.0,4.3,10.0,41000.0,0.0,False
S,CRPHOT,NAN,S+,E-,NAN,NAN,1.3e-17,0.0,400.0,10.0,41000.0,0.0,False
S2,CRPHOT,NAN,S2+,E-,NAN,NAN,1.3e-17,0.0,70.0,10.0,41000.0,0.0,False
S2,CRPHOT,NAN,S,S,NAN,NAN,1.3e-17,0.0,44.0,10.0,41000.0,0.0,False
SI,CRPHOT,NAN,SI+,E-,NAN,NAN,1.3e-17,0.0,2100.0,10.0,41000.0,0.0,False
SIC,CRPHOT,NAN,SI,C,NAN,NAN,1.3e-17,0.0,250.0,10.0,41000.0,0.0,False
SIC2,CRPHOT,NAN,SIC,C,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
SIC3,CRPHOT,NAN,SIC2,C,NAN,NAN,1.3e-17,0.0,750.0,10.0,41000.0,0.0,False
SIH,CRPHOT,NAN,SI,H,NAN,NAN,1.3e-17,0.0,310.0,10.0,41000.0,0.0,False
