! Add the grain-assisted recombination of ions:
H+,GAR,,H,,,,1,0,0,,,,
He+,GAR,,HE,,,,1,0,0,,,,
C+,GAR,,C,,,,1,0,0,,,,
MG+,GAR,,MG,,,,1,0,0,,,,
SI+,GAR,,SI,,,,1,0,0,,,,
S+,GAR,,S,,,,1,0,0,,,,
